"ID";"Symbol";"MeanExpression";"Metagene";"Chromosome";"Description"
"ENSDARG00000031348";"mc5ra";6,648862591311;"1 x 1";"19 NA";"melanocortin 5a receptor [Source:ZFIN;Acc:ZDB-GENE-021223-3]"
"ENSDARG00000032496";"pon1";6,74997212447184;"1 x 1";"16 NA";"paraoxonase 1 [Source:ZFIN;Acc:ZDB-GENE-040912-6]"
"ENSDARG00000038107";"sgcg";8,47996370942549;"1 x 1";"15 NA";"sarcoglycan, gamma [Source:ZFIN;Acc:ZDB-GENE-030724-2]"
"ENSDARG00000038969";"zgc:113142";6,00406025133031;"1 x 1";"17 NA";"zgc:113142 [Source:ZFIN;Acc:ZDB-GENE-050220-2]"
"ENSDARG00000039077";"tyr";9,28519521423923;"1 x 1";"15 NA";"tyrosinase [Source:ZFIN;Acc:ZDB-GENE-991026-3]"
"ENSDARG00000041691";"bhlhe41";8,25240912805288;"1 x 1";"18 NA";"basic helix-loop-helix family, member e41 [Source:ZFIN;Acc:ZDB-GENE-050419-146]"
"ENSDARG00000041998";"zgc:113337";8,47438540877203;"1 x 1";"9 NA";"zgc:113337 [Source:ZFIN;Acc:ZDB-GENE-050306-20]"
"ENSDARG00000044767";"LOC799194";6,69285559224538;"1 x 1";"3 NA";"tetraspanin 10 [Source:ZFIN;Acc:ZDB-GENE-041111-201]"
"ENSDARG00000044781";"bace2";9,28423025221042;"1 x 1";"15 NA";"beta-site APP-cleaving enzyme 2 [Source:ZFIN;Acc:ZDB-GENE-041010-68]"
"ENSDARG00000045269";"";10,1202354586063;"1 x 1";"12 NA";"6-pyruvoyltetrahydropterin synthase [Source:ZFIN;Acc:ZDB-GENE-070615-3]"
"ENSDARG00000045601";"cax1";7,95928625304439;"1 x 1";"4 NA";"cation/H+ exchanger protein 1 [Source:ZFIN;Acc:ZDB-GENE-030131-3044]"
"ENSDARG00000045792";"si:dkey-106n21.1";7,70965304870193;"1 x 1";"25 NA";"si:dkey-106n21.1 [Source:ZFIN;Acc:ZDB-GENE-131120-167]"
"ENSDARG00000046030";"zgc:110339";10,4039318258894;"1 x 1";"25 NA";"zgc:110339 [Source:ZFIN;Acc:ZDB-GENE-050417-323]"
"ENSDARG00000052497";"zgc:110789";5,69754604178515;"1 x 1";"18 NA";"zgc:110789 [Source:ZFIN;Acc:ZDB-GENE-050306-38]"
"ENSDARG00000053269";"slc2a15b";9,27957099851998;"1 x 1";"1 NA";"solute carrier family 2 (facilitated glucose transporter), member 15b [Source:ZFIN;Acc:ZDB-GENE-050508-1]"
"ENSDARG00000053488";"si:ch73-22a13.3";5,73854496671039;"1 x 1";"14 NA";"si:ch73-22a13.3 [Source:ZFIN;Acc:ZDB-GENE-141216-64]"
"ENSDARG00000055240";"xdh";8,42010887155403;"1 x 1";"17 NA";"xanthine dehydrogenase [Source:ZFIN;Acc:ZDB-GENE-070719-9]"
"ENSDARG00000056028";"slc22a7a";9,77632712872512;"1 x 1";"11 NA";"solute carrier family 22 (organic anion transporter), member 7a [Source:ZFIN;Acc:ZDB-GENE-050506-52]"
"ENSDARG00000056250";"add3b";8,6931786392201;"1 x 1";"17 NA";"adducin 3 (gamma) b [Source:ZFIN;Acc:ZDB-GENE-080718-6]"
"ENSDARG00000057148";"";8,07088370142141;"1 x 1";"13 NA";"molybdenum cofactor sulfurase [Source:ZFIN;Acc:ZDB-GENE-050327-94]"
"ENSDARG00000058553";"sprb";6,53046324119171;"1 x 1";"8 NA";"sepiapterin reductase b [Source:ZFIN;Acc:ZDB-GENE-070719-1]"
"ENSDARG00000059391";"gyg1b";7,07169287852126;"1 x 1";"24 NA";"glycogenin 1b [Source:ZFIN;Acc:ZDB-GENE-040625-30]"
"ENSDARG00000062481";"mlphb";8,04204534035996;"1 x 1";"9 NA";"melanophilin b [Source:ZFIN;Acc:ZDB-GENE-070803-2]"
"ENSDARG00000063288";"slc2a11b";9,59171663137647;"1 x 1";"5 NA";"solute carrier family 2 (facilitated glucose transporter), member 11b [Source:ZFIN;Acc:ZDB-GENE-070705-96]"
"ENSDARG00000068876";"zgc:153031";6,38059750403511;"1 x 1";"18 NA";"zgc:153031 [Source:ZFIN;Acc:ZDB-GENE-060929-1190]"
"ENSDARG00000069159";"rab38b";5,77717764751525;"1 x 1";"10 NA";"RAB38b, member of RAS oncogene family [Source:ZFIN;Acc:ZDB-GENE-091204-345]"
"ENSDARG00000069630";"tat";8,16463914113691;"1 x 1";"18 NA";"tyrosine aminotransferase [Source:ZFIN;Acc:ZDB-GENE-030131-1144]"
"ENSDARG00000070110";"opn5";7,13256143129185;"1 x 1";"20 NA";"opsin 5 [Source:ZFIN;Acc:ZDB-GENE-041001-179]"
"ENSDARG00000070818";"pax7b";10,767969599081;"1 x 1";"23 NA";"paired box 7b [Source:ZFIN;Acc:ZDB-GENE-080917-54]"
"ENSDARG00000070991";"mlpha";7,37573591966367;"1 x 1";"6 NA";"melanophilin a [Source:ZFIN;Acc:ZDB-GENE-050208-724]"
"ENSDARG00000071475";"aox5";10,3975442905457;"1 x 1";"22 NA";"aldehyde oxidase 5 [Source:ZFIN;Acc:ZDB-GENE-001205-2]"
"ENSDARG00000074719";"rab38c";5,74718751453904;"1 x 1";"21 NA";"RAB38c, member of RAS oncogene family [Source:ZFIN;Acc:ZDB-GENE-091118-91]"
"ENSDARG00000075191";"oacyl";6,99012569068241;"1 x 1";"21 NA";"O-acyltransferase like [Source:ZFIN;Acc:ZDB-GENE-090710-2]"
"ENSDARG00000076250";"rasef";8,14741159557901;"1 x 1";"8 NA";"RAS and EF-hand domain containing [Source:ZFIN;Acc:ZDB-GENE-081105-157]"
"ENSDARG00000076844";"zgc:162150";7,32073071109993;"1 x 1";"16 NA";"zgc:162150 [Source:ZFIN;Acc:ZDB-GENE-070410-23]"
"ENSDARG00000076970";"si:ch211-165b10.3";5,53234538800947;"1 x 1";"2 NA";"si:ch211-165b10.3 [Source:ZFIN;Acc:ZDB-GENE-131121-6]"
"ENSDARG00000078525";"noctb";7,37292685819501;"1 x 1";"1 NA";"nocturnin b [Source:ZFIN;Acc:ZDB-GENE-110930-4]"
"ENSDARG00000079045";"opn8b";7,67947452760204;"1 x 1";"20 NA";"opsin 8, group member b [Source:ZFIN;Acc:ZDB-GENE-070705-120]"
"ENSDARG00000079858";"tmem163a";8,38968941553781;"1 x 1";"9 NA";"transmembrane protein 163a [Source:ZFIN;Acc:ZDB-GENE-081104-429]"
"ENSDARG00000087762";"rab27b";9,25377090200335;"1 x 1";"21 NA";"RAB27B, member RAS oncogene family [Source:ZFIN;Acc:ZDB-GENE-120215-85]"
"ENSDARG00000088709";"tnfaip8l3";7,52142247932988;"1 x 1";"18 NA";"tumor necrosis factor, alpha-induced protein 8-like 3 [Source:ZFIN;Acc:ZDB-GENE-040426-1313]"
"ENSDARG00000089205";"";6,57077247058932;"1 x 1";"24 NA";"si:dkey-73n8.3 [Source:ZFIN;Acc:ZDB-GENE-141219-27]"
"ENSDARG00000089334";"ednrba";7,85017553571257;"1 x 1";"1 NA";"endothelin receptor Ba [Source:ZFIN;Acc:ZDB-GENE-980526-16]"
"ENSDARG00000090682";"si:ch211-108c6.2";8,22043497689913;"1 x 1";"5 NA";"si:ch211-108c6.2 [Source:ZFIN;Acc:ZDB-GENE-040724-7]"
"ENSDARG00000091813";"si:dkey-21a6.5";7,27712248253118;"1 x 1";"17 NA";"si:dkey-21a6.5 [Source:ZFIN;Acc:ZDB-GENE-131121-257]"
"ENSDARG00000093957";"si:dkey-251i10.2";9,2017030411837;"1 x 1";"5 NA";"si:dkey-251i10.2 [Source:ZFIN;Acc:ZDB-GENE-050506-102]"
"ENSDARG00000097208";"alkbh3";7,19960389269182;"1 x 1";"25 NA";"si:ch1073-281m9.1 [Source:ZFIN;Acc:ZDB-GENE-131127-435]"
"ENSDARG00000097964";"arhgef33";8,07716574326123;"1 x 1";"17 NA";"Rho guanine nucleotide exchange factor (GEF) 33 [Source:ZFIN;Acc:ZDB-GENE-131121-574]"
"ENSDARG00000098186";"";8,23506244734479;"1 x 1";"KN149790.1 NA";"transmembrane protein 19 [Source:HGNC Symbol;Acc:HGNC:25605]"
"ENSDARG00000099101";"gch2";11,6389953719799;"1 x 1";"12 NA";"GTP cyclohydrolase 2 [Source:ZFIN;Acc:ZDB-GENE-001205-3]"
"ENSDARG00000099781";"asip2b";8,32581900497625;"1 x 1";"2 NA";"agouti signaling protein, nonagouti homolog (mouse) 2b [Source:ZFIN;Acc:ZDB-GENE-150212-1]"
"ENSDARG00000100152";"c25h12orf75";5,49193792775514;"1 x 1";"25 NA";""
"ENSDARG00000100719";"uraha";6,34772913693181;"1 x 1";"18 NA";"urate (5-hydroxyiso-) hydrolase a [Source:ZFIN;Acc:ZDB-GENE-060825-253]"
"ENSDARG00000100890";"si:zfos-1069f5.1";7,23879260321346;"1 x 1";"14 NA";"si:zfos-1069f5.1 [Source:ZFIN;Acc:ZDB-GENE-141215-70]"
"ENSDARG00000101557";"scarb1";8,53089956396982;"1 x 1";"10 NA";"scavenger receptor class B, member 1 [Source:ZFIN;Acc:ZDB-GENE-031126-1]"
"ENSDARG00000101749";"zgc:92161";5,71546735698202;"1 x 1";"3 NA";"zgc:92161 [Source:ZFIN;Acc:ZDB-GENE-040912-22]"
"ENSDARG00000102020";"pnpla3";6,321738261456;"1 x 1";"4 NA";"patatin-like phospholipase domain containing 3 [Source:ZFIN;Acc:ZDB-GENE-040718-27]"
"ENSDARG00000102986";"csf1ra";10,8903243510996;"1 x 1";"14 NA";"colony stimulating factor 1 receptor, a [Source:ZFIN;Acc:ZDB-GENE-001205-1]"
"ENSDARG00000103019";"gstp2";6,19062746763912;"1 x 1";"14 NA";"glutathione S-transferase pi 2 [Source:ZFIN;Acc:ZDB-GENE-050601-1]"
"ENSDARG00000103259";"opn4xb";6,33981778887283;"1 x 1";"5 NA";"opsin 4xb [Source:ZFIN;Acc:ZDB-GENE-070705-526]"
"ENSDARG00000103789";"tmem130";7,32209117471774;"1 x 1";"12 NA";"transmembrane protein 130 [Source:ZFIN;Acc:ZDB-GENE-080204-23]"
"ENSDARG00000103875";"LOC101883151";6,48680971435377;"1 x 1";"KN149946.1 NA";""
"ENSDARG00000104068";"gstp1";10,845307054637;"1 x 1";"14 NA";"glutathione S-transferase pi 1 [Source:ZFIN;Acc:ZDB-GENE-020806-4]"
"ENSDARG00000104256";"bco1";8,53064725732645;"1 x 1";"7 NA";"beta-carotene oxygenase 1 [Source:ZFIN;Acc:ZDB-GENE-010508-1]"
"ENSDARG00000104814";"wu:fc46h12";10,8301151806289;"1 x 1";"2 NA";"wu:fc46h12 [Source:ZFIN;Acc:ZDB-GENE-030131-3611]"
"ENSDARG00000003750";"pfas";10,3325224761062;"2 x 1";"20 NA";"phosphoribosylformylglycinamidine synthase [Source:ZFIN;Acc:ZDB-GENE-030131-4420]"
"ENSDARG00000007425";"apol1";7,22208992474523;"2 x 1";"2 NA";"apolipoprotein L, 1 [Source:ZFIN;Acc:ZDB-GENE-030131-3217]"
"ENSDARG00000011683";"prtfdc1";8,29559303406677;"2 x 1";"2 NA";"phosphoribosyl transferase domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-980526-324]"
"ENSDARG00000013524";"cyp2ae1";7,47908713784625;"2 x 1";"23 NA";"cytochrome P450, family 2, subfamily AE, polypeptide 1 [Source:ZFIN;Acc:ZDB-GENE-090312-107]"
"ENSDARG00000018846";"";5,25047408365283;"2 x 1";"10 NA";"diacylglycerol O-acyltransferase 2 [Source:ZFIN;Acc:ZDB-GENE-050913-15]"
"ENSDARG00000033539";"paics";11,180217598629;"2 x 1";"20 NA";"phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase [Source:ZFIN;Acc:ZDB-GENE-030131-9762]"
"ENSDARG00000034572";"gpr143";7,7716566674877;"2 x 1";"9 NA";"G protein-coupled receptor 143 [Source:ZFIN;Acc:ZDB-GENE-040426-1476]"
"ENSDARG00000035686";"mon1ba";5,45340023694318;"2 x 1";"8 NA";"MON1 secretory trafficking family member Ba [Source:ZFIN;Acc:ZDB-GENE-081104-318]"
"ENSDARG00000040492";"mthfd1b";10,5690404987946;"2 x 1";"17 NA";"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1b [Source:ZFIN;Acc:ZDB-GENE-020905-4]"
"ENSDARG00000042707";"cx30.3";8,46368107670299;"2 x 1";"9 NA";"connexin 30.3 [Source:ZFIN;Acc:ZDB-GENE-040406-1]"
"ENSDARG00000058394";"tagln3b";6,53703564496605;"2 x 1";"24 NA";"transgelin 3b [Source:ZFIN;Acc:ZDB-GENE-030131-4199]"
"ENSDARG00000068030";"si:cabz01007802.1";8,92349489500714;"2 x 1";"7 NA";"si:cabz01007802.1 [Source:ZFIN;Acc:ZDB-GENE-160728-30]"
"ENSDARG00000078479";"mocs1";7,98791719586102;"2 x 1";"17 NA";"molybdenum cofactor synthesis 1 [Source:ZFIN;Acc:ZDB-GENE-130215-1]"
"ENSDARG00000078619";"pnp5a";9,8833248814384;"2 x 1";"7 NA";"purine nucleoside phosphorylase 5a [Source:ZFIN;Acc:ZDB-GENE-040426-2553]"
"ENSDARG00000079166";"ace";8,63110352852291;"2 x 1";"12 NA";"angiotensin I converting enzyme (peptidyl-dipeptidase A) 1 [Source:ZFIN;Acc:ZDB-GENE-030131-1826]"
"ENSDARG00000090637";"myh6";6,89095017344684;"2 x 1";"20 NA";"myosin, heavy chain 6, cardiac muscle, alpha [Source:ZFIN;Acc:ZDB-GENE-031112-1]"
"ENSDARG00000093702";"si:dkey-126g1.9";5,53240187620847;"2 x 1";"23 NA";"si:dkey-126g1.9 [Source:ZFIN;Acc:ZDB-GENE-030131-9862]"
"ENSDARG00000097006";"";5,11642940347825;"2 x 1";"3 NA";""
"ENSDARG00000099645";"zgc:153184";8,25290463296716;"2 x 1";"15 NA";"zgc:153184 [Source:ZFIN;Acc:ZDB-GENE-060825-136]"
"ENSDARG00000102235";"";5,08087705535716;"2 x 1";"15 NA";"RAB38, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9776]"
"ENSDARG00000103935";"rab27a";9,21000636140619;"2 x 1";"18 NA";"RAB27A, member RAS oncogene family [Source:ZFIN;Acc:ZDB-GENE-050913-46]"
"ENSDARG00000105275";"";7,55426356348842;"2 x 1";"18 NA";""
"ENSDARG00000003732";"mitfa";7,35752231763877;"3 x 1";"6 NA";"microphthalmia-associated transcription factor a [Source:ZFIN;Acc:ZDB-GENE-990910-11]"
"ENSDARG00000007711";"";8,89966576721137;"3 x 1";"25 NA";"RAB3A interacting protein (rabin3)-like 1 [Source:ZFIN;Acc:ZDB-GENE-110921-5]"
"ENSDARG00000011961";"csrp2";7,94142153451571;"3 x 1";"4 NA";"cysteine and glycine-rich protein 2 [Source:ZFIN;Acc:ZDB-GENE-040426-1863]"
"ENSDARG00000013711";"si:rp71-61h23.4";6,52568712343231;"3 x 1";"8 NA";"zgc:77486 [Source:ZFIN;Acc:ZDB-GENE-040426-2056]"
"ENSDARG00000016706";"atic";10,0902168612666;"3 x 1";"1 NA";"5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase [Source:ZFIN;Acc:ZDB-GENE-011212-4]"
"ENSDARG00000016749";"slco1c1";7,96841145108889;"3 x 1";"4 NA";"solute carrier organic anion transporter family, member 1C1 [Source:ZFIN;Acc:ZDB-GENE-041210-50]"
"ENSDARG00000021366";"fbp1a";8,77635453104294;"3 x 1";"5 NA";"fructose-1,6-bisphosphatase 1a [Source:ZFIN;Acc:ZDB-GENE-030131-7171]"
"ENSDARG00000024540";"tspan36";9,63219796966298;"3 x 1";"8 NA";"tetraspanin 36 [Source:ZFIN;Acc:ZDB-GENE-040718-248]"
"ENSDARG00000028087";"aldh2.2";10,4428552887134;"3 x 1";"5 NA";"aldehyde dehydrogenase 2 family (mitochondrial), tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-030326-5]"
"ENSDARG00000031981";"pcbd1";7,66348809854494;"3 x 1";"13 NA";"pterin-4 alpha-carbinolamine dehydratase/dimerization cofactor of hepatocyte nuclear factor 1 alpha [Source:ZFIN;Acc:ZDB-GENE-040426-1787]"
"ENSDARG00000032976";"cmlc1";7,13040655875965;"3 x 1";"5 NA";"cardiac myosin light chain-1 [Source:ZFIN;Acc:ZDB-GENE-030522-1]"
"ENSDARG00000040039";"pttg1ipb";7,86845244803327;"3 x 1";"9 NA";"PTTG1 interacting protein b [Source:ZFIN;Acc:ZDB-GENE-041010-10]"
"ENSDARG00000040178";"havcr1";6,37735107821571;"3 x 1";"21 NA";"hepatitis A virus cellular receptor 1 [Source:ZFIN;Acc:ZDB-GENE-040718-131]"
"ENSDARG00000042214";"tmem243a";5,20823394817429;"3 x 1";"18 NA";"transmembrane protein 243, mitochondrial a [Source:ZFIN;Acc:ZDB-GENE-050417-264]"
"ENSDARG00000042953";"cyp2n13";4,99115096155958;"3 x 1";"20 NA";"cytochrome P450, family 2, subfamily N, polypeptide 13 [Source:ZFIN;Acc:ZDB-GENE-041001-158]"
"ENSDARG00000043443";"kcnj13";8,00534082946768;"3 x 1";"15 NA";"potassium inwardly-rectifying channel, subfamily J, member 13 [Source:ZFIN;Acc:ZDB-GENE-070129-1]"
"ENSDARG00000052960";"nppa";5,27322093207919;"3 x 1";"8 NA";"natriuretic peptide A [Source:ZFIN;Acc:ZDB-GENE-030131-95]"
"ENSDARG00000054829";"pik3c3";10,5095215311926;"3 x 1";"7 NA";"phosphatidylinositol 3-kinase, catalytic subunit type 3 [Source:ZFIN;Acc:ZDB-GENE-050410-13]"
"ENSDARG00000057166";"c13h10orf11";5,86050208414171;"3 x 1";"13 NA";"c13h10orf11 homolog (H. sapiens) [Source:ZFIN;Acc:ZDB-GENE-050522-285]"
"ENSDARG00000058734";"prdx1";9,2085345501742;"3 x 1";"2 NA";"peroxiredoxin 1 [Source:ZFIN;Acc:ZDB-GENE-050320-35]"
"ENSDARG00000063481";"si:ch211-214j24.15";4,9153208602878;"3 x 1";"4 NA";"si:ch211-214j24.15 [Source:ZFIN;Acc:ZDB-GENE-110914-85]"
"ENSDARG00000071062";"hps5";8,32933414454502;"3 x 1";"25 NA";"Hermansky-Pudlak syndrome 5 [Source:ZFIN;Acc:ZDB-GENE-070410-80]"
"ENSDARG00000089917";"sh3tc2";9,91513628637538;"3 x 1";"14 NA";"SH3 domain and tetratricopeptide repeats 2 [Source:ZFIN;Acc:ZDB-GENE-081104-347]"
"ENSDARG00000098465";"si:ch73-366l1.5";9,93548637420688;"3 x 1";"3 NA";"si:ch73-366l1.5 [Source:ZFIN;Acc:ZDB-GENE-131127-426]"
"ENSDARG00000098589";"cyb5a";10,131417906072;"3 x 1";"24 NA";"cytochrome b5 type A (microsomal) [Source:ZFIN;Acc:ZDB-GENE-040426-2148]"
"ENSDARG00000099154";"";9,40247535490346;"3 x 1";"KN149764.1 NA";""
"ENSDARG00000003931";"cndp2";9,53300127976177;"4 x 1";"19 NA";"carnosine dipeptidase 2 [Source:ZFIN;Acc:ZDB-GENE-030131-5499]"
"ENSDARG00000004517";"ppat";8,5071529327087;"4 x 1";"20 NA";"phosphoribosyl pyrophosphate amidotransferase [Source:ZFIN;Acc:ZDB-GENE-041210-323]"
"ENSDARG00000005049";"rab20";6,9614634110228;"4 x 1";"9 NA";"RAB20, member RAS oncogene family [Source:ZFIN;Acc:ZDB-GENE-030131-9143]"
"ENSDARG00000011400";"tnnc1a";5,72026028872187;"4 x 1";"23 NA";"troponin C type 1a (slow) [Source:ZFIN;Acc:ZDB-GENE-030523-1]"
"ENSDARG00000016132";"keap1a";8,90230454254214;"4 x 1";"2 NA";"kelch-like ECH-associated protein 1a [Source:ZFIN;Acc:ZDB-GENE-030131-556]"
"ENSDARG00000019195";"vps9d1";8,96853601143336;"4 x 1";"18 NA";"VPS9 domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-050306-57]"
"ENSDARG00000020610";"tnnt2a";5,47096869016654;"4 x 1";"23 NA";"troponin T type 2a (cardiac) [Source:ZFIN;Acc:ZDB-GENE-000626-1]"
"ENSDARG00000025375";"";10,4815616548036;"4 x 1";"9 NA";"isocitrate dehydrogenase 1 (NADP+), soluble [Source:ZFIN;Acc:ZDB-GENE-031006-1]"
"ENSDARG00000029524";"impdh1b";11,9302105823267;"4 x 1";"4 NA";"IMP (inosine 5'-monophosphate) dehydrogenase 1b [Source:ZFIN;Acc:ZDB-GENE-030219-206]"
"ENSDARG00000034222";"hs1bp3";5,74399393717986;"4 x 1";"17 NA";"HCLS1 binding protein 3 [Source:ZFIN;Acc:ZDB-GENE-131121-391]"
"ENSDARG00000043180";"gpd1b";8,8119653549299;"4 x 1";"22 NA";"glycerol-3-phosphate dehydrogenase 1b [Source:ZFIN;Acc:ZDB-GENE-030131-3906]"
"ENSDARG00000043701";"gpd1a";6,87801735309325;"4 x 1";"8 NA";"glycerol-3-phosphate dehydrogenase 1a [Source:ZFIN;Acc:ZDB-GENE-050417-209]"
"ENSDARG00000052708";"tnni1b";6,71706712880041;"4 x 1";"6 NA";"troponin I type 1b (skeletal, slow) [Source:ZFIN;Acc:ZDB-GENE-041212-37]"
"ENSDARG00000055226";"slc7a7";7,76092624647508;"4 x 1";"7 NA";"solute carrier family 7 (amino acid transporter light chain, y+L system), member 7 [Source:ZFIN;Acc:ZDB-GENE-051127-5]"
"ENSDARG00000057630";"galm";6,05893001688407;"4 x 1";"13 NA";"galactose mutarotase [Source:ZFIN;Acc:ZDB-GENE-040718-66]"
"ENSDARG00000061634";"aifm4";7,0372316010707;"4 x 1";"15 NA";"apoptosis-inducing factor, mitochondrion-associated, 4 [Source:ZFIN;Acc:ZDB-GENE-070112-2282]"
"ENSDARG00000070453";"gch1";8,49399149958569;"4 x 1";"17 NA";"GTP cyclohydrolase 1 [Source:ZFIN;Acc:ZDB-GENE-070720-5]"
"ENSDARG00000074126";"ttc39a";7,34638966860181;"4 x 1";"8 NA";"tetratricopeptide repeat domain 39A [Source:ZFIN;Acc:ZDB-GENE-091116-42]"
"ENSDARG00000076789";"cx32.2";7,24233486801417;"4 x 1";"20 NA";"connexin 32.2 [Source:ZFIN;Acc:ZDB-GENE-050303-1]"
"ENSDARG00000077004";"aldh1l1";10,0150829975436;"4 x 1";"6 NA";"aldehyde dehydrogenase 1 family, member L1 [Source:ZFIN;Acc:ZDB-GENE-100519-4]"
"ENSDARG00000078417";"plxdc1";4,05100487831949;"4 x 1";"12 NA";"plexin domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-081104-391]"
"ENSDARG00000079553";"cd83";6,71439641110688;"4 x 1";"16 NA";"CD83 molecule [Source:ZFIN;Acc:ZDB-GENE-060503-762]"
"ENSDARG00000079782";"vmhcl";7,84617820303147;"4 x 1";"2 NA";"ventricular myosin heavy chain-like [Source:ZFIN;Acc:ZDB-GENE-061027-393]"
"ENSDARG00000086786";"mfsd10";8,02646464581064;"4 x 1";"5 NA";"major facilitator superfamily domain containing 10 [Source:ZFIN;Acc:ZDB-GENE-050417-154]"
"ENSDARG00000087519";"";5,91837025315417;"4 x 1";"16 NA";""
"ENSDARG00000089924";"aldh2.1";9,66929613168076;"4 x 1";"5 NA";"aldehyde dehydrogenase 2 family (mitochondrial), tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-040426-1262]"
"ENSDARG00000093658";"tm7sf3";8,76193727248174;"4 x 1";"4 NA";"transmembrane 7 superfamily member 3 [Source:ZFIN;Acc:ZDB-GENE-030131-1770]"
"ENSDARG00000094695";"si:dkey-204f11.64";7,76526134067121;"4 x 1";"3 NA";"si:dkey-204f11.64 [Source:ZFIN;Acc:ZDB-GENE-030131-8332]"
"ENSDARG00000002593";"slc45a2";6,74884224305046;"5 x 1";"21 NA";"solute carrier family 45, member 2 [Source:ZFIN;Acc:ZDB-GENE-050208-97]"
"ENSDARG00000008811";"cmtm3";7,3975629507333;"5 x 1";"7 NA";"CKLF-like MARVEL transmembrane domain containing 3 [Source:ZFIN;Acc:ZDB-GENE-040801-206]"
"ENSDARG00000010032";"cmtm7";6,96883673788329;"5 x 1";"16 NA";"CKLF-like MARVEL transmembrane domain containing 7 [Source:ZFIN;Acc:ZDB-GENE-041111-174]"
"ENSDARG00000027529";"hmox1a";8,63374489682222;"5 x 1";"3 NA";"heme oxygenase 1a [Source:ZFIN;Acc:ZDB-GENE-030131-3102]"
"ENSDARG00000042793";"tpp1";9,41758874622488;"5 x 1";"17 NA";"tripeptidyl peptidase I [Source:ZFIN;Acc:ZDB-GENE-030131-6654]"
"ENSDARG00000045932";"cpeb1a";5,65354554089842;"5 x 1";"25 NA";"cytoplasmic polyadenylation element binding protein 1a [Source:ZFIN;Acc:ZDB-GENE-080723-42]"
"ENSDARG00000052429";"syngr2a";7,51110265479704;"5 x 1";"3 NA";"synaptogyrin 2a [Source:ZFIN;Acc:ZDB-GENE-070112-1292]"
"ENSDARG00000056233";"zgc:110591";8,28196784073155;"5 x 1";"7 NA";"zgc:110591 [Source:ZFIN;Acc:ZDB-GENE-050522-510]"
"ENSDARG00000057575";"pnp4a";6,94900482451791;"5 x 1";"11 NA";"purine nucleoside phosphorylase 4a [Source:ZFIN;Acc:ZDB-GENE-040625-83]"
"ENSDARG00000061713";"tpd52";8,20247512852188;"5 x 1";"19 NA";"tumor protein D52 [Source:ZFIN;Acc:ZDB-GENE-060503-680]"
"ENSDARG00000070404";"fam212ab";8,62056849094604;"5 x 1";"6 NA";"family with sequence similarity 212, member Ab [Source:ZFIN;Acc:ZDB-GENE-030131-5539]"
"ENSDARG00000074656";"ctss2.1";8,03835332312929;"5 x 1";"16 NA";"cathepsin S, ortholog2, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-050522-559]"
