"gene set";"p-value";"fdr"
"neuron projection morphogenesis";"0.111111111111111      .";"1      ."
"neuronal action potential";"0.111111111111111      .";"1      ."
"neuronal cell body";"0.111111111111111      .";"1      ."
"neurotransmitter secretion";"0.111111111111111      .";"1      ."
"neurotransmitter transport";"0.111111111111111      .";"1      ."
"neurotransmitter:sodium symporter activity";"0.111111111111111      .";"1      ."
"P granule";"0.111111111111111      .";"1      ."
"PDZ domain binding";"0.111111111111111      .";"1      ."
"peptidyl-serine phosphorylation";"0.111111111111111      .";"1      ."
"peptidyl-threonine phosphorylation";"0.111111111111111      .";"1      ."
"peptidyl-tyrosine dephosphorylation";"0.111111111111111      .";"1      ."
"peptidyl-tyrosine phosphorylation";"0.111111111111111      .";"1      ."
"phosphatidate phosphatase activity";"0.111111111111111      .";"1      ."
"phosphatidylinositol-4,5-bisphosphate binding";"0.111111111111111      .";"1      ."
"phospholipid dephosphorylation";"0.111111111111111      .";"1      ."
"phosphoprotein phosphatase activity";"0.111111111111111      .";"1      ."
"phosphorylation";"0.111111111111111      .";"1      ."
"plasma membrane";"0.111111111111111      .";"1      ."
"posterior lateral line neuromast development";"0.111111111111111      .";"1      ."
"postsynapse";"0.111111111111111      .";"1      ."
"postsynaptic density";"0.111111111111111      .";"1      ."
"postsynaptic membrane";"0.111111111111111      .";"1      ."
"potassium channel activity";"0.111111111111111      .";"1      ."
"potassium ion leak channel activity";"0.111111111111111      .";"1      ."
"potassium ion transmembrane transport";"0.111111111111111      .";"1      ."
"potassium ion transport";"0.111111111111111      .";"1      ."
"presynapse";"0.111111111111111      .";"1      ."
"presynaptic active zone";"0.111111111111111      .";"1      ."
"presynaptic membrane";"0.111111111111111      .";"1      ."
"protein autophosphorylation";"0.111111111111111      .";"1      ."
"protein domain specific binding";"0.111111111111111      .";"1      ."
"protein homooligomerization";"0.111111111111111      .";"1      ."
"protein kinase inhibitor activity";"0.111111111111111      .";"1      ."
"protein tyrosine kinase activity";"0.111111111111111      .";"1      ."
"protein tyrosine phosphatase activity";"0.111111111111111      .";"1      ."
"receptor activity";"0.111111111111111      .";"1      ."
"regulation of alternative mRNA splicing, via spliceosome";"0.111111111111111      .";"1      ."
"regulation of AMPA receptor activity";"0.111111111111111      .";"1      ."
"regulation of calcium ion-dependent exocytosis";"0.111111111111111      .";"1      ."
"regulation of canonical Wnt signaling pathway";"0.111111111111111      .";"1      ."
"regulation of cytoskeleton organization";"0.111111111111111      .";"1      ."
"regulation of cytosolic calcium ion concentration";"0.111111111111111      .";"1      ."
"regulation of exocytosis";"0.111111111111111      .";"1      ."
"regulation of ion transmembrane transport";"0.111111111111111      .";"1      ."
"regulation of molecular function";"0.111111111111111      .";"1      ."
"regulation of neuron differentiation";"0.111111111111111      .";"1      ."
"regulation of postsynaptic membrane potential";"0.111111111111111      .";"1      ."
"regulation of signal transduction";"0.111111111111111      .";"1      ."
"regulation of synaptic transmission, glutamatergic";"0.111111111111111      .";"1      ."
"response to drug";"0.111111111111111      .";"1      ."
"response to nicotine";"0.111111111111111      .";"1      ."
"retina morphogenesis in camera-type eye";"0.111111111111111      .";"1      ."
"retinoic acid receptor signaling pathway";"0.111111111111111      .";"1      ."
"signal transduction by protein phosphorylation";"0.111111111111111      .";"1      ."
"signaling";"0.111111111111111      .";"1      ."
"skeletal muscle cell differentiation";"0.111111111111111      .";"1      ."
"sodium channel activity";"0.111111111111111      .";"1      ."
"store-operated calcium channel activity";"0.111111111111111      .";"1      ."
"structural constituent of cytoskeleton";"0.111111111111111      .";"1      ."
"swimming behavior";"0.111111111111111      .";"1      ."
"synapse";"0.111111111111111      .";"1      ."
"synapse assembly";"0.111111111111111      .";"1      ."
"synapse organization";"0.111111111111111      .";"1      ."
"synaptic vesicle";"0.111111111111111      .";"1      ."
"synaptic vesicle endocytosis";"0.111111111111111      .";"1      ."
"synaptic vesicle membrane";"0.111111111111111      .";"1      ."
"syntaxin binding";"0.111111111111111      .";"1      ."
"transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding";"0.111111111111111      .";"1      ."
"transmembrane receptor protein tyrosine kinase signaling pathway";"0.111111111111111      .";"1      ."
"transmission of nerve impulse";"0.111111111111111      .";"1      ."
"tubulin binding";"0.111111111111111      .";"1      ."
"vesicle fusion";"0.111111111111111      .";"1      ."
"voltage-gated calcium channel activity";"0.111111111111111      .";"1      ."
"voltage-gated calcium channel complex";"0.111111111111111      .";"1      ."
"voltage-gated ion channel activity";"0.111111111111111      .";"1      ."
"voltage-gated potassium channel activity";"0.111111111111111      .";"1      ."
"voltage-gated potassium channel complex";"0.111111111111111      .";"1      ."
"voltage-gated sodium channel activity";"0.111111111111111      .";"1      ."
"voltage-gated sodium channel complex";"0.111111111111111      .";"1      ."
"3',5'-cyclic-nucleotide phosphodiesterase activity";"0.166666666666667      .";"1      ."
"acetylcholine-gated cation-selective channel activity";"0.166666666666667      .";"1      ."
"adenylate cyclase-modulating G-protein coupled receptor signaling pathway";"0.166666666666667      .";"1      ."
"BMP signaling pathway";"0.166666666666667      .";"1      ."
"brain morphogenesis";"0.166666666666667      .";"1      ."
"calcium-transporting ATPase activity";"0.166666666666667      .";"1      ."
"calcium ion binding";"0.166666666666667      .";"1      ."
"cartilage development";"0.166666666666667      .";"1      ."
"cell adhesion";"0.166666666666667      .";"1      ."
"cell growth";"0.166666666666667      .";"1      ."
"cell morphogenesis";"0.166666666666667      .";"1      ."
"cerebellum development";"0.166666666666667      .";"1      ."
"chromatin organization";"0.166666666666667      .";"1      ."
"chromatin remodeling";"0.166666666666667      .";"1      ."
"chromosome";"0.166666666666667      .";"1      ."
"cilium";"0.166666666666667      .";"1      ."
"cilium assembly";"0.166666666666667      .";"1      ."
"clathrin-coated pit";"0.166666666666667      .";"1      ."
"clathrin-coated vesicle";"0.166666666666667      .";"1      ."
"collagen binding";"0.166666666666667      .";"1      ."
"collagen fibril organization";"0.166666666666667      .";"1      ."
"collagen trimer";"0.166666666666667      .";"1      ."
"cytoplasmic vesicle";"0.166666666666667      .";"1      ."
"defense response to Gram-positive bacterium";"0.166666666666667      .";"1      ."
"developmental growth";"0.166666666666667      .";"1      ."
"DNA-templated transcription, initiation";"0.166666666666667      .";"1      ."
"DNA binding";"0.166666666666667      .";"1      ."
"dopaminergic neuron differentiation";"0.166666666666667      .";"1      ."
"dorsal/ventral pattern formation";"0.166666666666667      .";"1      ."
"dynein light chain binding";"0.166666666666667      .";"1      ."
"embryonic camera-type eye development";"0.166666666666667      .";"1      ."
"embryonic cranial skeleton morphogenesis";"0.166666666666667      .";"1      ."
"endothelial cell proliferation";"0.166666666666667      .";"1      ."
"establishment of mitotic spindle orientation";"0.166666666666667      .";"1      ."
"extracellular matrix";"0.166666666666667      .";"1      ."
"fin morphogenesis";"0.166666666666667      .";"1      ."
"fin regeneration";"0.166666666666667      .";"1      ."
"FK506 binding";"0.166666666666667      .";"1      ."
"G-protein coupled receptor activity";"0.166666666666667      .";"1      ."
"glucose homeostasis";"0.166666666666667      .";"1      ."
"growth factor activity";"0.166666666666667      .";"1      ."
"guanyl-nucleotide exchange factor activity";"0.166666666666667      .";"1      ."
"histone acetyltransferase complex";"0.166666666666667      .";"1      ."
"hypothalamus development";"0.166666666666667      .";"1      ."
"insulin receptor binding";"0.166666666666667      .";"1      ."
"integral component of plasma membrane";"0.166666666666667      .";"1      ."
"kinesin complex";"0.166666666666667      .";"1      ."
"larval locomotory behavior";"0.166666666666667      .";"1      ."
"membrane disruption in other organism";"0.166666666666667      .";"1      ."
"metallocarboxypeptidase activity";"0.166666666666667      .";"1      ."
"metallopeptidase activity";"0.166666666666667      .";"1      ."
"microtubule";"0.166666666666667      .";"1      ."
"microtubule-based movement";"0.166666666666667      .";"1      ."
"microtubule binding";"0.166666666666667      .";"1      ."
"microtubule cytoskeleton";"0.166666666666667      .";"1      ."
"microtubule cytoskeleton organization";"0.166666666666667      .";"1      ."
"microtubule motor activity";"0.166666666666667      .";"1      ."
"midbody";"0.166666666666667      .";"1      ."
"myelination";"0.166666666666667      .";"1      ."
"negative regulation of cell proliferation";"0.166666666666667      .";"1      ."
"negative regulation of nucleic acid-templated transcription";"0.166666666666667      .";"1      ."
"neuromuscular junction development";"0.166666666666667      .";"1      ."
"neuron projection development";"0.166666666666667      .";"1      ."
"neuropeptide binding";"0.166666666666667      .";"1      ."
"neurotransmitter receptor activity";"0.166666666666667      .";"1      ."
"non-canonical Wnt signaling pathway";"0.166666666666667      .";"1      ."
"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay";"0.166666666666667      .";"1      ."
"nuclear chromatin";"0.166666666666667      .";"1      ."
"nucleosome";"0.166666666666667      .";"1      ."
"nucleosome assembly";"0.166666666666667      .";"1      ."
"oxidoreductase activity, acting on the CH-NH2 group of donors, oxygen as acceptor";"0.166666666666667      .";"1      ."
"peptide binding";"0.166666666666667      .";"1      ."
"peptide metabolic process";"0.166666666666667      .";"1      ."
"pharyngeal system development";"0.166666666666667      .";"1      ."
"phosphatidylinositol 3-kinase binding";"0.166666666666667      .";"1      ."
"phosphatidylinositol phospholipase C activity";"0.166666666666667      .";"1      ."
"photoreceptor cell outer segment organization";"0.166666666666667      .";"1      ."
"positive regulation of neuron differentiation";"0.166666666666667      .";"1      ."
"positive regulation of Wnt signaling pathway";"0.166666666666667      .";"1      ."
"protein binding";"0.166666666666667      .";"1      ."
"protein complex scaffold";"0.166666666666667      .";"1      ."
"protein heterodimerization activity";"0.166666666666667      .";"1      ."
"protein kinase activity";"0.166666666666667      .";"1      ."
"protein localization";"0.166666666666667      .";"1      ."
"protein phosphatase type 2A complex";"0.166666666666667      .";"1      ."
"protein phosphorylation";"0.166666666666667      .";"1      ."
"protein serine/threonine kinase activity";"0.166666666666667      .";"1      ."
"protein serine/threonine phosphatase activity";"0.166666666666667      .";"1      ."
"proteinaceous extracellular matrix";"0.166666666666667      .";"1      ."
"regulation of ARF protein signal transduction";"0.166666666666667      .";"1      ."
"regulation of catalytic activity";"0.166666666666667      .";"1      ."
"regulation of cell shape";"0.166666666666667      .";"1      ."
"regulation of small GTPase mediated signal transduction";"0.166666666666667      .";"1      ."
"regulation of vascular endothelial growth factor receptor signaling pathway";"0.166666666666667      .";"1      ."
"response to mechanical stimulus";"0.166666666666667      .";"1      ."
"retina layer formation";"0.166666666666667      .";"1      ."
"retinal cone cell development";"0.166666666666667      .";"1      ."
"retrograde vesicle-mediated transport, Golgi to ER";"0.166666666666667      .";"1      ."
"semaphorin-plexin signaling pathway";"0.166666666666667      .";"1      ."
"semaphorin receptor activity";"0.166666666666667      .";"1      ."
"signal transducer, downstream of receptor, with serine/threonine kinase activity";"0.166666666666667      .";"1      ."
"signal transduction";"0.166666666666667      .";"1      ."
"smooth muscle contraction";"0.166666666666667      .";"1      ."
"sodium ion transmembrane transport";"0.166666666666667      .";"1      ."
"spectrin binding";"0.166666666666667      .";"1      ."
"spinal cord motor neuron differentiation";"0.166666666666667      .";"1      ."
"sprouting angiogenesis";"0.166666666666667      .";"1      ."
"symporter activity";"0.166666666666667      .";"1      ."
"synaptic vesicle fusion to presynaptic active zone membrane";"0.166666666666667      .";"1      ."
"trace-amine receptor activity";"0.166666666666667      .";"1      ."
"transcriptional repressor activity, RNA polymerase II core promoter proximal region sequence-specific binding";"0.166666666666667      .";"1      ."
"translational elongation";"0.166666666666667      .";"1      ."
"transmembrane receptor protein serine/threonine kinase signaling pathway";"0.166666666666667      .";"1      ."
"transmembrane receptor protein tyrosine kinase activity";"0.166666666666667      .";"1      ."
"ventricular system development";"0.166666666666667      .";"1      ."
"actin cytoskeleton organization";"0.222222222222222      .";"1      ."
"adenylate cyclase-inhibiting serotonin receptor signaling pathway";"0.222222222222222      .";"1      ."
"anchored component of membrane";"0.222222222222222      .";"1      ."
"animal organ morphogenesis";"0.222222222222222      .";"1      ."
"anterior/posterior pattern specification";"0.222222222222222      .";"1      ."
"ARF guanyl-nucleotide exchange factor activity";"0.222222222222222      .";"1      ."
"axon extension";"0.222222222222222      .";"1      ."
"beta-catenin binding";"0.222222222222222      .";"1      ."
"bone mineralization";"0.222222222222222      .";"1      ."
"calcium ion import";"0.222222222222222      .";"1      ."
"canonical Wnt signaling pathway";"0.222222222222222      .";"1      ."
"carbonate dehydratase activity";"0.222222222222222      .";"1      ."
"cartilage morphogenesis";"0.222222222222222      .";"1      ."
"cell adhesion molecule binding";"0.222222222222222      .";"1      ."
"cell projection organization";"0.222222222222222      .";"1      ."
"cell surface receptor signaling pathway";"0.222222222222222      .";"1      ."
"central nervous system development";"0.222222222222222      .";"1      ."
"chaperone-mediated protein folding";"0.222222222222222      .";"1      ."
"chaperonin-containing T-complex";"0.222222222222222      .";"1      ."
"closure of optic fissure";"0.222222222222222      .";"1      ."
"cytoskeleton";"0.222222222222222      .";"1      ."
"embryonic pattern specification";"0.222222222222222      .";"1      ."
"embryonic pectoral fin morphogenesis";"0.222222222222222      .";"1      ."
"embryonic retina morphogenesis in camera-type eye";"0.222222222222222      .";"1      ."
"ephrin receptor activity";"0.222222222222222      .";"1      ."
"extracellular matrix organization";"0.222222222222222      .";"1      ."
"extracellular matrix structural constituent";"0.222222222222222      .";"1      ."
"fin development";"0.222222222222222      .";"1      ."
"frizzled binding";"0.222222222222222      .";"1      ."
"G-protein coupled receptor signaling pathway";"0.222222222222222      .";"1      ."
"hemoglobin complex";"0.222222222222222      .";"1      ."
"heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules";"0.222222222222222      .";"1      ."
"hyaluronic acid binding";"0.222222222222222      .";"1      ."
"induction of positive chemotaxis";"0.222222222222222      .";"1      ."
"inner ear morphogenesis";"0.222222222222222      .";"1      ."
"insulin-like growth factor binding";"0.222222222222222      .";"1      ."
"MAP kinase kinase kinase activity";"0.222222222222222      .";"1      ."
"meiotic cell cycle";"0.222222222222222      .";"1      ."
"membrane fusion";"0.222222222222222      .";"1      ."
"midbrain-hindbrain boundary development";"0.222222222222222      .";"1      ."
"negative regulation of adenylate cyclase activity";"0.222222222222222      .";"1      ."
"negative regulation of transcription from RNA polymerase II promoter";"0.222222222222222      .";"1      ."
"negative regulation of transcription, DNA-templated";"0.222222222222222      .";"1      ."
"neuropilin binding";"0.222222222222222      .";"1      ."
"notochord development";"0.222222222222222      .";"1      ."
"notochord morphogenesis";"0.222222222222222      .";"1      ."
"nucleobase-containing compound kinase activity";"0.222222222222222      .";"1      ."
"nucleus";"0.222222222222222      .";"1      ."
"optokinetic behavior";"0.222222222222222      .";"1      ."
"ossification";"0.222222222222222      .";"1      ."
"oxygen binding";"0.222222222222222      .";"1      ."
"oxygen transport";"0.222222222222222      .";"1      ."
"oxygen transporter activity";"0.222222222222222      .";"1      ."
"p53 binding";"0.222222222222222      .";"1      ."
"pectoral fin development";"0.222222222222222      .";"1      ."
"peptide catabolic process";"0.222222222222222      .";"1      ."
"phospholipase C-activating dopamine receptor signaling pathway";"0.222222222222222      .";"1      ."
"phosphoric diester hydrolase activity";"0.222222222222222      .";"1      ."
"photoperiodism";"0.222222222222222      .";"1      ."
"positive regulation of cell migration";"0.222222222222222      .";"1      ."
"positive regulation of DNA repair";"0.222222222222222      .";"1      ."
"positive regulation of neurogenesis";"0.222222222222222      .";"1      ."
"posterior lateral line neuromast primordium migration";"0.222222222222222      .";"1      ."
"pronephric glomerulus morphogenesis";"0.222222222222222      .";"1      ."
"regulation of angiogenesis";"0.222222222222222      .";"1      ."
"regulation of cell growth";"0.222222222222222      .";"1      ."
"regulation of cell migration";"0.222222222222222      .";"1      ."
"regulation of gene expression";"0.222222222222222      .";"1      ."
"regulation of protein kinase activity";"0.222222222222222      .";"1      ."
"regulation of proteolysis";"0.222222222222222      .";"1      ."
"retinal ganglion cell axon guidance";"0.222222222222222      .";"1      ."
"RNA polymerase II core promoter proximal region sequence-specific DNA binding";"0.222222222222222      .";"1      ."
"sequence-specific DNA binding";"0.222222222222222      .";"1      ."
"serotonin binding";"0.222222222222222      .";"1      ."
"sialylation";"0.222222222222222      .";"1      ."
"sialyltransferase activity";"0.222222222222222      .";"1      ."
"skeletal system development";"0.222222222222222      .";"1      ."
"sodium ion transport";"0.222222222222222      .";"1      ."
"transcription corepressor activity";"0.222222222222222      .";"1      ."
"vasculature development";"0.222222222222222      .";"1      ."
"Wnt-activated receptor activity";"0.222222222222222      .";"1      ."
"Wnt-protein binding";"0.222222222222222      .";"1      ."
"'de novo' protein folding";"0.277777777777778      .";"1      ."
"acetylgalactosaminyltransferase activity";"0.277777777777778      .";"1      ."
"adenohypophysis development";"0.277777777777778      .";"1      ."
"adenosine receptor signaling pathway";"0.277777777777778      .";"1      ."
"adenylate cyclase activity";"0.277777777777778      .";"1      ."
"anatomical structure morphogenesis";"0.277777777777778      .";"1      ."
"anion transmembrane transporter activity";"0.277777777777778      .";"1      ."
"ATP hydrolysis coupled cation transmembrane transport";"0.277777777777778      .";"1      ."
"catalytic step 2 spliceosome";"0.277777777777778      .";"1      ."
"cation transmembrane transport";"0.277777777777778      .";"1      ."
"cell cycle arrest";"0.277777777777778      .";"1      ."
"cell fate commitment";"0.277777777777778      .";"1      ."
"cell projection";"0.277777777777778      .";"1      ."
"cGMP biosynthetic process";"0.277777777777778      .";"1      ."
"circadian regulation of gene expression";"0.277777777777778      .";"1      ."
"commitment complex";"0.277777777777778      .";"1      ."
"covalent chromatin modification";"0.277777777777778      .";"1      ."
"cyclic nucleotide biosynthetic process";"0.277777777777778      .";"1      ."
"cytoskeletal anchoring at nuclear membrane";"0.277777777777778      .";"1      ."
"defense response";"0.277777777777778      .";"1      ."
"detection of mechanical stimulus";"0.277777777777778      .";"1      ."
"determination of ventral identity";"0.277777777777778      .";"1      ."
"diacylglycerol kinase activity";"0.277777777777778      .";"1      ."
"dynein light intermediate chain binding";"0.277777777777778      .";"1      ."
"embryonic neurocranium morphogenesis";"0.277777777777778      .";"1      ."
"endocrine pancreas development";"0.277777777777778      .";"1      ."
"enteric nervous system development";"0.277777777777778      .";"1      ."
"ephrin receptor signaling pathway";"0.277777777777778      .";"1      ."
"extracellular region";"0.277777777777778      .";"1      ."
"extracellular space";"0.277777777777778      .";"1      ."
"floor plate formation";"0.277777777777778      .";"1      ."
"Golgi cisterna membrane";"0.277777777777778      .";"1      ."
"guanylate cyclase activity";"0.277777777777778      .";"1      ."
"guanylate cyclase complex, soluble";"0.277777777777778      .";"1      ."
"habenula development";"0.277777777777778      .";"1      ."
"heparan sulfate proteoglycan binding";"0.277777777777778      .";"1      ."
"immunoglobulin production";"0.277777777777778      .";"1      ."
"insulin receptor signaling pathway";"0.277777777777778      .";"1      ."
"intermediate filament";"0.277777777777778      .";"1      ."
"intracellular transport";"0.277777777777778      .";"1      ."
"intraciliary transport";"0.277777777777778      .";"1      ."
"lens development in camera-type eye";"0.277777777777778      .";"1      ."
"lymphangiogenesis";"0.277777777777778      .";"1      ."
"microtubule organizing center";"0.277777777777778      .";"1      ."
"mitotic cytokinesis";"0.277777777777778      .";"1      ."
"mRNA binding";"0.277777777777778      .";"1      ."
"multicellular organism development";"0.277777777777778      .";"1      ."
"muscle cell development";"0.277777777777778      .";"1      ."
"muscle fiber development";"0.277777777777778      .";"1      ."
"negative chemotaxis";"0.277777777777778      .";"1      ."
"negative regulation of canonical Wnt signaling pathway";"0.277777777777778      .";"1      ."
"negative regulation of cell death";"0.277777777777778      .";"1      ."
"negative regulation of Notch signaling pathway";"0.277777777777778      .";"1      ."
"neurogenesis";"0.277777777777778      .";"1      ."
"neuron differentiation";"0.277777777777778      .";"1      ."
"nucleosomal DNA binding";"0.277777777777778      .";"1      ."
"optic nerve development";"0.277777777777778      .";"1      ."
"otic placode formation";"0.277777777777778      .";"1      ."
"otic vesicle development";"0.277777777777778      .";"1      ."
"peripheral nervous system development";"0.277777777777778      .";"1      ."
"phosphorus-oxygen lyase activity";"0.277777777777778      .";"1      ."
"positive regulation of angiogenesis";"0.277777777777778      .";"1      ."
"positive regulation of BMP signaling pathway";"0.277777777777778      .";"1      ."
"positive regulation of cell proliferation";"0.277777777777778      .";"1      ."
"positive regulation of gene expression";"0.277777777777778      .";"1      ."
"positive regulation of transcription from RNA polymerase II promoter";"0.277777777777778      .";"1      ."
