"gene set";"p-value";"fdr"
"Rho GTPase binding";"0.0555555555555556      .";"0.638387675424712      ."
"semaphorin-plexin signaling pathway";"0.0555555555555556      .";"0.638387675424712      ."
"semaphorin receptor activity";"0.0555555555555556      .";"0.638387675424712      ."
"signal transducer, downstream of receptor, with serine/threonine kinase activity";"0.0555555555555556      .";"0.638387675424712      ."
"smooth muscle contraction";"0.0555555555555556      .";"0.638387675424712      ."
"sprouting angiogenesis";"0.0555555555555556      .";"0.638387675424712      ."
"steroid hormone mediated signaling pathway";"0.0555555555555556      .";"0.638387675424712      ."
"steroid hormone receptor activity";"0.0555555555555556      .";"0.638387675424712      ."
"swim bladder development";"0.0555555555555556      .";"0.638387675424712      ."
"transcription factor activity, sequence-specific DNA binding";"0.0555555555555556      .";"0.638387675424712      ."
"transcription factor complex";"0.0555555555555556      .";"0.638387675424712      ."
"transcription regulatory region sequence-specific DNA binding";"0.0555555555555556      .";"0.638387675424712      ."
"transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding";"0.0555555555555556      .";"0.638387675424712      ."
"transmembrane receptor protein serine/threonine kinase activity";"0.0555555555555556      .";"0.638387675424712      ."
"transmembrane receptor protein serine/threonine kinase signaling pathway";"0.0555555555555556      .";"0.638387675424712      ."
"transmembrane receptor protein tyrosine kinase activity";"0.0555555555555556      .";"0.638387675424712      ."
"transmembrane receptor protein tyrosine kinase signaling pathway";"0.0555555555555556      .";"0.638387675424712      ."
"transmembrane signaling receptor activity";"0.0555555555555556      .";"0.638387675424712      ."
"vasculature development";"0.0555555555555556      .";"0.638387675424712      ."
"ventricular system development";"0.0555555555555556      .";"0.638387675424712      ."
"Wnt signaling pathway";"0.0555555555555556      .";"0.638387675424712      ."
"acetylcholine-gated cation-selective channel activity";"0.111111111111111      .";"0.638387675424712      ."
"acetylgalactosaminyltransferase activity";"0.111111111111111      .";"0.638387675424712      ."
"actin filament bundle assembly";"0.111111111111111      .";"0.638387675424712      ."
"adenosine deaminase activity";"0.111111111111111      .";"0.638387675424712      ."
"anatomical structure morphogenesis";"0.111111111111111      .";"0.638387675424712      ."
"anion transmembrane transporter activity";"0.111111111111111      .";"0.638387675424712      ."
"ARF guanyl-nucleotide exchange factor activity";"0.111111111111111      .";"0.638387675424712      ."
"basement membrane";"0.111111111111111      .";"0.638387675424712      ."
"basolateral plasma membrane";"0.111111111111111      .";"0.638387675424712      ."
"BMP signaling pathway";"0.111111111111111      .";"0.638387675424712      ."
"brain morphogenesis";"0.111111111111111      .";"0.638387675424712      ."
"calcium ion import";"0.111111111111111      .";"0.638387675424712      ."
"carbonate dehydratase activity";"0.111111111111111      .";"0.638387675424712      ."
"cartilage development";"0.111111111111111      .";"0.638387675424712      ."
"cartilage morphogenesis";"0.111111111111111      .";"0.638387675424712      ."
"cation:chloride symporter activity";"0.111111111111111      .";"0.638387675424712      ."
"cell adhesion";"0.111111111111111      .";"0.638387675424712      ."
"cell differentiation";"0.111111111111111      .";"0.638387675424712      ."
"cell morphogenesis";"0.111111111111111      .";"0.638387675424712      ."
"clathrin-coated vesicle";"0.111111111111111      .";"0.638387675424712      ."
"collagen binding";"0.111111111111111      .";"0.638387675424712      ."
"collagen fibril organization";"0.111111111111111      .";"0.638387675424712      ."
"collagen trimer";"0.111111111111111      .";"0.638387675424712      ."
"defense response";"0.111111111111111      .";"0.638387675424712      ."
"developmental growth";"0.111111111111111      .";"0.638387675424712      ."
"diacylglycerol kinase activity";"0.111111111111111      .";"0.638387675424712      ."
"embryonic retina morphogenesis in camera-type eye";"0.111111111111111      .";"0.638387675424712      ."
"establishment or maintenance of epithelial cell apical/basal polarity";"0.111111111111111      .";"0.638387675424712      ."
"extracellular matrix";"0.111111111111111      .";"0.638387675424712      ."
"extracellular matrix organization";"0.111111111111111      .";"0.638387675424712      ."
"extracellular matrix structural constituent";"0.111111111111111      .";"0.638387675424712      ."
"eye development";"0.111111111111111      .";"0.638387675424712      ."
"fin development";"0.111111111111111      .";"0.638387675424712      ."
"fin morphogenesis";"0.111111111111111      .";"0.638387675424712      ."
"fin regeneration";"0.111111111111111      .";"0.638387675424712      ."
"G-protein coupled receptor activity";"0.111111111111111      .";"0.638387675424712      ."
"gastrulation with mouth forming second";"0.111111111111111      .";"0.638387675424712      ."
"glomerulus development";"0.111111111111111      .";"0.638387675424712      ."
"inner ear morphogenesis";"0.111111111111111      .";"0.638387675424712      ."
"insulin receptor signaling pathway";"0.111111111111111      .";"0.638387675424712      ."
"integral component of membrane";"0.111111111111111      .";"0.638387675424712      ."
"integral component of plasma membrane";"0.111111111111111      .";"0.638387675424712      ."
"intracellular receptor signaling pathway";"0.111111111111111      .";"0.638387675424712      ."
"kidney development";"0.111111111111111      .";"0.638387675424712      ."
"lymphangiogenesis";"0.111111111111111      .";"0.638387675424712      ."
"membrane";"0.111111111111111      .";"0.638387675424712      ."
"metal ion binding";"0.111111111111111      .";"0.638387675424712      ."
"metallocarboxypeptidase activity";"0.111111111111111      .";"0.638387675424712      ."
"metallopeptidase activity";"0.111111111111111      .";"0.638387675424712      ."
"miRNA mediated inhibition of translation";"0.111111111111111      .";"0.638387675424712      ."
"muscle organ development";"0.111111111111111      .";"0.638387675424712      ."
"negative regulation of angiogenesis";"0.111111111111111      .";"0.638387675424712      ."
"negative regulation of cell death";"0.111111111111111      .";"0.638387675424712      ."
"negative regulation of cell differentiation";"0.111111111111111      .";"0.638387675424712      ."
"negative regulation of peptidase activity";"0.111111111111111      .";"0.638387675424712      ."
"neurogenesis";"0.111111111111111      .";"0.638387675424712      ."
"neuromuscular junction development";"0.111111111111111      .";"0.638387675424712      ."
"non-canonical Wnt signaling pathway";"0.111111111111111      .";"0.638387675424712      ."
"notochord development";"0.111111111111111      .";"0.638387675424712      ."
"notochord morphogenesis";"0.111111111111111      .";"0.638387675424712      ."
"oligodendrocyte development";"0.111111111111111      .";"0.638387675424712      ."
"ossification";"0.111111111111111      .";"0.638387675424712      ."
"oxidoreductase activity, acting on the CH-NH2 group of donors, oxygen as acceptor";"0.111111111111111      .";"0.638387675424712      ."
"pancreas development";"0.111111111111111      .";"0.638387675424712      ."
"pancreas regeneration";"0.111111111111111      .";"0.638387675424712      ."
"pectoral fin development";"0.111111111111111      .";"0.638387675424712      ."
"peptidase inhibitor activity";"0.111111111111111      .";"0.638387675424712      ."
"peptide metabolic process";"0.111111111111111      .";"0.638387675424712      ."
"phagocytosis";"0.111111111111111      .";"0.638387675424712      ."
"positive regulation of BMP signaling pathway";"0.111111111111111      .";"0.638387675424712      ."
"positive regulation of transcription from RNA polymerase II promoter";"0.111111111111111      .";"0.638387675424712      ."
"posterior lateral line development";"0.111111111111111      .";"0.638387675424712      ."
"primitive erythrocyte differentiation";"0.111111111111111      .";"0.638387675424712      ."
"pronephros development";"0.111111111111111      .";"0.638387675424712      ."
"protein dimerization activity";"0.111111111111111      .";"0.638387675424712      ."
"protein kinase activity";"0.111111111111111      .";"0.638387675424712      ."
"protein localization";"0.111111111111111      .";"0.638387675424712      ."
"protein phosphorylation";"0.111111111111111      .";"0.638387675424712      ."
"proteinaceous extracellular matrix";"0.111111111111111      .";"0.638387675424712      ."
"regulation of ARF protein signal transduction";"0.111111111111111      .";"0.638387675424712      ."
"regulation of cell growth";"0.111111111111111      .";"0.638387675424712      ."
"regulation of transcription from RNA polymerase II promoter";"0.111111111111111      .";"0.638387675424712      ."
"regulation of transcription, DNA-templated";"0.111111111111111      .";"0.638387675424712      ."
"regulation of vascular endothelial growth factor receptor signaling pathway";"0.111111111111111      .";"0.638387675424712      ."
"regulation of Wnt signaling pathway";"0.111111111111111      .";"0.638387675424712      ."
"retinal ganglion cell axon guidance";"0.111111111111111      .";"0.638387675424712      ."
"RNA polymerase II core promoter proximal region sequence-specific DNA binding";"0.111111111111111      .";"0.638387675424712      ."
"RNA polymerase II regulatory region sequence-specific DNA binding";"0.111111111111111      .";"0.638387675424712      ."
"RNA polymerase II transcription factor activity, sequence-specific DNA binding";"0.111111111111111      .";"0.638387675424712      ."
"RNA polymerase II transcriptional preinitiation complex assembly";"0.111111111111111      .";"0.638387675424712      ."
"SCF ubiquitin ligase complex";"0.111111111111111      .";"0.638387675424712      ."
"semicircular canal morphogenesis";"0.111111111111111      .";"0.638387675424712      ."
"sensory epithelium regeneration";"0.111111111111111      .";"0.638387675424712      ."
"sensory perception of sound";"0.111111111111111      .";"0.638387675424712      ."
"sequence-specific DNA binding";"0.111111111111111      .";"0.638387675424712      ."
"sialylation";"0.111111111111111      .";"0.638387675424712      ."
"sialyltransferase activity";"0.111111111111111      .";"0.638387675424712      ."
"signal transducer activity";"0.111111111111111      .";"0.638387675424712      ."
"signal transduction";"0.111111111111111      .";"0.638387675424712      ."
"skeletal system development";"0.111111111111111      .";"0.638387675424712      ."
"SMAD binding";"0.111111111111111      .";"0.638387675424712      ."
"sodium ion transmembrane transport";"0.111111111111111      .";"0.638387675424712      ."
"sodium ion transport";"0.111111111111111      .";"0.638387675424712      ."
"spinal cord motor neuron differentiation";"0.111111111111111      .";"0.638387675424712      ."
"sterol biosynthetic process";"0.111111111111111      .";"0.638387675424712      ."
"striated muscle cell development";"0.111111111111111      .";"0.638387675424712      ."
"symporter activity";"0.111111111111111      .";"0.638387675424712      ."
"transcription regulatory region DNA binding";"0.111111111111111      .";"0.638387675424712      ."
"transcriptional repressor activity, RNA polymerase II core promoter proximal region sequence-specific binding";"0.111111111111111      .";"0.638387675424712      ."
"transforming growth factor beta receptor signaling pathway";"0.111111111111111      .";"0.638387675424712      ."
"transition metal ion binding";"0.111111111111111      .";"0.638387675424712      ."
"Wnt-activated receptor activity";"0.111111111111111      .";"0.638387675424712      ."
"Wnt-protein binding";"0.111111111111111      .";"0.638387675424712      ."
"5'-nucleotidase activity";"0.166666666666667      .";"0.638387675424712      ."
"activation of MAPKKK activity";"0.166666666666667      .";"0.638387675424712      ."
"actomyosin structure organization";"0.166666666666667      .";"0.638387675424712      ."
"adenohypophysis development";"0.166666666666667      .";"0.638387675424712      ."
"amino acid transmembrane transport";"0.166666666666667      .";"0.638387675424712      ."
"amino acid transmembrane transporter activity";"0.166666666666667      .";"0.638387675424712      ."
"ammonium transmembrane transport";"0.166666666666667      .";"0.638387675424712      ."
"axon extension";"0.166666666666667      .";"0.638387675424712      ."
"axoneme";"0.166666666666667      .";"0.638387675424712      ."
"axonogenesis";"0.166666666666667      .";"0.638387675424712      ."
"calcium channel activity";"0.166666666666667      .";"0.638387675424712      ."
"calcium ion-regulated exocytosis of neurotransmitter";"0.166666666666667      .";"0.638387675424712      ."
"calcium ion transmembrane transport";"0.166666666666667      .";"0.638387675424712      ."
"calcium ion transport";"0.166666666666667      .";"0.638387675424712      ."
"carboxylic ester hydrolase activity";"0.166666666666667      .";"0.638387675424712      ."
"cell-cell adherens junction";"0.166666666666667      .";"0.638387675424712      ."
"cell-cell signaling";"0.166666666666667      .";"0.638387675424712      ."
"cell adhesion molecule binding";"0.166666666666667      .";"0.638387675424712      ."
"cell communication";"0.166666666666667      .";"0.638387675424712      ."
"cell junction";"0.166666666666667      .";"0.638387675424712      ."
"cell migration involved in gastrulation";"0.166666666666667      .";"0.638387675424712      ."
"cell surface";"0.166666666666667      .";"0.638387675424712      ."
"central nervous system development";"0.166666666666667      .";"0.638387675424712      ."
"central nervous system projection neuron axonogenesis";"0.166666666666667      .";"0.638387675424712      ."
"cGMP biosynthetic process";"0.166666666666667      .";"0.638387675424712      ."
"chemical synaptic transmission";"0.166666666666667      .";"0.638387675424712      ."
"chondrocyte differentiation";"0.166666666666667      .";"0.638387675424712      ."
"chromatin";"0.166666666666667      .";"0.638387675424712      ."
"clathrin binding";"0.166666666666667      .";"0.638387675424712      ."
"clathrin coat assembly";"0.166666666666667      .";"0.638387675424712      ."
"convergent extension involved in axis elongation";"0.166666666666667      .";"0.638387675424712      ."
"cyclic nucleotide biosynthetic process";"0.166666666666667      .";"0.638387675424712      ."
"cytoskeletal protein binding";"0.166666666666667      .";"0.638387675424712      ."
"detection of chemical stimulus involved in sensory perception of smell";"0.166666666666667      .";"0.638387675424712      ."
"determination of left/right symmetry";"0.166666666666667      .";"0.638387675424712      ."
"developmental process";"0.166666666666667      .";"0.638387675424712      ."
"dopamine receptor signaling pathway";"0.166666666666667      .";"0.638387675424712      ."
"dynamin family protein polymerization involved in mitochondrial fission";"0.166666666666667      .";"0.638387675424712      ."
"embryonic neurocranium morphogenesis";"0.166666666666667      .";"0.638387675424712      ."
"embryonic pattern specification";"0.166666666666667      .";"0.638387675424712      ."
"embryonic pectoral fin morphogenesis";"0.166666666666667      .";"0.638387675424712      ."
"embryonic viscerocranium morphogenesis";"0.166666666666667      .";"0.638387675424712      ."
"endoderm formation";"0.166666666666667      .";"0.638387675424712      ."
"ephrin receptor activity";"0.166666666666667      .";"0.638387675424712      ."
"establishment or maintenance of cell polarity";"0.166666666666667      .";"0.638387675424712      ."
"excitatory postsynaptic potential";"0.166666666666667      .";"0.638387675424712      ."
"exocytic vesicle";"0.166666666666667      .";"0.638387675424712      ."
"extracellular-glutamate-gated ion channel activity";"0.166666666666667      .";"0.638387675424712      ."
"extracellular ligand-gated ion channel activity";"0.166666666666667      .";"0.638387675424712      ."
"extracellular region";"0.166666666666667      .";"0.638387675424712      ."
"extracellular space";"0.166666666666667      .";"0.638387675424712      ."
"eye photoreceptor cell development";"0.166666666666667      .";"0.638387675424712      ."
"G-protein coupled receptor signaling pathway";"0.166666666666667      .";"0.638387675424712      ."
"G-protein coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger";"0.166666666666667      .";"0.638387675424712      ."
"GABA-A receptor activity";"0.166666666666667      .";"0.638387675424712      ."
"GABA-A receptor complex";"0.166666666666667      .";"0.638387675424712      ."
"generation of neurons";"0.166666666666667      .";"0.638387675424712      ."
"glutamate receptor activity";"0.166666666666667      .";"0.638387675424712      ."
"guanylate cyclase activity";"0.166666666666667      .";"0.638387675424712      ."
"guanylate cyclase complex, soluble";"0.166666666666667      .";"0.638387675424712      ."
"habenula development";"0.166666666666667      .";"0.638387675424712      ."
"heart looping";"0.166666666666667      .";"0.638387675424712      ."
"heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules";"0.166666666666667      .";"0.638387675424712      ."
"high voltage-gated calcium channel activity";"0.166666666666667      .";"0.638387675424712      ."
"hindbrain development";"0.166666666666667      .";"0.638387675424712      ."
"homophilic cell adhesion via plasma membrane adhesion molecules";"0.166666666666667      .";"0.638387675424712      ."
"inner ear development";"0.166666666666667      .";"0.638387675424712      ."
"intracellular membrane-bounded organelle";"0.166666666666667      .";"0.638387675424712      ."
"intracellular signal transduction";"0.166666666666667      .";"0.638387675424712      ."
"intrinsic apoptotic signaling pathway by p53 class mediator";"0.166666666666667      .";"0.638387675424712      ."
"intrinsic component of the cytoplasmic side of the plasma membrane";"0.166666666666667      .";"0.638387675424712      ."
"ion channel activity";"0.166666666666667      .";"0.638387675424712      ."
"ion transmembrane transport";"0.166666666666667      .";"0.638387675424712      ."
"ion transport";"0.166666666666667      .";"0.638387675424712      ."
"ionotropic glutamate receptor activity";"0.166666666666667      .";"0.638387675424712      ."
"ionotropic glutamate receptor signaling pathway";"0.166666666666667      .";"0.638387675424712      ."
"kinase activity";"0.166666666666667      .";"0.638387675424712      ."
"lipid phosphatase activity";"0.166666666666667      .";"0.638387675424712      ."
"MAP kinase kinase kinase kinase activity";"0.166666666666667      .";"0.638387675424712      ."
"membrane depolarization during action potential";"0.166666666666667      .";"0.638387675424712      ."
"membrane fusion";"0.166666666666667      .";"0.638387675424712      ."
"multicellular organism development";"0.166666666666667      .";"0.638387675424712      ."
"muscle fiber development";"0.166666666666667      .";"0.638387675424712      ."
"negative regulation of JAK-STAT cascade";"0.166666666666667      .";"0.638387675424712      ."
"negative regulation of protein kinase activity";"0.166666666666667      .";"0.638387675424712      ."
"negative regulation of Ras protein signal transduction";"0.166666666666667      .";"0.638387675424712      ."
"neural tube formation";"0.166666666666667      .";"0.638387675424712      ."
"neuromuscular synaptic transmission";"0.166666666666667      .";"0.638387675424712      ."
"neuron projection";"0.166666666666667      .";"0.638387675424712      ."
"neuron projection morphogenesis";"0.166666666666667      .";"0.638387675424712      ."
"neuronal action potential";"0.166666666666667      .";"0.638387675424712      ."
"neurotransmitter secretion";"0.166666666666667      .";"0.638387675424712      ."
"neurotransmitter transport";"0.166666666666667      .";"0.638387675424712      ."
"odontogenesis";"0.166666666666667      .";"0.638387675424712      ."
"olfactory receptor activity";"0.166666666666667      .";"0.638387675424712      ."
"otolith morphogenesis";"0.166666666666667      .";"0.638387675424712      ."
"PDZ domain binding";"0.166666666666667      .";"0.638387675424712      ."
"phosphatidate phosphatase activity";"0.166666666666667      .";"0.638387675424712      ."
"phosphatidylinositol 3-kinase signaling";"0.166666666666667      .";"0.638387675424712      ."
"phospholipid binding";"0.166666666666667      .";"0.638387675424712      ."
"phospholipid dephosphorylation";"0.166666666666667      .";"0.638387675424712      ."
"phosphorus-oxygen lyase activity";"0.166666666666667      .";"0.638387675424712      ."
"phosphorylation";"0.166666666666667      .";"0.638387675424712      ."
"photoreceptor cell maintenance";"0.166666666666667      .";"0.638387675424712      ."
"plasma membrane";"0.166666666666667      .";"0.638387675424712      ."
"positive regulation of cell migration";"0.166666666666667      .";"0.638387675424712      ."
"positive regulation of cell proliferation";"0.166666666666667      .";"0.638387675424712      ."
"postsynaptic membrane";"0.166666666666667      .";"0.638387675424712      ."
"potassium channel activity";"0.166666666666667      .";"0.638387675424712      ."
"potassium ion transmembrane transport";"0.166666666666667      .";"0.638387675424712      ."
"potassium ion transport";"0.166666666666667      .";"0.638387675424712      ."
"presynapse";"0.166666666666667      .";"0.638387675424712      ."
"presynaptic membrane";"0.166666666666667      .";"0.638387675424712      ."
"pronephric glomerulus development";"0.166666666666667      .";"0.638387675424712      ."
"protein homooligomerization";"0.166666666666667      .";"0.638387675424712      ."
"protein kinase C-activating G-protein coupled receptor signaling pathway";"0.166666666666667      .";"0.638387675424712      ."
"protein kinase inhibitor activity";"0.166666666666667      .";"0.638387675424712      ."
"protein phosphatase inhibitor activity";"0.166666666666667      .";"0.638387675424712      ."
"receptor activity";"0.166666666666667      .";"0.638387675424712      ."
"regulation of calcium ion-dependent exocytosis";"0.166666666666667      .";"0.638387675424712      ."
"regulation of ion transmembrane transport";"0.166666666666667      .";"0.638387675424712      ."
"regulation of neuron differentiation";"0.166666666666667      .";"0.638387675424712      ."
"regulation of postsynaptic membrane potential";"0.166666666666667      .";"0.638387675424712      ."
"regulation of proteolysis";"0.166666666666667      .";"0.638387675424712      ."
"regulation of Rho protein signal transduction";"0.166666666666667      .";"0.638387675424712      ."
"regulation of RNA splicing";"0.166666666666667      .";"0.638387675424712      ."
"regulation of synaptic transmission, glutamatergic";"0.166666666666667      .";"0.638387675424712      ."
"response to biotic stimulus";"0.166666666666667      .";"0.638387675424712      ."
"RNA polymerase II transcription factor activity, ligand-activated sequence-specific DNA binding";"0.166666666666667      .";"0.638387675424712      ."
"smoothened signaling pathway";"0.166666666666667      .";"0.638387675424712      ."
"sodium channel activity";"0.166666666666667      .";"0.638387675424712      ."
"somitogenesis";"0.166666666666667      .";"0.638387675424712      ."
"synapse";"0.166666666666667      .";"0.638387675424712      ."
"synapse assembly";"0.166666666666667      .";"0.638387675424712      ."
"synaptic vesicle";"0.166666666666667      .";"0.638387675424712      ."
"synaptic vesicle endocytosis";"0.166666666666667      .";"0.638387675424712      ."
"synaptic vesicle membrane";"0.166666666666667      .";"0.638387675424712      ."
"syntaxin binding";"0.166666666666667      .";"0.638387675424712      ."
"transcription coactivator activity";"0.166666666666667      .";"0.638387675424712      ."
"transcription factor activity, RNA polymerase II distal enhancer sequence-specific binding";"0.166666666666667      .";"0.638387675424712      ."
"transcription from RNA polymerase II promoter";"0.166666666666667      .";"0.638387675424712      ."
"transcription, DNA-templated";"0.166666666666667      .";"0.638387675424712      ."
"transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding";"0.166666666666667      .";"0.638387675424712      ."
"type B pancreatic cell development";"0.166666666666667      .";"0.638387675424712      ."
"vascular endothelial growth factor receptor signaling pathway";"0.166666666666667      .";"0.638387675424712      ."
"ventral spinal cord interneuron differentiation";"0.166666666666667      .";"0.638387675424712      ."
"vesicle fusion";"0.166666666666667      .";"0.638387675424712      ."
"voltage-gated calcium channel activity";"0.166666666666667      .";"0.638387675424712      ."
"voltage-gated calcium channel complex";"0.166666666666667      .";"0.638387675424712      ."
"voltage-gated ion channel activity";"0.166666666666667      .";"0.638387675424712      ."
"voltage-gated potassium channel activity";"0.166666666666667      .";"0.638387675424712      ."
"voltage-gated potassium channel complex";"0.166666666666667      .";"0.638387675424712      ."
"voltage-gated sodium channel activity";"0.166666666666667      .";"0.638387675424712      ."
"voltage-gated sodium channel complex";"0.166666666666667      .";"0.638387675424712      ."
"acetylcholine-gated channel complex";"0.222222222222222      .";"0.803026280860102      ."
"acetylcholine binding";"0.222222222222222      .";"0.803026280860102      ."
"actin monomer binding";"0.222222222222222      .";"0.803026280860102      ."
"adenylate cyclase-modulating G-protein coupled receptor signaling pathway";"0.222222222222222      .";"0.803026280860102      ."
"amino acid transport";"0.222222222222222      .";"0.803026280860102      ."
"ammonium transmembrane transporter activity";"0.222222222222222      .";"0.803026280860102      ."
"AMPA glutamate receptor complex";"0.222222222222222      .";"0.803026280860102      ."
"angiogenesis";"0.222222222222222      .";"0.803026280860102      ."
"ATP-dependent microtubule motor activity, minus-end-directed";"0.222222222222222      .";"0.803026280860102      ."
"axon";"0.222222222222222      .";"0.803026280860102      ."
"axon guidance";"0.222222222222222      .";"0.803026280860102      ."
"B cell receptor signaling pathway";"0.222222222222222      .";"0.803026280860102      ."
"blood circulation";"0.222222222222222      .";"0.803026280860102      ."
"blood vessel development";"0.222222222222222      .";"0.803026280860102      ."
"brain development";"0.222222222222222      .";"0.803026280860102      ."
"cadherin binding";"0.222222222222222      .";"0.803026280860102      ."
"calcium-transporting ATPase activity";"0.222222222222222      .";"0.803026280860102      ."
"calmodulin binding";"0.222222222222222      .";"0.803026280860102      ."
"camera-type eye morphogenesis";"0.222222222222222      .";"0.803026280860102      ."
"cell cycle arrest";"0.222222222222222      .";"0.803026280860102      ."
"cell fate commitment";"0.222222222222222      .";"0.803026280860102      ."
"cell projection";"0.222222222222222      .";"0.803026280860102      ."
"cell proliferation";"0.222222222222222      .";"0.803026280860102      ."
"channel regulator activity";"0.222222222222222      .";"0.803026280860102      ."
"chloride transport";"0.222222222222222      .";"0.803026280860102      ."
"convergent extension involved in gastrulation";"0.222222222222222      .";"0.803026280860102      ."
"cytoplasmic vesicle";"0.222222222222222      .";"0.803026280860102      ."
"cytoskeleton-dependent intracellular transport";"0.222222222222222      .";"0.803026280860102      ."
"cytoskeleton organization";"0.222222222222222      .";"0.803026280860102      ."
"determination of ventral identity";"0.222222222222222      .";"0.803026280860102      ."
"dopamine neurotransmitter receptor activity";"0.222222222222222      .";"0.803026280860102      ."
"dopaminergic neuron differentiation";"0.222222222222222      .";"0.803026280860102      ."
"dorsal convergence";"0.222222222222222      .";"0.803026280860102      ."
"dorsal/ventral pattern formation";"0.222222222222222      .";"0.803026280860102      ."
