"gene set";"p-value";"fdr"
"zinc II ion transmembrane transport";"0.0261437908496732      .";"0.379956977179199      ."
"zinc II ion transport";"0.0261437908496732      .";"0.379956977179199      ."
"actin binding";"0.0392156862745098      .";"0.455948372615039      ."
"actin cytoskeleton reorganization";"0.0392156862745098      .";"0.455948372615039      ."
"actin filament organization";"0.0392156862745098      .";"0.455948372615039      ."
"Arp2/3 protein complex";"0.0392156862745098      .";"0.455948372615039      ."
"B cell receptor signaling pathway";"0.0392156862745098      .";"0.455948372615039      ."
"cardiac muscle cell proliferation";"0.0392156862745098      .";"0.455948372615039      ."
"cardiac muscle tissue development";"0.0392156862745098      .";"0.455948372615039      ."
"cation transmembrane transporter activity";"0.0392156862745098      .";"0.455948372615039      ."
"cysteine-type endopeptidase activity involved in execution phase of apoptosis";"0.0392156862745098      .";"0.455948372615039      ."
"cytochrome-c oxidase activity";"0.0392156862745098      .";"0.455948372615039      ."
"cytosolic large ribosomal subunit";"0.0392156862745098      .";"0.455948372615039      ."
"execution phase of apoptosis";"0.0392156862745098      .";"0.455948372615039      ."
"fatty acid beta-oxidation";"0.0392156862745098      .";"0.455948372615039      ."
"glucuronosyltransferase activity";"0.0392156862745098      .";"0.455948372615039      ."
"hydrolase activity, acting on glycosyl bonds";"0.0392156862745098      .";"0.455948372615039      ."
"inactivation of MAPK activity";"0.0392156862745098      .";"0.455948372615039      ."
"lipid catabolic process";"0.0392156862745098      .";"0.455948372615039      ."
"lipid metabolic process";"0.0392156862745098      .";"0.455948372615039      ."
"lipid transporter activity";"0.0392156862745098      .";"0.455948372615039      ."
"liver development";"0.0392156862745098      .";"0.455948372615039      ."
"lysosomal membrane";"0.0392156862745098      .";"0.455948372615039      ."
"membrane attack complex";"0.0392156862745098      .";"0.455948372615039      ."
"mitochondrial electron transport, cytochrome c to oxygen";"0.0392156862745098      .";"0.455948372615039      ."
"mitochondrial membrane";"0.0392156862745098      .";"0.455948372615039      ."
"mitochondrial respiratory chain complex IV";"0.0392156862745098      .";"0.455948372615039      ."
"monocarboxylic acid transmembrane transporter activity";"0.0392156862745098      .";"0.455948372615039      ."
"monocarboxylic acid transport";"0.0392156862745098      .";"0.455948372615039      ."
"negative regulation of neuron apoptotic process";"0.0392156862745098      .";"0.455948372615039      ."
"nucleotide phosphorylation";"0.0392156862745098      .";"0.455948372615039      ."
"peptide binding";"0.0392156862745098      .";"0.455948372615039      ."
"peptide catabolic process";"0.0392156862745098      .";"0.455948372615039      ."
"phagocytosis";"0.0392156862745098      .";"0.455948372615039      ."
"phosphatase activity";"0.0392156862745098      .";"0.455948372615039      ."
"platelet activation";"0.0392156862745098      .";"0.455948372615039      ."
"protein N-linked glycosylation";"0.0392156862745098      .";"0.455948372615039      ."
"protein tyrosine/serine/threonine phosphatase activity";"0.0392156862745098      .";"0.455948372615039      ."
"proteolysis";"0.0392156862745098      .";"0.455948372615039      ."
"response to copper ion";"0.0392156862745098      .";"0.455948372615039      ."
"response to yeast";"0.0392156862745098      .";"0.455948372615039      ."
"striated muscle contraction";"0.0392156862745098      .";"0.455948372615039      ."
"structural constituent of muscle";"0.0392156862745098      .";"0.455948372615039      ."
"structural constituent of ribosome";"0.0392156862745098      .";"0.455948372615039      ."
"tissue regeneration";"0.0392156862745098      .";"0.455948372615039      ."
"trans-Golgi network";"0.0392156862745098      .";"0.455948372615039      ."
"transmembrane transporter activity";"0.0392156862745098      .";"0.455948372615039      ."
"Z disc";"0.0392156862745098      .";"0.455948372615039      ."
"actin cytoskeleton";"0.0588235294117647      .";"0.501543209876543      ."
"acyl-CoA dehydrogenase activity";"0.0588235294117647      .";"0.501543209876543      ."
"adaptive immune response";"0.0588235294117647      .";"0.501543209876543      ."
"antiporter activity";"0.0588235294117647      .";"0.501543209876543      ."
"apoptotic process";"0.0588235294117647      .";"0.501543209876543      ."
"aromatic amino acid family metabolic process";"0.0588235294117647      .";"0.501543209876543      ."
"ATP metabolic process";"0.0588235294117647      .";"0.501543209876543      ."
"ATPase activity, coupled to transmembrane movement of substances";"0.0588235294117647      .";"0.501543209876543      ."
"axon development";"0.0588235294117647      .";"0.501543209876543      ."
"catalytic activity";"0.0588235294117647      .";"0.501543209876543      ."
"cellular glucose homeostasis";"0.0588235294117647      .";"0.501543209876543      ."
"cellular iron ion homeostasis";"0.0588235294117647      .";"0.501543209876543      ."
"cellular response to estrogen stimulus";"0.0588235294117647      .";"0.501543209876543      ."
"cellular response to xenobiotic stimulus";"0.0588235294117647      .";"0.501543209876543      ."
"ceramide biosynthetic process";"0.0588235294117647      .";"0.501543209876543      ."
"cholesterol metabolic process";"0.0588235294117647      .";"0.501543209876543      ."
"DNA-directed RNA polymerase I complex";"0.0588235294117647      .";"0.501543209876543      ."
"endopeptidase inhibitor activity";"0.0588235294117647      .";"0.501543209876543      ."
"exocyst";"0.0588235294117647      .";"0.501543209876543      ."
"fatty acid biosynthetic process";"0.0588235294117647      .";"0.501543209876543      ."
"hematopoietic stem cell differentiation";"0.0588235294117647      .";"0.501543209876543      ."
"innate immune response";"0.0588235294117647      .";"0.501543209876543      ."
"integral component of mitochondrial inner membrane";"0.0588235294117647      .";"0.501543209876543      ."
"integral component of mitochondrial outer membrane";"0.0588235294117647      .";"0.501543209876543      ."
"integrin-mediated signaling pathway";"0.0588235294117647      .";"0.501543209876543      ."
"intracellular";"0.0588235294117647      .";"0.501543209876543      ."
"ligase activity";"0.0588235294117647      .";"0.501543209876543      ."
"M band";"0.0588235294117647      .";"0.501543209876543      ."
"manganese ion binding";"0.0588235294117647      .";"0.501543209876543      ."
"melanosome";"0.0588235294117647      .";"0.501543209876543      ."
"metal ion transmembrane transporter activity";"0.0588235294117647      .";"0.501543209876543      ."
"muscle contraction";"0.0588235294117647      .";"0.501543209876543      ."
"myofibril assembly";"0.0588235294117647      .";"0.501543209876543      ."
"oxidoreductase activity";"0.0588235294117647      .";"0.501543209876543      ."
"peptidyl-serine phosphorylation";"0.0588235294117647      .";"0.501543209876543      ."
"perinuclear region of cytoplasm";"0.0588235294117647      .";"0.501543209876543      ."
"phospholipase C-activating G-protein coupled receptor signaling pathway";"0.0588235294117647      .";"0.501543209876543      ."
"phospholipid transport";"0.0588235294117647      .";"0.501543209876543      ."
"pronephric glomerulus development";"0.0588235294117647      .";"0.501543209876543      ."
"proteolysis involved in cellular protein catabolic process";"0.0588235294117647      .";"0.501543209876543      ."
"recycling endosome";"0.0588235294117647      .";"0.501543209876543      ."
"regeneration";"0.0588235294117647      .";"0.501543209876543      ."
"regulation of actin filament polymerization";"0.0588235294117647      .";"0.501543209876543      ."
"regulation of axon extension";"0.0588235294117647      .";"0.501543209876543      ."
"regulation of heart rate";"0.0588235294117647      .";"0.501543209876543      ."
"response to activity";"0.0588235294117647      .";"0.501543209876543      ."
"ribosome";"0.0588235294117647      .";"0.501543209876543      ."
"RNA polymerase I activity";"0.0588235294117647      .";"0.501543209876543      ."
"sarcomere organization";"0.0588235294117647      .";"0.501543209876543      ."
"serine-type carboxypeptidase activity";"0.0588235294117647      .";"0.501543209876543      ."
"sodium channel regulator activity";"0.0588235294117647      .";"0.501543209876543      ."
"striated muscle myosin thick filament assembly";"0.0588235294117647      .";"0.501543209876543      ."
"transferase activity, transferring glycosyl groups";"0.0588235294117647      .";"0.501543209876543      ."
"translation";"0.0588235294117647      .";"0.501543209876543      ."
"ubiquinone biosynthetic process";"0.0588235294117647      .";"0.501543209876543      ."
"actin filament binding";"0.0784313725490196      .";"0.566715491385925      ."
"activation of MAPKK activity";"0.0784313725490196      .";"0.566715491385925      ."
"autophagosome";"0.0784313725490196      .";"0.566715491385925      ."
"biosynthetic process";"0.0784313725490196      .";"0.566715491385925      ."
"blood microparticle";"0.0784313725490196      .";"0.566715491385925      ."
"cAMP binding";"0.0784313725490196      .";"0.566715491385925      ."
"cardiac muscle contraction";"0.0784313725490196      .";"0.566715491385925      ."
"cholesterol binding";"0.0784313725490196      .";"0.566715491385925      ."
"cholesterol biosynthetic process";"0.0784313725490196      .";"0.566715491385925      ."
"cholesterol efflux";"0.0784313725490196      .";"0.566715491385925      ."
"cholesterol homeostasis";"0.0784313725490196      .";"0.566715491385925      ."
"cholesterol transporter activity";"0.0784313725490196      .";"0.566715491385925      ."
"chylomicron";"0.0784313725490196      .";"0.566715491385925      ."
"circadian rhythm";"0.0784313725490196      .";"0.566715491385925      ."
"digestive tract morphogenesis";"0.0784313725490196      .";"0.566715491385925      ."
"endoplasmic reticulum";"0.0784313725490196      .";"0.566715491385925      ."
"endosome membrane";"0.0784313725490196      .";"0.566715491385925      ."
"gluconeogenesis";"0.0784313725490196      .";"0.566715491385925      ."
"GTPase activity";"0.0784313725490196      .";"0.566715491385925      ."
"high-density lipoprotein particle";"0.0784313725490196      .";"0.566715491385925      ."
"hydrogen ion transmembrane transport";"0.0784313725490196      .";"0.566715491385925      ."
"integral component of endoplasmic reticulum membrane";"0.0784313725490196      .";"0.566715491385925      ."
"lipid transport";"0.0784313725490196      .";"0.566715491385925      ."
"lipoprotein metabolic process";"0.0784313725490196      .";"0.566715491385925      ."
"MAP kinase kinase kinase activity";"0.0784313725490196      .";"0.566715491385925      ."
"maturation of SSU-rRNA";"0.0784313725490196      .";"0.566715491385925      ."
"mitochondrial respiratory chain complex I";"0.0784313725490196      .";"0.566715491385925      ."
"mitochondrial small ribosomal subunit";"0.0784313725490196      .";"0.566715491385925      ."
"myosin complex";"0.0784313725490196      .";"0.566715491385925      ."
"NADP binding";"0.0784313725490196      .";"0.566715491385925      ."
"neutrophil differentiation";"0.0784313725490196      .";"0.566715491385925      ."
"oxidation-reduction process";"0.0784313725490196      .";"0.566715491385925      ."
"phospholipase activity";"0.0784313725490196      .";"0.566715491385925      ."
"positive regulation of cytosolic calcium ion concentration";"0.0784313725490196      .";"0.566715491385925      ."
"positive regulation of GTPase activity";"0.0784313725490196      .";"0.566715491385925      ."
"potassium ion binding";"0.0784313725490196      .";"0.566715491385925      ."
"protein kinase C activity";"0.0784313725490196      .";"0.566715491385925      ."
"release of sequestered calcium ion into cytosol";"0.0784313725490196      .";"0.566715491385925      ."
"response to methylmercury";"0.0784313725490196      .";"0.566715491385925      ."
"response to toxic substance";"0.0784313725490196      .";"0.566715491385925      ."
"ribosomal large subunit biogenesis";"0.0784313725490196      .";"0.566715491385925      ."
"RNA polymerase III activity";"0.0784313725490196      .";"0.566715491385925      ."
"sarcolemma";"0.0784313725490196      .";"0.566715491385925      ."
"SH3/SH2 adaptor activity";"0.0784313725490196      .";"0.566715491385925      ."
"skeletal muscle contraction";"0.0784313725490196      .";"0.566715491385925      ."
"sphingolipid metabolic process";"0.0784313725490196      .";"0.566715491385925      ."
"steroid metabolic process";"0.0784313725490196      .";"0.566715491385925      ."
"triglyceride catabolic process";"0.0784313725490196      .";"0.566715491385925      ."
"tRNA aminoacylation for protein translation";"0.0784313725490196      .";"0.566715491385925      ."
"zinc ion transmembrane transporter activity";"0.0784313725490196      .";"0.566715491385925      ."
"acid phosphatase activity";"0.104575163398693      .";"0.659925276153346      ."
"aminoacyl-tRNA ligase activity";"0.104575163398693      .";"0.659925276153346      ."
"anion:anion antiporter activity";"0.104575163398693      .";"0.659925276153346      ."
"blood coagulation";"0.104575163398693      .";"0.659925276153346      ."
"carbohydrate binding";"0.104575163398693      .";"0.659925276153346      ."
"carboxypeptidase activity";"0.104575163398693      .";"0.659925276153346      ."
"cell";"0.104575163398693      .";"0.659925276153346      ."
"cellular amino acid metabolic process";"0.104575163398693      .";"0.659925276153346      ."
"cellular response to nitrogen starvation";"0.104575163398693      .";"0.659925276153346      ."
"cysteine-type endopeptidase inhibitor activity";"0.104575163398693      .";"0.659925276153346      ."
"cysteine-type peptidase activity";"0.104575163398693      .";"0.659925276153346      ."
"cytoplasmic dynein complex";"0.104575163398693      .";"0.659925276153346      ."
"cytosolic small ribosomal subunit";"0.104575163398693      .";"0.659925276153346      ."
"DNA integration";"0.104575163398693      .";"0.659925276153346      ."
"endomembrane system";"0.104575163398693      .";"0.659925276153346      ."
"endoplasmic reticulum membrane";"0.104575163398693      .";"0.659925276153346      ."
"epidermal growth factor receptor signaling pathway";"0.104575163398693      .";"0.659925276153346      ."
"external side of plasma membrane";"0.104575163398693      .";"0.659925276153346      ."
"fatty acid metabolic process";"0.104575163398693      .";"0.659925276153346      ."
"hydrogen ion transmembrane transporter activity";"0.104575163398693      .";"0.659925276153346      ."
"integrin complex";"0.104575163398693      .";"0.659925276153346      ."
"intracellular ribonucleoprotein complex";"0.104575163398693      .";"0.659925276153346      ."
"iron ion transport";"0.104575163398693      .";"0.659925276153346      ."
"lipid binding";"0.104575163398693      .";"0.659925276153346      ."
"melanosome organization";"0.104575163398693      .";"0.659925276153346      ."
"melanosome transport";"0.104575163398693      .";"0.659925276153346      ."
"mitochondrial fusion";"0.104575163398693      .";"0.659925276153346      ."
"monooxygenase activity";"0.104575163398693      .";"0.659925276153346      ."
"muscle cell development";"0.104575163398693      .";"0.659925276153346      ."
"nucleoside metabolic process";"0.104575163398693      .";"0.659925276153346      ."
"organic anion transmembrane transporter activity";"0.104575163398693      .";"0.659925276153346      ."
"organic anion transport";"0.104575163398693      .";"0.659925276153346      ."
"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen";"0.104575163398693      .";"0.659925276153346      ."
"phosphatidylinositol binding";"0.104575163398693      .";"0.659925276153346      ."
"phosphatidylinositol dephosphorylation";"0.104575163398693      .";"0.659925276153346      ."
"positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G-protein coupled signaling pathway";"0.104575163398693      .";"0.659925276153346      ."
"positive regulation of proteasomal ubiquitin-dependent protein catabolic process";"0.104575163398693      .";"0.659925276153346      ."
"positive regulation of Rho protein signal transduction";"0.104575163398693      .";"0.659925276153346      ."
"preribosome, large subunit precursor";"0.104575163398693      .";"0.659925276153346      ."
"protein ADP-ribosylation";"0.104575163398693      .";"0.659925276153346      ."
"protein binding, bridging";"0.104575163398693      .";"0.659925276153346      ."
"protein ubiquitination";"0.104575163398693      .";"0.659925276153346      ."
"Rab GTPase binding";"0.104575163398693      .";"0.659925276153346      ."
"regulation of anion transmembrane transport";"0.104575163398693      .";"0.659925276153346      ."
"regulation of pH";"0.104575163398693      .";"0.659925276153346      ."
"retrograde transport, endosome to Golgi";"0.104575163398693      .";"0.659925276153346      ."
"ribosomal large subunit assembly";"0.104575163398693      .";"0.659925276153346      ."
"rRNA processing";"0.104575163398693      .";"0.659925276153346      ."
"S-adenosylmethionine-dependent methyltransferase activity";"0.104575163398693      .";"0.659925276153346      ."
"small-subunit processome";"0.104575163398693      .";"0.659925276153346      ."
"small GTPase mediated signal transduction";"0.104575163398693      .";"0.659925276153346      ."
"SNARE binding";"0.104575163398693      .";"0.659925276153346      ."
"steroid biosynthetic process";"0.104575163398693      .";"0.659925276153346      ."
"sugar:proton symporter activity";"0.104575163398693      .";"0.659925276153346      ."
"sulfate transport";"0.104575163398693      .";"0.659925276153346      ."
"translational elongation";"0.104575163398693      .";"0.659925276153346      ."
"transmembrane transport";"0.104575163398693      .";"0.659925276153346      ."
"troponin complex";"0.104575163398693      .";"0.659925276153346      ."
"voltage-gated chloride channel activity";"0.104575163398693      .";"0.659925276153346      ."
"1-phosphatidylinositol-3-kinase activity";"0.130718954248366      .";"0.659925276153346      ."
"aminoacyl-tRNA editing activity";"0.130718954248366      .";"0.659925276153346      ."
"calcium channel regulator activity";"0.130718954248366      .";"0.659925276153346      ."
"cation transport";"0.130718954248366      .";"0.659925276153346      ."
"chloride channel activity";"0.130718954248366      .";"0.659925276153346      ."
"chloride transmembrane transport";"0.130718954248366      .";"0.659925276153346      ."
"DNA-directed RNA polymerase III complex";"0.130718954248366      .";"0.659925276153346      ."
"early endosome";"0.130718954248366      .";"0.659925276153346      ."
"epiboly involved in gastrulation with mouth forming second";"0.130718954248366      .";"0.659925276153346      ."
"flavin adenine dinucleotide binding";"0.130718954248366      .";"0.659925276153346      ."
"fructose metabolic process";"0.130718954248366      .";"0.659925276153346      ."
"G-protein coupled receptor binding";"0.130718954248366      .";"0.659925276153346      ."
"GTP binding";"0.130718954248366      .";"0.659925276153346      ."
"GTPase regulator activity";"0.130718954248366      .";"0.659925276153346      ."
"hydrolase activity, hydrolyzing O-glycosyl compounds";"0.130718954248366      .";"0.659925276153346      ."
"intracellular protein transport";"0.130718954248366      .";"0.659925276153346      ."
"MAPK cascade";"0.130718954248366      .";"0.659925276153346      ."
"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)";"0.130718954248366      .";"0.659925276153346      ."
"membrane raft";"0.130718954248366      .";"0.659925276153346      ."
"metal ion binding";"0.130718954248366      .";"0.659925276153346      ."
"mitochondrial intermembrane space";"0.130718954248366      .";"0.659925276153346      ."
"mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)";"0.130718954248366      .";"0.659925276153346      ."
"mitochondrial translation";"0.130718954248366      .";"0.659925276153346      ."
"myeloid cell differentiation";"0.130718954248366      .";"0.659925276153346      ."
"N-glycan processing";"0.130718954248366      .";"0.659925276153346      ."
"neuromast development";"0.130718954248366      .";"0.659925276153346      ."
"nucleolus";"0.130718954248366      .";"0.659925276153346      ."
"nucleotide biosynthetic process";"0.130718954248366      .";"0.659925276153346      ."
"phosphatidylinositol-3-phosphate biosynthetic process";"0.130718954248366      .";"0.659925276153346      ."
"phosphatidylinositol 3-kinase complex";"0.130718954248366      .";"0.659925276153346      ."
"phosphatidylinositol phosphorylation";"0.130718954248366      .";"0.659925276153346      ."
"phospholipid biosynthetic process";"0.130718954248366      .";"0.659925276153346      ."
"positive regulation of signal transduction";"0.130718954248366      .";"0.659925276153346      ."
"protein O-linked mannosylation";"0.130718954248366      .";"0.659925276153346      ."
"pyridoxal phosphate binding";"0.130718954248366      .";"0.659925276153346      ."
"receptor tyrosine kinase binding";"0.130718954248366      .";"0.659925276153346      ."
"regulation of muscle contraction";"0.130718954248366      .";"0.659925276153346      ."
"regulation of translational fidelity";"0.130718954248366      .";"0.659925276153346      ."
