"gene set";"p-value";"fdr"
"fructose metabolic process";"0.0392156862745098      .";"1      ."
"gap junction";"0.0392156862745098      .";"1      ."
"glycogen metabolic process";"0.0392156862745098      .";"1      ."
"intracellular membrane-bounded organelle";"0.0392156862745098      .";"1      ."
"motile cilium";"0.0392156862745098      .";"1      ."
"motor activity";"0.0392156862745098      .";"1      ."
"myosin complex";"0.0392156862745098      .";"1      ."
"NAD biosynthetic process";"0.0392156862745098      .";"1      ."
"nucleoside diphosphate kinase activity";"0.0392156862745098      .";"1      ."
"nucleoside diphosphate phosphorylation";"0.0392156862745098      .";"1      ."
"O-acyltransferase activity";"0.0392156862745098      .";"1      ."
"oxidoreductase activity, acting on NAD(P)H";"0.0392156862745098      .";"1      ."
"phospholipase A2 activity";"0.0392156862745098      .";"1      ."
"phototransduction";"0.0392156862745098      .";"1      ."
"regulation of muscle contraction";"0.0392156862745098      .";"1      ."
"transporter activity";"0.0392156862745098      .";"1      ."
"actin filament bundle assembly";"0.0588235294117647      .";"1      ."
"activation of MAPKKK activity";"0.0588235294117647      .";"1      ."
"adenylate cyclase-inhibiting serotonin receptor signaling pathway";"0.0588235294117647      .";"1      ."
"adrenergic receptor activity";"0.0588235294117647      .";"1      ."
"amyloid-beta binding";"0.0588235294117647      .";"1      ."
"aspartic-type endopeptidase activity";"0.0588235294117647      .";"1      ."
"cAMP biosynthetic process";"0.0588235294117647      .";"1      ."
"dioxygenase activity";"0.0588235294117647      .";"1      ."
"extracellular ATP-gated cation channel activity";"0.0588235294117647      .";"1      ."
"ferric iron binding";"0.0588235294117647      .";"1      ."
"G-protein beta/gamma-subunit complex binding";"0.0588235294117647      .";"1      ."
"glucuronosyltransferase activity";"0.0588235294117647      .";"1      ."
"guanyl nucleotide binding";"0.0588235294117647      .";"1      ."
"hormone activity";"0.0588235294117647      .";"1      ."
"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds";"0.0588235294117647      .";"1      ."
"inorganic anion transport";"0.0588235294117647      .";"1      ."
"intermediate filament";"0.0588235294117647      .";"1      ."
"lyase activity";"0.0588235294117647      .";"1      ."
"muscle contraction";"0.0588235294117647      .";"1      ."
"muscle structure development";"0.0588235294117647      .";"1      ."
"NAD binding";"0.0588235294117647      .";"1      ."
"negative regulation of endopeptidase activity";"0.0588235294117647      .";"1      ."
"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen";"0.0588235294117647      .";"1      ."
"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor";"0.0588235294117647      .";"1      ."
"peptidase activity";"0.0588235294117647      .";"1      ."
"peroxidase activity";"0.0588235294117647      .";"1      ."
"purinergic nucleotide receptor activity";"0.0588235294117647      .";"1      ."
"purinergic nucleotide receptor signaling pathway";"0.0588235294117647      .";"1      ."
"response to ATP";"0.0588235294117647      .";"1      ."
"response to hypoxia";"0.0588235294117647      .";"1      ."
"RNA phosphodiester bond hydrolysis, exonucleolytic";"0.0588235294117647      .";"1      ."
"serotonin binding";"0.0588235294117647      .";"1      ."
"steroid binding";"0.0588235294117647      .";"1      ."
"steroid hydroxylase activity";"0.0588235294117647      .";"1      ."
"troponin complex";"0.0588235294117647      .";"1      ."
"visual perception";"0.0588235294117647      .";"1      ."
"actin cytoskeleton reorganization";"0.0784313725490196      .";"1      ."
"actin filament binding";"0.0784313725490196      .";"1      ."
"adenylate cyclase-modulating G-protein coupled receptor signaling pathway";"0.0784313725490196      .";"1      ."
"antigen processing and presentation";"0.0784313725490196      .";"1      ."
"cardiac muscle contraction";"0.0784313725490196      .";"1      ."
"cellular lipid metabolic process";"0.0784313725490196      .";"1      ."
"coenzyme binding";"0.0784313725490196      .";"1      ."
"endoplasmic reticulum";"0.0784313725490196      .";"1      ."
"G-protein coupled receptor signaling pathway";"0.0784313725490196      .";"1      ."
"heterotrimeric G-protein complex";"0.0784313725490196      .";"1      ."
"histone H3 deacetylation";"0.0784313725490196      .";"1      ."
"hormone-mediated signaling pathway";"0.0784313725490196      .";"1      ."
"inositol-1,4,5-trisphosphate 3-kinase activity";"0.0784313725490196      .";"1      ."
"NAD-dependent histone deacetylase activity (H3-K14 specific)";"0.0784313725490196      .";"1      ."
"peptidyl-proline hydroxylation";"0.0784313725490196      .";"1      ."
"phospholipase activity";"0.0784313725490196      .";"1      ."
"protein disulfide isomerase activity";"0.0784313725490196      .";"1      ."
"serine-type endopeptidase activity";"0.0784313725490196      .";"1      ."
"serine-type endopeptidase inhibitor activity";"0.0784313725490196      .";"1      ."
"serine-type peptidase activity";"0.0784313725490196      .";"1      ."
"skeletal muscle contraction";"0.0784313725490196      .";"1      ."
"structural constituent of muscle";"0.0784313725490196      .";"1      ."
"tumor necrosis factor receptor binding";"0.0784313725490196      .";"1      ."
"adenylate cyclase-activating adrenergic receptor signaling pathway";"0.104575163398693      .";"1      ."
"adenylate cyclase activity";"0.104575163398693      .";"1      ."
"atrioventricular canal development";"0.104575163398693      .";"1      ."
"bicarbonate transport";"0.104575163398693      .";"1      ."
"blood circulation";"0.104575163398693      .";"1      ."
"chemokine receptor activity";"0.104575163398693      .";"1      ."
"extracellular region";"0.104575163398693      .";"1      ."
"extracellular space";"0.104575163398693      .";"1      ."
"fatty acid elongation, monounsaturated fatty acid";"0.104575163398693      .";"1      ."
"heme binding";"0.104575163398693      .";"1      ."
"identical protein binding";"0.104575163398693      .";"1      ."
"iron ion transport";"0.104575163398693      .";"1      ."
"monooxygenase activity";"0.104575163398693      .";"1      ."
"negative regulation of neuron apoptotic process";"0.104575163398693      .";"1      ."
"neuromast development";"0.104575163398693      .";"1      ."
"organic anion transmembrane transporter activity";"0.104575163398693      .";"1      ."
"organic anion transport";"0.104575163398693      .";"1      ."
"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen";"0.104575163398693      .";"1      ."
"photoperiodism";"0.104575163398693      .";"1      ."
"plasma membrane organization";"0.104575163398693      .";"1      ."
"proteasome regulatory particle, base subcomplex";"0.104575163398693      .";"1      ."
"protein binding, bridging";"0.104575163398693      .";"1      ."
"receptor-mediated endocytosis";"0.104575163398693      .";"1      ."
"response to activity";"0.104575163398693      .";"1      ."
"retrograde vesicle-mediated transport, Golgi to ER";"0.104575163398693      .";"1      ."
"sarcolemma";"0.104575163398693      .";"1      ."
"sarcomere organization";"0.104575163398693      .";"1      ."
"scavenger receptor activity";"0.104575163398693      .";"1      ."
"secretory granule";"0.104575163398693      .";"1      ."
"signal transducer activity";"0.104575163398693      .";"1      ."
"skeletal muscle cell differentiation";"0.104575163398693      .";"1      ."
"small molecule binding";"0.104575163398693      .";"1      ."
"striated muscle myosin thick filament assembly";"0.104575163398693      .";"1      ."
"transaminase activity";"0.104575163398693      .";"1      ."
"transferase activity, transferring hexosyl groups";"0.104575163398693      .";"1      ."
"vacuolar acidification";"0.104575163398693      .";"1      ."
"3',5'-cyclic-nucleotide phosphodiesterase activity";"0.130718954248366      .";"1      ."
"3-oxo-arachidoyl-CoA synthase activity";"0.130718954248366      .";"1      ."
"3-oxo-cerotoyl-CoA synthase activity";"0.130718954248366      .";"1      ."
"3-oxo-lignoceronyl-CoA synthase activity";"0.130718954248366      .";"1      ."
"actin binding";"0.130718954248366      .";"1      ."
"actin filament organization";"0.130718954248366      .";"1      ."
"acyl-CoA dehydrogenase activity";"0.130718954248366      .";"1      ."
"ADP transport";"0.130718954248366      .";"1      ."
"ATP transport";"0.130718954248366      .";"1      ."
"blood coagulation";"0.130718954248366      .";"1      ."
"blood microparticle";"0.130718954248366      .";"1      ."
"calcium-dependent phospholipid binding";"0.130718954248366      .";"1      ."
"cell";"0.130718954248366      .";"1      ."
"cell communication";"0.130718954248366      .";"1      ."
"cell redox homeostasis";"0.130718954248366      .";"1      ."
"cGMP biosynthetic process";"0.130718954248366      .";"1      ."
"chaperone-mediated protein folding";"0.130718954248366      .";"1      ."
"circadian regulation of gene expression";"0.130718954248366      .";"1      ."
"circadian rhythm";"0.130718954248366      .";"1      ."
"cyclic nucleotide biosynthetic process";"0.130718954248366      .";"1      ."
"cytoskeletal protein binding";"0.130718954248366      .";"1      ."
"endodeoxyribonuclease activity";"0.130718954248366      .";"1      ."
"fatty acid elongase activity";"0.130718954248366      .";"1      ."
"fatty acid elongation, saturated fatty acid";"0.130718954248366      .";"1      ."
"gluconeogenesis";"0.130718954248366      .";"1      ."
"guanylate cyclase activity";"0.130718954248366      .";"1      ."
"guanylate cyclase complex, soluble";"0.130718954248366      .";"1      ."
"inorganic anion exchanger activity";"0.130718954248366      .";"1      ."
"isomerase activity";"0.130718954248366      .";"1      ."
"lipid binding";"0.130718954248366      .";"1      ."
"locomotory behavior";"0.130718954248366      .";"1      ."
"manganese ion binding";"0.130718954248366      .";"1      ."
"negative regulation of insulin receptor signaling pathway";"0.130718954248366      .";"1      ."
"phagocytosis";"0.130718954248366      .";"1      ."
"phosphatidylinositol 3-kinase complex";"0.130718954248366      .";"1      ."
"phosphorus-oxygen lyase activity";"0.130718954248366      .";"1      ."
"potassium ion binding";"0.130718954248366      .";"1      ."
"proteasome complex";"0.130718954248366      .";"1      ."
"protein domain specific binding";"0.130718954248366      .";"1      ."
"protein kinase C activity";"0.130718954248366      .";"1      ."
"proteolysis";"0.130718954248366      .";"1      ."
"regulation of cell growth";"0.130718954248366      .";"1      ."
"response to mechanical stimulus";"0.130718954248366      .";"1      ."
"response to xenobiotic stimulus";"0.130718954248366      .";"1      ."
"RNA polymerase II transcription factor activity, ligand-activated sequence-specific DNA binding";"0.130718954248366      .";"1      ."
"structural molecule activity";"0.130718954248366      .";"1      ."
"transmembrane transport";"0.130718954248366      .";"1      ."
"ubiquinone biosynthetic process";"0.130718954248366      .";"1      ."
"4 iron, 4 sulfur cluster binding";"0.163398692810458      .";"1      ."
"acetylglucosaminyltransferase activity";"0.163398692810458      .";"1      ."
"cadherin binding";"0.163398692810458      .";"1      ."
"carbohydrate phosphorylation";"0.163398692810458      .";"1      ."
"cation channel activity";"0.163398692810458      .";"1      ."
"cellular amino acid biosynthetic process";"0.163398692810458      .";"1      ."
"cellular response to estrogen stimulus";"0.163398692810458      .";"1      ."
"cellular response to hormone stimulus";"0.163398692810458      .";"1      ."
"cholesterol binding";"0.163398692810458      .";"1      ."
"cholesterol efflux";"0.163398692810458      .";"1      ."
"cholesterol transporter activity";"0.163398692810458      .";"1      ."
"chylomicron";"0.163398692810458      .";"1      ."
"collagen trimer";"0.163398692810458      .";"1      ."
"endopeptidase inhibitor activity";"0.163398692810458      .";"1      ."
"FK506 binding";"0.163398692810458      .";"1      ."
"glomerulus development";"0.163398692810458      .";"1      ."
"glutathione peroxidase activity";"0.163398692810458      .";"1      ."
"heart contraction";"0.163398692810458      .";"1      ."
"high-density lipoprotein particle";"0.163398692810458      .";"1      ."
"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides";"0.163398692810458      .";"1      ."
"hydrolase activity, hydrolyzing O-glycosyl compounds";"0.163398692810458      .";"1      ."
"integrin-mediated signaling pathway";"0.163398692810458      .";"1      ."
"integrin complex";"0.163398692810458      .";"1      ."
"intracellular receptor signaling pathway";"0.163398692810458      .";"1      ."
"intracellular transport";"0.163398692810458      .";"1      ."
"intrinsic apoptotic signaling pathway in response to DNA damage";"0.163398692810458      .";"1      ."
"lipid transport";"0.163398692810458      .";"1      ."
"lipoprotein metabolic process";"0.163398692810458      .";"1      ."
"myofibril assembly";"0.163398692810458      .";"1      ."
"NAD+ binding";"0.163398692810458      .";"1      ."
"negative regulation of protein serine/threonine kinase activity";"0.163398692810458      .";"1      ."
"outer dynein arm assembly";"0.163398692810458      .";"1      ."
"platelet activation";"0.163398692810458      .";"1      ."
"positive regulation of guanylate cyclase activity";"0.163398692810458      .";"1      ."
"positive regulation of vasoconstriction";"0.163398692810458      .";"1      ."
"postsynapse";"0.163398692810458      .";"1      ."
"proteasome core complex, alpha-subunit complex";"0.163398692810458      .";"1      ."
"regulation of blood vessel diameter";"0.163398692810458      .";"1      ."
"regulation of heart contraction";"0.163398692810458      .";"1      ."
"regulation of heart rate";"0.163398692810458      .";"1      ."
"regulation of mitotic nuclear division";"0.163398692810458      .";"1      ."
"response to cadmium ion";"0.163398692810458      .";"1      ."
"serine-type carboxypeptidase activity";"0.163398692810458      .";"1      ."
"sodium-independent organic anion transmembrane transporter activity";"0.163398692810458      .";"1      ."
"sodium-independent organic anion transport";"0.163398692810458      .";"1      ."
"striated muscle contraction";"0.163398692810458      .";"1      ."
"transferase activity, transferring acyl groups other than amino-acyl groups";"0.163398692810458      .";"1      ."
"transmembrane transporter activity";"0.163398692810458      .";"1      ."
"triglyceride catabolic process";"0.163398692810458      .";"1      ."
"very long-chain fatty acid biosynthetic process";"0.163398692810458      .";"1      ."
"acid phosphatase activity";"0.196078431372549      .";"1      ."
"apical plasma membrane";"0.196078431372549      .";"1      ."
"apoptotic process";"0.196078431372549      .";"1      ."
"ATP-dependent DNA helicase activity";"0.196078431372549      .";"1      ."
"ATP synthesis coupled proton transport";"0.196078431372549      .";"1      ."
"axon development";"0.196078431372549      .";"1      ."
"calcium-dependent cysteine-type endopeptidase activity";"0.196078431372549      .";"1      ."
"calcium-transporting ATPase activity";"0.196078431372549      .";"1      ."
"cAMP binding";"0.196078431372549      .";"1      ."
"cellular_component";"0.196078431372549      .";"1      ."
"cholesterol biosynthetic process";"0.196078431372549      .";"1      ."
"cholesterol homeostasis";"0.196078431372549      .";"1      ."
"cytokine receptor activity";"0.196078431372549      .";"1      ."
"cytosol";"0.196078431372549      .";"1      ."
"determination of heart left/right asymmetry";"0.196078431372549      .";"1      ."
"DNA metabolic process";"0.196078431372549      .";"1      ."
"FMN binding";"0.196078431372549      .";"1      ."
"G-protein coupled receptor activity";"0.196078431372549      .";"1      ."
"iron ion binding";"0.196078431372549      .";"1      ."
"L-alpha-amino acid transmembrane transport";"0.196078431372549      .";"1      ."
"lipid transporter activity";"0.196078431372549      .";"1      ."
"mitochondrial fusion";"0.196078431372549      .";"1      ."
"negative regulation of peptidase activity";"0.196078431372549      .";"1      ."
"neutral amino acid transmembrane transporter activity";"0.196078431372549      .";"1      ."
"neutral amino acid transport";"0.196078431372549      .";"1      ."
"notochord development";"0.196078431372549      .";"1      ."
"peptidase inhibitor activity";"0.196078431372549      .";"1      ."
"photoreceptor cell maintenance";"0.196078431372549      .";"1      ."
"posterior lateral line neuromast development";"0.196078431372549      .";"1      ."
"protein ADP-ribosylation";"0.196078431372549      .";"1      ."
"protein folding";"0.196078431372549      .";"1      ."
"protein kinase binding";"0.196078431372549      .";"1      ."
"response to bacterium";"0.196078431372549      .";"1      ."
"response to ionizing radiation";"0.196078431372549      .";"1      ."
"response to methylmercury";"0.196078431372549      .";"1      ."
"sensory epithelium regeneration";"0.196078431372549      .";"1      ."
"skeletal muscle tissue development";"0.196078431372549      .";"1      ."
"SNAP receptor activity";"0.196078431372549      .";"1      ."
"transferase activity, transferring phosphorus-containing groups";"0.196078431372549      .";"1      ."
"tricarboxylic acid cycle";"0.196078431372549      .";"1      ."
"vesicle docking";"0.196078431372549      .";"1      ."
"Z disc";"0.196078431372549      .";"1      ."
"2 iron, 2 sulfur cluster binding";"0.235294117647059      .";"1      ."
"adenosine deaminase activity";"0.235294117647059      .";"1      ."
"anion transmembrane transport";"0.235294117647059      .";"1      ."
"anion:anion antiporter activity";"0.235294117647059      .";"1      ."
"Arp2/3 protein complex";"0.235294117647059      .";"1      ."
"cardiac muscle tissue development";"0.235294117647059      .";"1      ."
"caveola";"0.235294117647059      .";"1      ."
"cellular response to xenobiotic stimulus";"0.235294117647059      .";"1      ."
"chemical synaptic transmission";"0.235294117647059      .";"1      ."
"clathrin binding";"0.235294117647059      .";"1      ."
"cysteine-type endopeptidase inhibitor activity";"0.235294117647059      .";"1      ."
"defense response to bacterium";"0.235294117647059      .";"1      ."
"double-strand break repair";"0.235294117647059      .";"1      ."
"endosome";"0.235294117647059      .";"1      ."
"epiboly involved in gastrulation with mouth forming second";"0.235294117647059      .";"1      ."
"extrinsic apoptotic signaling pathway in absence of ligand";"0.235294117647059      .";"1      ."
"FAD binding";"0.235294117647059      .";"1      ."
"fatty acid elongation, polyunsaturated fatty acid";"0.235294117647059      .";"1      ."
"focal adhesion";"0.235294117647059      .";"1      ."
"G-protein coupled peptide receptor activity";"0.235294117647059      .";"1      ."
"glucose transmembrane transport";"0.235294117647059      .";"1      ."
"glycolytic process";"0.235294117647059      .";"1      ."
"hydrogen ion transmembrane transporter activity";"0.235294117647059      .";"1      ."
"hydrolase activity";"0.235294117647059      .";"1      ."
"insulin-like growth factor binding";"0.235294117647059      .";"1      ."
"integral component of Golgi membrane";"0.235294117647059      .";"1      ."
"integrin binding";"0.235294117647059      .";"1      ."
"lipid catabolic process";"0.235294117647059      .";"1      ."
"liver development";"0.235294117647059      .";"1      ."
"magnesium ion binding";"0.235294117647059      .";"1      ."
"maturation of LSU-rRNA";"0.235294117647059      .";"1      ."
"muscle organ development";"0.235294117647059      .";"1      ."
"MyD88-dependent toll-like receptor signaling pathway";"0.235294117647059      .";"1      ."
"NAD+ ADP-ribosyltransferase activity";"0.235294117647059      .";"1      ."
"nucleotide binding";"0.235294117647059      .";"1      ."
"otolith morphogenesis";"0.235294117647059      .";"1      ."
"oxidoreductase activity";"0.235294117647059      .";"1      ."
"oxidoreductase activity, acting on the CH-CH group of donors";"0.235294117647059      .";"1      ."
"pronephric glomerulus development";"0.235294117647059      .";"1      ."
"proteasome core complex";"0.235294117647059      .";"1      ."
"protein secretion";"0.235294117647059      .";"1      ."
"proteinaceous extracellular matrix";"0.235294117647059      .";"1      ."
"pyridoxal phosphate binding";"0.235294117647059      .";"1      ."
"regeneration";"0.235294117647059      .";"1      ."
"regulation of axon extension";"0.235294117647059      .";"1      ."
"response to cytokine";"0.235294117647059      .";"1      ."
"response to virus";"0.235294117647059      .";"1      ."
"sensory perception of sound";"0.235294117647059      .";"1      ."
"signal transduction";"0.235294117647059      .";"1      ."
"spermatid development";"0.235294117647059      .";"1      ."
"steroid biosynthetic process";"0.235294117647059      .";"1      ."
"steroid hormone mediated signaling pathway";"0.235294117647059      .";"1      ."
"steroid hormone receptor activity";"0.235294117647059      .";"1      ."
"synaptic vesicle fusion to presynaptic active zone membrane";"0.235294117647059      .";"1      ."
"telomere maintenance";"0.235294117647059      .";"1      ."
"threonine-type endopeptidase activity";"0.235294117647059      .";"1      ."
"transferase activity, transferring glycosyl groups";"0.235294117647059      .";"1      ."
"transport";"0.235294117647059      .";"1      ."
"vesicle organization";"0.235294117647059      .";"1      ."
"acyl-CoA metabolic process";"0.274509803921569      .";"1      ."
"artery development";"0.274509803921569      .";"1      ."
"ATP-dependent microtubule motor activity, plus-end-directed";"0.274509803921569      .";"1      ."
"ATP hydrolysis coupled cation transmembrane transport";"0.274509803921569      .";"1      ."
"ATPase activity, coupled to transmembrane movement of substances";"0.274509803921569      .";"1      ."
"axonogenesis";"0.274509803921569      .";"1      ."
"branching involved in blood vessel morphogenesis";"0.274509803921569      .";"1      ."
"calcium ion homeostasis";"0.274509803921569      .";"1      ."
"cardiac muscle cell proliferation";"0.274509803921569      .";"1      ."
"cellular glucose homeostasis";"0.274509803921569      .";"1      ."
"cellular response to oxidative stress";"0.274509803921569      .";"1      ."
"chromosome segregation";"0.274509803921569      .";"1      ."
"collagen binding";"0.274509803921569      .";"1      ."
"cytokine-mediated signaling pathway";"0.274509803921569      .";"1      ."
"detection of mechanical stimulus";"0.274509803921569      .";"1      ."
"DNA duplex unwinding";"0.274509803921569      .";"1      ."
"DNA replication";"0.274509803921569      .";"1      ."
"DNA topological change";"0.274509803921569      .";"1      ."
"dopaminergic neuron differentiation";"0.274509803921569      .";"1      ."
"endosome membrane";"0.274509803921569      .";"1      ."
"extrinsic component of cytoplasmic side of plasma membrane";"0.274509803921569      .";"1      ."
"fatty acid biosynthetic process";"0.274509803921569      .";"1      ."
"fatty acid metabolic process";"0.274509803921569      .";"1      ."
"fin development";"0.274509803921569      .";"1      ."
"GDP-dissociation inhibitor activity";"0.274509803921569      .";"1      ."
"glucose homeostasis";"0.274509803921569      .";"1      ."
"glutathione metabolic process";"0.274509803921569      .";"1      ."
"heparin binding";"0.274509803921569      .";"1      ."
"inner ear development";"0.274509803921569      .";"1      ."
"L-ascorbic acid binding";"0.274509803921569      .";"1      ."
"lamellipodium";"0.274509803921569      .";"1      ."
"M band";"0.274509803921569      .";"1      ."
"membrane fusion";"0.274509803921569      .";"1      ."
"metallocarboxypeptidase activity";"0.274509803921569      .";"1      ."
"mitochondrial electron transport, ubiquinol to cytochrome c";"0.274509803921569      .";"1      ."
"mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)";"0.274509803921569      .";"1      ."
"negative regulation of catalytic activity";"0.274509803921569      .";"1      ."
"negative regulation of cell proliferation";"0.274509803921569      .";"1      ."
"negative regulation of protein kinase activity";"0.274509803921569      .";"1      ."
"nuclear chromosome, telomeric region";"0.274509803921569      .";"1      ."
"nucleotide metabolic process";"0.274509803921569      .";"1      ."
"oxalate transmembrane transporter activity";"0.274509803921569      .";"1      ."
"oxalate transport";"0.274509803921569      .";"1      ."
"peptidyl-tyrosine autophosphorylation";"0.274509803921569      .";"1      ."
"peroxisome";"0.274509803921569      .";"1      ."
"phospholipid binding";"0.274509803921569      .";"1      ."
"phosphoric diester hydrolase activity";"0.274509803921569      .";"1      ."
"potassium ion leak channel activity";"0.274509803921569      .";"1      ."
"potassium ion transmembrane transport";"0.274509803921569      .";"1      ."
"presynapse";"0.274509803921569      .";"1      ."
"regulation of actin filament polymerization";"0.274509803921569      .";"1      ."
"regulation of calcium ion-dependent exocytosis";"0.274509803921569      .";"1      ."
"regulation of catalytic activity";"0.274509803921569      .";"1      ."
"regulation of cell adhesion";"0.274509803921569      .";"1      ."
"regulation of cell cycle";"0.274509803921569      .";"1      ."
"release of sequestered calcium ion into cytosol";"0.274509803921569      .";"1      ."
"response to zinc ion";"0.274509803921569      .";"1      ."
"sarcoplasmic reticulum";"0.274509803921569      .";"1      ."
"sensory perception of smell";"0.274509803921569      .";"1      ."
"skeletal muscle fiber development";"0.274509803921569      .";"1      ."
"somite development";"0.274509803921569      .";"1      ."
"stabilization of membrane potential";"0.274509803921569      .";"1      ."
"steroid metabolic process";"0.274509803921569      .";"1      ."
"trans-Golgi network";"0.274509803921569      .";"1      ."
"vasculature development";"0.274509803921569      .";"1      ."
"vesicle docking involved in exocytosis";"0.274509803921569      .";"1      ."
"actin cytoskeleton";"0.320261437908497      .";"1      ."
"aminopeptidase activity";"0.320261437908497      .";"1      ."
"anion transport";"0.320261437908497      .";"1      ."
"antioxidant activity";"0.320261437908497      .";"1      ."
"antiporter activity";"0.320261437908497      .";"1      ."
"aromatic amino acid family metabolic process";"0.320261437908497      .";"1      ."
"Arp2/3 complex-mediated actin nucleation";"0.320261437908497      .";"1      ."
"ATP hydrolysis coupled proton transport";"0.320261437908497      .";"1      ."
"basolateral plasma membrane";"0.320261437908497      .";"1      ."
"calcium ion-regulated exocytosis of neurotransmitter";"0.320261437908497      .";"1      ."
"cation transmembrane transporter activity";"0.320261437908497      .";"1      ."
"CCR chemokine receptor binding";"0.320261437908497      .";"1      ."
"cell-matrix adhesion";"0.320261437908497      .";"1      ."
"cell junction";"0.320261437908497      .";"1      ."
"cell migration";"0.320261437908497      .";"1      ."
"cellular iron ion homeostasis";"0.320261437908497      .";"1      ."
"cellular oxidant detoxification";"0.320261437908497      .";"1      ."
"cellular response to interferon-gamma";"0.320261437908497      .";"1      ."
"cellular response to tumor necrosis factor";"0.320261437908497      .";"1      ."
"central nervous system development";"0.320261437908497      .";"1      ."
"chemokine-mediated signaling pathway";"0.320261437908497      .";"1      ."
"chemotaxis";"0.320261437908497      .";"1      ."
"cholesterol metabolic process";"0.320261437908497      .";"1      ."
"chromatin organization";"0.320261437908497      .";"1      ."
"DNA repair";"0.320261437908497      .";"1      ."
"double-stranded DNA binding";"0.320261437908497      .";"1      ."
"endoderm formation";"0.320261437908497      .";"1      ."
"endomembrane system";"0.320261437908497      .";"1      ."
"endopeptidase activity";"0.320261437908497      .";"1      ."
"epithelial cilium movement involved in determination of left/right asymmetry";"0.320261437908497      .";"1      ."
"excitatory postsynaptic potential";"0.320261437908497      .";"1      ."
"exocytic vesicle";"0.320261437908497      .";"1      ."
"extracellular matrix structural constituent";"0.320261437908497      .";"1      ."
"fibroblast growth factor receptor binding";"0.320261437908497      .";"1      ."
"G-protein coupled acetylcholine receptor activity";"0.320261437908497      .";"1      ."
"G-protein coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger";"0.320261437908497      .";"1      ."
"glycogen biosynthetic process";"0.320261437908497      .";"1      ."
"Golgi organization";"0.320261437908497      .";"1      ."
"GTPase activity";"0.320261437908497      .";"1      ."
"heparan sulfate proteoglycan binding";"0.320261437908497      .";"1      ."
"immune response";"0.320261437908497      .";"1      ."
"inflammatory response";"0.320261437908497      .";"1      ."
"insulin receptor signaling pathway";"0.320261437908497      .";"1      ."
"integral component of mitochondrial inner membrane";"0.320261437908497      .";"1      ."
"ion transmembrane transport";"0.320261437908497      .";"1      ."
"lipid biosynthetic process";"0.320261437908497      .";"1      ."
"lymphocyte chemotaxis";"0.320261437908497      .";"1      ."
"maturation of SSU-rRNA";"0.320261437908497      .";"1      ."
"metabolic process";"0.320261437908497      .";"1      ."
