"gene set";"p-value";"fdr"
"cellular amino acid biosynthetic process";"0.130718954248366      .";"1      ."
"cellular amino acid metabolic process";"0.130718954248366      .";"1      ."
"epiboly involved in gastrulation with mouth forming second";"0.130718954248366      .";"1      ."
"extrinsic component of membrane";"0.130718954248366      .";"1      ."
"fatty acid metabolic process";"0.130718954248366      .";"1      ."
"glycogen biosynthetic process";"0.130718954248366      .";"1      ."
"GTPase activity";"0.130718954248366      .";"1      ."
"histone H3 deacetylation";"0.130718954248366      .";"1      ."
"inner ear development";"0.130718954248366      .";"1      ."
"lysosome";"0.130718954248366      .";"1      ."
"MAPK cascade";"0.130718954248366      .";"1      ."
"mitochondrial membrane";"0.130718954248366      .";"1      ."
"NAD-dependent histone deacetylase activity (H3-K14 specific)";"0.130718954248366      .";"1      ."
"NAD binding";"0.130718954248366      .";"1      ."
"negative regulation of cell death";"0.130718954248366      .";"1      ."
"neuropeptide Y receptor activity";"0.130718954248366      .";"1      ."
"nucleotide phosphorylation";"0.130718954248366      .";"1      ."
"P granule";"0.130718954248366      .";"1      ."
"peptidyl-tyrosine autophosphorylation";"0.130718954248366      .";"1      ."
"phospholipase C-activating dopamine receptor signaling pathway";"0.130718954248366      .";"1      ."
"protein ADP-ribosylation";"0.130718954248366      .";"1      ."
"protein catabolic process";"0.130718954248366      .";"1      ."
"protein transport";"0.130718954248366      .";"1      ."
"proteolysis";"0.130718954248366      .";"1      ."
"regulation of actin cytoskeleton organization";"0.130718954248366      .";"1      ."
"response to copper ion";"0.130718954248366      .";"1      ."
"small molecule binding";"0.130718954248366      .";"1      ."
"sterol biosynthetic process";"0.130718954248366      .";"1      ."
"transferase activity, transferring acyl groups other than amino-acyl groups";"0.130718954248366      .";"1      ."
"ubiquitin-dependent ERAD pathway";"0.130718954248366      .";"1      ."
"ubiquitin protein ligase binding";"0.130718954248366      .";"1      ."
"vesicle-mediated transport";"0.130718954248366      .";"1      ."
"acyl-CoA metabolic process";"0.163398692810458      .";"1      ."
"aminopeptidase activity";"0.163398692810458      .";"1      ."
"aromatic amino acid family metabolic process";"0.163398692810458      .";"1      ."
"bicellular tight junction assembly";"0.163398692810458      .";"1      ."
"carbohydrate binding";"0.163398692810458      .";"1      ."
"carboxylic acid metabolic process";"0.163398692810458      .";"1      ."
"carboxypeptidase activity";"0.163398692810458      .";"1      ."
"catalytic activity";"0.163398692810458      .";"1      ."
"cell redox homeostasis";"0.163398692810458      .";"1      ."
"cholesterol metabolic process";"0.163398692810458      .";"1      ."
"clathrin adaptor complex";"0.163398692810458      .";"1      ."
"cysteine-type endopeptidase inhibitor activity";"0.163398692810458      .";"1      ."
"cytoskeletal protein binding";"0.163398692810458      .";"1      ."
"damaged DNA binding";"0.163398692810458      .";"1      ."
"developmental pigmentation";"0.163398692810458      .";"1      ."
"enzyme activator activity";"0.163398692810458      .";"1      ."
"erythrocyte development";"0.163398692810458      .";"1      ."
"extrinsic component of cytoplasmic side of plasma membrane";"0.163398692810458      .";"1      ."
"Golgi organization";"0.163398692810458      .";"1      ."
"heme binding";"0.163398692810458      .";"1      ."
"hydrolase activity";"0.163398692810458      .";"1      ."
"hydrolase activity, hydrolyzing O-glycosyl compounds";"0.163398692810458      .";"1      ."
"inositol-1,4,5-trisphosphate 3-kinase activity";"0.163398692810458      .";"1      ."
"intrinsic apoptotic signaling pathway in response to DNA damage";"0.163398692810458      .";"1      ."
"isomerase activity";"0.163398692810458      .";"1      ."
"metabolic process";"0.163398692810458      .";"1      ."
"negative regulation of Notch signaling pathway";"0.163398692810458      .";"1      ."
"nitrogen compound metabolic process";"0.163398692810458      .";"1      ."
"oxidation-reduction process";"0.163398692810458      .";"1      ."
"oxidoreductase activity, acting on NAD(P)H";"0.163398692810458      .";"1      ."
"phosphatidylinositol phosphorylation";"0.163398692810458      .";"1      ."
"proteasome complex";"0.163398692810458      .";"1      ."
"protein processing";"0.163398692810458      .";"1      ."
"purine nucleotide biosynthetic process";"0.163398692810458      .";"1      ."
"pyridoxal phosphate binding";"0.163398692810458      .";"1      ."
"response to ionizing radiation";"0.163398692810458      .";"1      ."
"response to stimulus";"0.163398692810458      .";"1      ."
"ribosomal large subunit assembly";"0.163398692810458      .";"1      ."
"serine-type peptidase activity";"0.163398692810458      .";"1      ."
"steroid metabolic process";"0.163398692810458      .";"1      ."
"synaptic vesicle";"0.163398692810458      .";"1      ."
"synaptic vesicle fusion to presynaptic active zone membrane";"0.163398692810458      .";"1      ."
"synaptic vesicle membrane";"0.163398692810458      .";"1      ."
"transaminase activity";"0.163398692810458      .";"1      ."
"transcription initiation from RNA polymerase II promoter";"0.163398692810458      .";"1      ."
"tumor necrosis factor-mediated signaling pathway";"0.163398692810458      .";"1      ."
"U12-type spliceosomal complex";"0.163398692810458      .";"1      ."
"antigen processing and presentation";"0.196078431372549      .";"1      ."
"ATP hydrolysis coupled proton transport";"0.196078431372549      .";"1      ."
"ATPase activity, coupled to transmembrane movement of substances";"0.196078431372549      .";"1      ."
"carbohydrate metabolic process";"0.196078431372549      .";"1      ."
"caveola";"0.196078431372549      .";"1      ."
"CCR chemokine receptor binding";"0.196078431372549      .";"1      ."
"cell-cell junction";"0.196078431372549      .";"1      ."
"cellular response to interferon-gamma";"0.196078431372549      .";"1      ."
"cellular response to interleukin-1";"0.196078431372549      .";"1      ."
"cellular response to tumor necrosis factor";"0.196078431372549      .";"1      ."
"defense response to virus";"0.196078431372549      .";"1      ."
"detection of chemical stimulus involved in sensory perception";"0.196078431372549      .";"1      ."
"dopamine receptor signaling pathway";"0.196078431372549      .";"1      ."
"endocytosis";"0.196078431372549      .";"1      ."
"endosomal transport";"0.196078431372549      .";"1      ."
"endosome organization";"0.196078431372549      .";"1      ."
"eukaryotic translation initiation factor 3 complex";"0.196078431372549      .";"1      ."
"G-protein coupled acetylcholine receptor activity";"0.196078431372549      .";"1      ."
"G-protein coupled photoreceptor activity";"0.196078431372549      .";"1      ."
"glycogen metabolic process";"0.196078431372549      .";"1      ."
"immune response";"0.196078431372549      .";"1      ."
"innate immune response";"0.196078431372549      .";"1      ."
"intracellular transport";"0.196078431372549      .";"1      ."
"lymphocyte chemotaxis";"0.196078431372549      .";"1      ."
"manganese ion binding";"0.196078431372549      .";"1      ."
"melanosome transport";"0.196078431372549      .";"1      ."
"metalloaminopeptidase activity";"0.196078431372549      .";"1      ."
"monocyte chemotaxis";"0.196078431372549      .";"1      ."
"negative regulation of TOR signaling";"0.196078431372549      .";"1      ."
"non-membrane spanning protein tyrosine kinase activity";"0.196078431372549      .";"1      ."
"nucleoside metabolic process";"0.196078431372549      .";"1      ."
"nucleotide-excision repair";"0.196078431372549      .";"1      ."
"nucleotide biosynthetic process";"0.196078431372549      .";"1      ."
"oxidoreductase activity, acting on the CH-CH group of donors";"0.196078431372549      .";"1      ."
"perinuclear region of cytoplasm";"0.196078431372549      .";"1      ."
"phosphatidylinositol binding";"0.196078431372549      .";"1      ."
"phospholipid transport";"0.196078431372549      .";"1      ."
"pigmentation";"0.196078431372549      .";"1      ."
"positive regulation of apoptotic process";"0.196078431372549      .";"1      ."
"positive regulation of guanylate cyclase activity";"0.196078431372549      .";"1      ."
"positive regulation of NF-kappaB transcription factor activity";"0.196078431372549      .";"1      ."
"protein-chromophore linkage";"0.196078431372549      .";"1      ."
"protein methylation";"0.196078431372549      .";"1      ."
"proton-transporting ATPase activity, rotational mechanism";"0.196078431372549      .";"1      ."
"regulation of mitotic nuclear division";"0.196078431372549      .";"1      ."
"response to toxic substance";"0.196078431372549      .";"1      ."
"rRNA binding";"0.196078431372549      .";"1      ."
"serine-type carboxypeptidase activity";"0.196078431372549      .";"1      ."
"serine-type endopeptidase inhibitor activity";"0.196078431372549      .";"1      ."
"translation initiation factor activity";"0.196078431372549      .";"1      ."
"transmembrane transport";"0.196078431372549      .";"1      ."
"vesicle docking involved in exocytosis";"0.196078431372549      .";"1      ."
"chemokine activity";"0.235294117647059      .";"1      ."
"cholesterol biosynthetic process";"0.235294117647059      .";"1      ."
"cholesterol homeostasis";"0.235294117647059      .";"1      ."
"cytoplasm";"0.235294117647059      .";"1      ."
"dendrite";"0.235294117647059      .";"1      ."
"detection of visible light";"0.235294117647059      .";"1      ."
"DNA metabolic process";"0.235294117647059      .";"1      ."
"endocytic recycling";"0.235294117647059      .";"1      ."
"endoplasmic reticulum membrane";"0.235294117647059      .";"1      ."
"endosome";"0.235294117647059      .";"1      ."
"endosome membrane";"0.235294117647059      .";"1      ."
"eukaryotic 43S preinitiation complex";"0.235294117647059      .";"1      ."
"exocyst";"0.235294117647059      .";"1      ."
"exocyst localization";"0.235294117647059      .";"1      ."
"FMN binding";"0.235294117647059      .";"1      ."
"G-protein coupled receptor binding";"0.235294117647059      .";"1      ."
"glucose transmembrane transport";"0.235294117647059      .";"1      ."
"hydrolase activity, acting on glycosyl bonds";"0.235294117647059      .";"1      ."
"intracellular protein transport";"0.235294117647059      .";"1      ."
"intracellular ribonucleoprotein complex";"0.235294117647059      .";"1      ."
"iron ion homeostasis";"0.235294117647059      .";"1      ."
"MAP kinase activity";"0.235294117647059      .";"1      ."
"melanocyte differentiation";"0.235294117647059      .";"1      ."
"membrane coat";"0.235294117647059      .";"1      ."
"NAD+ ADP-ribosyltransferase activity";"0.235294117647059      .";"1      ."
"neutral amino acid transmembrane transporter activity";"0.235294117647059      .";"1      ."
"neutral amino acid transport";"0.235294117647059      .";"1      ."
"one-carbon metabolic process";"0.235294117647059      .";"1      ."
"oxidoreductase activity";"0.235294117647059      .";"1      ."
"phosphatidylinositol 3-kinase complex";"0.235294117647059      .";"1      ."
"phospholipid-translocating ATPase activity";"0.235294117647059      .";"1      ."
"phospholipid translocation";"0.235294117647059      .";"1      ."
"photoreceptor activity";"0.235294117647059      .";"1      ."
"photoreceptor outer segment";"0.235294117647059      .";"1      ."
"positive regulation of I-kappaB kinase/NF-kappaB signaling";"0.235294117647059      .";"1      ."
"protein kinase C activity";"0.235294117647059      .";"1      ."
"proton-transporting V-type ATPase, V1 domain";"0.235294117647059      .";"1      ."
"regulation of autophagy";"0.235294117647059      .";"1      ."
"response to cytokine";"0.235294117647059      .";"1      ."
"retrograde transport, endosome to Golgi";"0.235294117647059      .";"1      ."
"ribonuclease activity";"0.235294117647059      .";"1      ."
"vacuolar proton-transporting V-type ATPase, V0 domain";"0.235294117647059      .";"1      ."
"vacuole";"0.235294117647059      .";"1      ."
"water transmembrane transporter activity";"0.235294117647059      .";"1      ."
"water transport";"0.235294117647059      .";"1      ."
"carbohydrate phosphorylation";"0.274509803921569      .";"1      ."
"cell chemotaxis";"0.274509803921569      .";"1      ."
"cholesterol binding";"0.274509803921569      .";"1      ."
"chylomicron";"0.274509803921569      .";"1      ."
"cilium organization";"0.274509803921569      .";"1      ."
"cullin family protein binding";"0.274509803921569      .";"1      ."
"defense response to bacterium";"0.274509803921569      .";"1      ."
"detection of chemical stimulus involved in sensory perception of smell";"0.274509803921569      .";"1      ."
"DNA-directed RNA polymerase I complex";"0.274509803921569      .";"1      ."
"eukaryotic 48S preinitiation complex";"0.274509803921569      .";"1      ."
"exocytosis";"0.274509803921569      .";"1      ."
"focal adhesion";"0.274509803921569      .";"1      ."
"G-protein beta/gamma-subunit complex binding";"0.274509803921569      .";"1      ."
"glomerular filtration";"0.274509803921569      .";"1      ."
"glomerulus development";"0.274509803921569      .";"1      ."
"glucose homeostasis";"0.274509803921569      .";"1      ."
"glycolytic process";"0.274509803921569      .";"1      ."
"Golgi apparatus";"0.274509803921569      .";"1      ."
"guanyl nucleotide binding";"0.274509803921569      .";"1      ."
"high-density lipoprotein particle";"0.274509803921569      .";"1      ."
"lipid binding";"0.274509803921569      .";"1      ."
"lipid transport";"0.274509803921569      .";"1      ."
"lipid transporter activity";"0.274509803921569      .";"1      ."
"lipoprotein metabolic process";"0.274509803921569      .";"1      ."
"magnesium ion binding";"0.274509803921569      .";"1      ."
"mitochondrial fusion";"0.274509803921569      .";"1      ."
"monooxygenase activity";"0.274509803921569      .";"1      ."
