"gene set";"p-value";"fdr"
"cell proliferation";"0.111111111111111      .";"1      ."
"cell surface receptor signaling pathway";"0.111111111111111      .";"1      ."
"cGMP biosynthetic process";"0.111111111111111      .";"1      ."
"chromatin";"0.111111111111111      .";"1      ."
"convergent extension";"0.111111111111111      .";"1      ."
"convergent extension involved in axis elongation";"0.111111111111111      .";"1      ."
"copper ion binding";"0.111111111111111      .";"1      ."
"cyclic nucleotide biosynthetic process";"0.111111111111111      .";"1      ."
"cytoplasmic microtubule organization";"0.111111111111111      .";"1      ."
"detection of mechanical stimulus";"0.111111111111111      .";"1      ."
"detection of visible light";"0.111111111111111      .";"1      ."
"determination of left/right symmetry";"0.111111111111111      .";"1      ."
"determination of ventral identity";"0.111111111111111      .";"1      ."
"digestive tract development";"0.111111111111111      .";"1      ."
"embryonic cranial skeleton morphogenesis";"0.111111111111111      .";"1      ."
"embryonic neurocranium morphogenesis";"0.111111111111111      .";"1      ."
"endocrine pancreas development";"0.111111111111111      .";"1      ."
"endothelial cell proliferation";"0.111111111111111      .";"1      ."
"enteric nervous system development";"0.111111111111111      .";"1      ."
"epidermal growth factor receptor signaling pathway";"0.111111111111111      .";"1      ."
"establishment or maintenance of cell polarity";"0.111111111111111      .";"1      ."
"extracellular ATP-gated cation channel activity";"0.111111111111111      .";"1      ."
"fibroblast growth factor receptor signaling pathway";"0.111111111111111      .";"1      ."
"floor plate formation";"0.111111111111111      .";"1      ."
"frizzled binding";"0.111111111111111      .";"1      ."
"growth factor activity";"0.111111111111111      .";"1      ."
"guanylate cyclase activity";"0.111111111111111      .";"1      ."
"guanylate cyclase complex, soluble";"0.111111111111111      .";"1      ."
"habenula development";"0.111111111111111      .";"1      ."
"heart jogging";"0.111111111111111      .";"1      ."
"hippo signaling";"0.111111111111111      .";"1      ."
"histone deacetylation";"0.111111111111111      .";"1      ."
"hyaluronic acid binding";"0.111111111111111      .";"1      ."
"inner ear development";"0.111111111111111      .";"1      ."
"insulin-like growth factor binding";"0.111111111111111      .";"1      ."
"integral component of Golgi membrane";"0.111111111111111      .";"1      ."
"L-ascorbic acid binding";"0.111111111111111      .";"1      ."
"negative regulation of neurogenesis";"0.111111111111111      .";"1      ."
"neural tube formation";"0.111111111111111      .";"1      ."
"neuron differentiation";"0.111111111111111      .";"1      ."
"neuron migration";"0.111111111111111      .";"1      ."
"neuropilin binding";"0.111111111111111      .";"1      ."
"oligodendrocyte differentiation";"0.111111111111111      .";"1      ."
"otolith development";"0.111111111111111      .";"1      ."
"peptidyl-prolyl cis-trans isomerase activity";"0.111111111111111      .";"1      ."
"pharyngeal system development";"0.111111111111111      .";"1      ."
"phosphate ion transmembrane transport";"0.111111111111111      .";"1      ."
"phosphatidylinositol phospholipase C activity";"0.111111111111111      .";"1      ."
"phosphorus-oxygen lyase activity";"0.111111111111111      .";"1      ."
"photoperiodism";"0.111111111111111      .";"1      ."
"positive regulation of canonical Wnt signaling pathway";"0.111111111111111      .";"1      ."
"positive regulation of cell proliferation";"0.111111111111111      .";"1      ."
"positive regulation of Wnt signaling pathway";"0.111111111111111      .";"1      ."
"post-anal tail morphogenesis";"0.111111111111111      .";"1      ."
"posterior lateral line neuromast primordium migration";"0.111111111111111      .";"1      ."
"protein disulfide isomerase activity";"0.111111111111111      .";"1      ."
"protein peptidyl-prolyl isomerization";"0.111111111111111      .";"1      ."
"purinergic nucleotide receptor activity";"0.111111111111111      .";"1      ."
"purinergic nucleotide receptor signaling pathway";"0.111111111111111      .";"1      ."
"receptor clustering";"0.111111111111111      .";"1      ."
"response to ATP";"0.111111111111111      .";"1      ."
"response to endoplasmic reticulum stress";"0.111111111111111      .";"1      ."
"response to stimulus";"0.111111111111111      .";"1      ."
"serine-type endopeptidase activity";"0.111111111111111      .";"1      ."
"signal transducer, downstream of receptor, with serine/threonine kinase activity";"0.111111111111111      .";"1      ."
"smoothened signaling pathway";"0.111111111111111      .";"1      ."
"somitogenesis";"0.111111111111111      .";"1      ."
"spermatid development";"0.111111111111111      .";"1      ."
"spindle pole";"0.111111111111111      .";"1      ."
"sprouting angiogenesis";"0.111111111111111      .";"1      ."
"transcription factor TFIID complex";"0.111111111111111      .";"1      ."
"transmembrane receptor protein serine/threonine kinase activity";"0.111111111111111      .";"1      ."
"transmembrane receptor protein serine/threonine kinase signaling pathway";"0.111111111111111      .";"1      ."
"transmembrane receptor protein tyrosine kinase activity";"0.111111111111111      .";"1      ."
"Wnt signaling pathway";"0.111111111111111      .";"1      ."
"adenylate cyclase activity";"0.166666666666667      .";"1      ."
"anchored component of membrane";"0.166666666666667      .";"1      ."
"angiogenesis";"0.166666666666667      .";"1      ."
"anion transmembrane transporter activity";"0.166666666666667      .";"1      ."
"anion transport";"0.166666666666667      .";"1      ."
"apical plasma membrane";"0.166666666666667      .";"1      ."
"ATP-activated inward rectifier potassium channel activity";"0.166666666666667      .";"1      ."
"bicellular tight junction";"0.166666666666667      .";"1      ."
"calcium ion import";"0.166666666666667      .";"1      ."
"calmodulin-dependent protein kinase activity";"0.166666666666667      .";"1      ."
"carbonate dehydratase activity";"0.166666666666667      .";"1      ."
"cell projection";"0.166666666666667      .";"1      ."
"centrosome";"0.166666666666667      .";"1      ."
"chaperone-mediated protein folding";"0.166666666666667      .";"1      ."
"chloride channel complex";"0.166666666666667      .";"1      ."
"chromatin binding";"0.166666666666667      .";"1      ."
"ciliary basal body";"0.166666666666667      .";"1      ."
"closure of optic fissure";"0.166666666666667      .";"1      ."
"covalent chromatin modification";"0.166666666666667      .";"1      ."
"determination of left/right asymmetry in lateral mesoderm";"0.166666666666667      .";"1      ."
"ephrin receptor binding";"0.166666666666667      .";"1      ."
"external side of plasma membrane";"0.166666666666667      .";"1      ."
"G-protein beta/gamma-subunit complex binding";"0.166666666666667      .";"1      ."
"glomerular filtration";"0.166666666666667      .";"1      ."
"Golgi apparatus";"0.166666666666667      .";"1      ."
"Golgi cisterna membrane";"0.166666666666667      .";"1      ."
"guanyl nucleotide binding";"0.166666666666667      .";"1      ."
"head development";"0.166666666666667      .";"1      ."
"hematopoietic progenitor cell differentiation";"0.166666666666667      .";"1      ."
"heparan sulfate proteoglycan binding";"0.166666666666667      .";"1      ."
"heparin binding";"0.166666666666667      .";"1      ."
"histone deacetylase activity";"0.166666666666667      .";"1      ."
"histone deacetylase complex";"0.166666666666667      .";"1      ."
"intermediate filament";"0.166666666666667      .";"1      ."
"intraciliary transport particle B";"0.166666666666667      .";"1      ."
"Kupffer's vesicle development";"0.166666666666667      .";"1      ."
"locomotory behavior";"0.166666666666667      .";"1      ."
"lymphangiogenesis";"0.166666666666667      .";"1      ."
"metalloendopeptidase activity";"0.166666666666667      .";"1      ."
"microtubule organizing center";"0.166666666666667      .";"1      ."
"midbrain development";"0.166666666666667      .";"1      ."
"myoblast fusion";"0.166666666666667      .";"1      ."
"negative chemotaxis";"0.166666666666667      .";"1      ."
"negative regulation of transcription, DNA-templated";"0.166666666666667      .";"1      ."
"Notch signaling pathway";"0.166666666666667      .";"1      ."
"nucleus";"0.166666666666667      .";"1      ."
"optic nerve development";"0.166666666666667      .";"1      ."
"otic placode formation";"0.166666666666667      .";"1      ."
"p53 binding";"0.166666666666667      .";"1      ."
"pancreas development";"0.166666666666667      .";"1      ."
"peptidyl-threonine phosphorylation";"0.166666666666667      .";"1      ."
"phosphoric diester hydrolase activity";"0.166666666666667      .";"1      ."
"photoreceptor activity";"0.166666666666667      .";"1      ."
"positive regulation of DNA repair";"0.166666666666667      .";"1      ."
"positive regulation of gene expression";"0.166666666666667      .";"1      ."
"positive regulation of neurogenesis";"0.166666666666667      .";"1      ."
"positive regulation of pathway-restricted SMAD protein phosphorylation";"0.166666666666667      .";"1      ."
"positive regulation of sequence-specific DNA binding transcription factor activity";"0.166666666666667      .";"1      ."
"positive regulation of transcription, DNA-templated";"0.166666666666667      .";"1      ."
"pronephros development";"0.166666666666667      .";"1      ."
"protein-chromophore linkage";"0.166666666666667      .";"1      ."
"regulation of angiogenesis";"0.166666666666667      .";"1      ."
"regulation of axon extension";"0.166666666666667      .";"1      ."
"regulation of cell adhesion";"0.166666666666667      .";"1      ."
"regulation of cell growth";"0.166666666666667      .";"1      ."
"regulation of gene expression";"0.166666666666667      .";"1      ."
"regulation of MAPK cascade";"0.166666666666667      .";"1      ."
"response to light stimulus";"0.166666666666667      .";"1      ."
"Rho GTPase binding";"0.166666666666667      .";"1      ."
"sensory epithelium regeneration";"0.166666666666667      .";"1      ."
"sensory perception of sound";"0.166666666666667      .";"1      ."
"SMAD protein signal transduction";"0.166666666666667      .";"1      ."
"sodium ion transport";"0.166666666666667      .";"1      ."
"striated muscle cell development";"0.166666666666667      .";"1      ."
"structural molecule activity";"0.166666666666667      .";"1      ."
"swim bladder development";"0.166666666666667      .";"1      ."
"transcription regulatory region DNA binding";"0.166666666666667      .";"1      ."
"transcriptional repressor complex";"0.166666666666667      .";"1      ."
"transforming growth factor beta receptor binding";"0.166666666666667      .";"1      ."
"3'-5' exonuclease activity";"0.222222222222222      .";"1      ."
"actomyosin structure organization";"0.222222222222222      .";"1      ."
"ATP-dependent DNA helicase activity";"0.222222222222222      .";"1      ."
"axonal fasciculation";"0.222222222222222      .";"1      ."
"base-excision repair";"0.222222222222222      .";"1      ."
"blood vessel morphogenesis";"0.222222222222222      .";"1      ."
"branching involved in blood vessel morphogenesis";"0.222222222222222      .";"1      ."
"calcium ion binding";"0.222222222222222      .";"1      ."
"cell-cell adherens junction";"0.222222222222222      .";"1      ."
"cell adhesion";"0.222222222222222      .";"1      ."
"cell differentiation";"0.222222222222222      .";"1      ."
"cell morphogenesis";"0.222222222222222      .";"1      ."
"cilium";"0.222222222222222      .";"1      ."
"cilium assembly";"0.222222222222222      .";"1      ."
"cyclin-dependent protein kinase holoenzyme complex";"0.222222222222222      .";"1      ."
"cytoskeletal anchoring at nuclear membrane";"0.222222222222222      .";"1      ."
"determination of dorsal identity";"0.222222222222222      .";"1      ."
"DNA-dependent ATPase activity";"0.222222222222222      .";"1      ."
"DNA-directed DNA polymerase activity";"0.222222222222222      .";"1      ."
"DNA binding";"0.222222222222222      .";"1      ."
"DNA biosynthetic process";"0.222222222222222      .";"1      ."
"DNA duplex unwinding";"0.222222222222222      .";"1      ."
"DNA helicase activity";"0.222222222222222      .";"1      ."
"DNA recombination";"0.222222222222222      .";"1      ."
"DNA replication";"0.222222222222222      .";"1      ."
"DNA replication initiation";"0.222222222222222      .";"1      ."
"embryonic camera-type eye development";"0.222222222222222      .";"1      ."
"epithelial cilium movement involved in determination of left/right asymmetry";"0.222222222222222      .";"1      ."
"establishment of cell polarity";"0.222222222222222      .";"1      ."
"exonuclease activity";"0.222222222222222      .";"1      ."
"eye photoreceptor cell development";"0.222222222222222      .";"1      ."
"fibroblast growth factor receptor binding";"0.222222222222222      .";"1      ."
"glomerular visceral epithelial cell development";"0.222222222222222      .";"1      ."
"helicase activity";"0.222222222222222      .";"1      ."
"histone acetylation";"0.222222222222222      .";"1      ."
"histone acetyltransferase activity";"0.222222222222222      .";"1      ."
"insulin receptor signaling pathway";"0.222222222222222      .";"1      ."
"integral component of nuclear inner membrane";"0.222222222222222      .";"1      ."
"integrin complex";"0.222222222222222      .";"1      ."
"intracellular membrane-bounded organelle";"0.222222222222222      .";"1      ."
"isomerase activity";"0.222222222222222      .";"1      ."
"lamellipodium";"0.222222222222222      .";"1      ."
"lens development in camera-type eye";"0.222222222222222      .";"1      ."
"ligand-dependent nuclear receptor transcription coactivator activity";"0.222222222222222      .";"1      ."
"MAP kinase activity";"0.222222222222222      .";"1      ."
"mesoderm development";"0.222222222222222      .";"1      ."
"methylation";"0.222222222222222      .";"1      ."
"microtubule cytoskeleton";"0.222222222222222      .";"1      ."
"mismatch repair";"0.222222222222222      .";"1      ."
"mitotic sister chromatid segregation";"0.222222222222222      .";"1      ."
"mitotic spindle";"0.222222222222222      .";"1      ."
"mRNA binding";"0.222222222222222      .";"1      ."
"mRNA transport";"0.222222222222222      .";"1      ."
"multicellular organism development";"0.222222222222222      .";"1      ."
"negative regulation of angiogenesis";"0.222222222222222      .";"1      ."
"negative regulation of canonical Wnt signaling pathway";"0.222222222222222      .";"1      ."
"negative regulation of cell death";"0.222222222222222      .";"1      ."
"negative regulation of cell proliferation";"0.222222222222222      .";"1      ."
"negative regulation of Ras protein signal transduction";"0.222222222222222      .";"1      ."
"negative regulation of Wnt signaling pathway";"0.222222222222222      .";"1      ."
"neural retina development";"0.222222222222222      .";"1      ."
"neurogenesis";"0.222222222222222      .";"1      ."
"neuromast development";"0.222222222222222      .";"1      ."
"nuclear envelope";"0.222222222222222      .";"1      ."
"nuclear localization sequence binding";"0.222222222222222      .";"1      ."
"nuclear membrane";"0.222222222222222      .";"1      ."
"nuclease activity";"0.222222222222222      .";"1      ."
"nucleic acid phosphodiester bond hydrolysis";"0.222222222222222      .";"1      ."
"nucleocytoplasmic transporter activity";"0.222222222222222      .";"1      ."
"nucleosomal DNA binding";"0.222222222222222      .";"1      ."
"peptidyl-proline hydroxylation";"0.222222222222222      .";"1      ."
"peptidyl-tyrosine phosphorylation";"0.222222222222222      .";"1      ."
"peripheral nervous system development";"0.222222222222222      .";"1      ."
"phosphatidate phosphatase activity";"0.222222222222222      .";"1      ."
"phosphatidylinositol 3-kinase binding";"0.222222222222222      .";"1      ."
"phospholipid dephosphorylation";"0.222222222222222      .";"1      ."
"positive regulation of BMP signaling pathway";"0.222222222222222      .";"1      ."
"positive regulation of transcription from RNA polymerase II promoter";"0.222222222222222      .";"1      ."
"positive regulation of vasoconstriction";"0.222222222222222      .";"1      ."
"protein complex assembly";"0.222222222222222      .";"1      ."
"protein localization";"0.222222222222222      .";"1      ."
"regulation of cell morphogenesis";"0.222222222222222      .";"1      ."
"regulation of neuron differentiation";"0.222222222222222      .";"1      ."
"regulation of RNA splicing";"0.222222222222222      .";"1      ."
"regulation of small GTPase mediated signal transduction";"0.222222222222222      .";"1      ."
"retina development in camera-type eye";"0.222222222222222      .";"1      ."
"RNA methyltransferase activity";"0.222222222222222      .";"1      ."
"RNA polymerase II transcription factor activity, sequence-specific DNA binding";"0.222222222222222      .";"1      ."
"SCF ubiquitin ligase complex";"0.222222222222222      .";"1      ."
"serine-type peptidase activity";"0.222222222222222      .";"1      ."
"signal transducer activity";"0.222222222222222      .";"1      ."
"signal transduction";"0.222222222222222      .";"1      ."
"single-stranded DNA binding";"0.222222222222222      .";"1      ."
"skeletal muscle fiber development";"0.222222222222222      .";"1      ."
"spindle";"0.222222222222222      .";"1      ."
"spindle assembly";"0.222222222222222      .";"1      ."
"spindle organization";"0.222222222222222      .";"1      ."
"store-operated calcium channel activity";"0.222222222222222      .";"1      ."
"sulfotransferase activity";"0.222222222222222      .";"1      ."
"symporter activity";"0.222222222222222      .";"1      ."
"thymus development";"0.222222222222222      .";"1      ."
"transcription cofactor activity";"0.222222222222222      .";"1      ."
"transcription factor activity, sequence-specific DNA binding";"0.222222222222222      .";"1      ."
"transcription factor complex";"0.222222222222222      .";"1      ."
"transcription from RNA polymerase II promoter";"0.222222222222222      .";"1      ."
"transition metal ion binding";"0.222222222222222      .";"1      ."
"transmembrane signaling receptor activity";"0.222222222222222      .";"1      ."
"U4/U6 x U5 tri-snRNP complex";"0.222222222222222      .";"1      ."
"ventral spinal cord interneuron differentiation";"0.222222222222222      .";"1      ."
"actin monomer binding";"0.277777777777778      .";"1      ."
"amino acid transmembrane transport";"0.277777777777778      .";"1      ."
"amino acid transmembrane transporter activity";"0.277777777777778      .";"1      ."
"AMPA glutamate receptor complex";"0.277777777777778      .";"1      ."
"axon extension";"0.277777777777778      .";"1      ."
"axon guidance";"0.277777777777778      .";"1      ."
"axonogenesis";"0.277777777777778      .";"1      ."
"beta-catenin binding";"0.277777777777778      .";"1      ."
"brain development";"0.277777777777778      .";"1      ."
"brain morphogenesis";"0.277777777777778      .";"1      ."
"calcium channel activity";"0.277777777777778      .";"1      ."
"calcium ion-regulated exocytosis of neurotransmitter";"0.277777777777778      .";"1      ."
"calcium ion transmembrane transport";"0.277777777777778      .";"1      ."
"calmodulin binding";"0.277777777777778      .";"1      ."
"cell-cell signaling";"0.277777777777778      .";"1      ."
"cell adhesion molecule binding";"0.277777777777778      .";"1      ."
"cell cycle";"0.277777777777778      .";"1      ."
"cell division";"0.277777777777778      .";"1      ."
"cell fate specification";"0.277777777777778      .";"1      ."
"cellular response to DNA damage stimulus";"0.277777777777778      .";"1      ."
"central nervous system projection neuron axonogenesis";"0.277777777777778      .";"1      ."
"centriole";"0.277777777777778      .";"1      ."
"chromatin remodeling";"0.277777777777778      .";"1      ."
"chromosome segregation";"0.277777777777778      .";"1      ."
"chromosome, centromeric region";"0.277777777777778      .";"1      ."
"clathrin-coated vesicle";"0.277777777777778      .";"1      ."
"clathrin binding";"0.277777777777778      .";"1      ."
"clathrin coat assembly";"0.277777777777778      .";"1      ."
"condensed chromosome kinetochore";"0.277777777777778      .";"1      ."
"cytokinesis";"0.277777777777778      .";"1      ."
"cytoskeleton-dependent intracellular transport";"0.277777777777778      .";"1      ."
"damaged DNA binding";"0.277777777777778      .";"1      ."
"definitive hemopoiesis";"0.277777777777778      .";"1      ."
"determination of pancreatic left/right asymmetry";"0.277777777777778      .";"1      ."
"developmental growth";"0.277777777777778      .";"1      ."
"DNA-dependent DNA replication";"0.277777777777778      .";"1      ."
"DNA repair";"0.277777777777778      .";"1      ."
"dynamin family protein polymerization involved in mitochondrial fission";"0.277777777777778      .";"1      ."
"embryonic heart tube morphogenesis";"0.277777777777778      .";"1      ."
"embryonic retina morphogenesis in camera-type eye";"0.277777777777778      .";"1      ."
"extracellular-glutamate-gated ion channel activity";"0.277777777777778      .";"1      ."
"forebrain development";"0.277777777777778      .";"1      ."
"G-protein coupled receptor signaling pathway";"0.277777777777778      .";"1      ."
"G1/S transition of mitotic cell cycle";"0.277777777777778      .";"1      ."
"GABA-A receptor activity";"0.277777777777778      .";"1      ."
"GABA-A receptor complex";"0.277777777777778      .";"1      ."
"gene silencing by RNA";"0.277777777777778      .";"1      ."
"glutamate receptor activity";"0.277777777777778      .";"1      ."
"heart looping";"0.277777777777778      .";"1      ."
"high voltage-gated calcium channel activity";"0.277777777777778      .";"1      ."
"hindbrain development";"0.277777777777778      .";"1      ."
"histone-lysine N-methyltransferase activity";"0.277777777777778      .";"1      ."
"histone acetyltransferase complex";"0.277777777777778      .";"1      ."
"histone binding";"0.277777777777778      .";"1      ."
"homophilic cell adhesion via plasma membrane adhesion molecules";"0.277777777777778      .";"1      ."
"hormone activity";"0.277777777777778      .";"1      ."
"hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides";"0.277777777777778      .";"1      ."
"hypothalamus development";"0.277777777777778      .";"1      ."
"induction of positive chemotaxis";"0.277777777777778      .";"1      ."
"integral component of plasma membrane";"0.277777777777778      .";"1      ."
"intrahepatic bile duct development";"0.277777777777778      .";"1      ."
"intrinsic apoptotic signaling pathway by p53 class mediator";"0.277777777777778      .";"1      ."
"intrinsic component of the cytoplasmic side of the plasma membrane";"0.277777777777778      .";"1      ."
"inward rectifier potassium channel activity";"0.277777777777778      .";"1      ."
"ion channel activity";"0.277777777777778      .";"1      ."
"ion transmembrane transport";"0.277777777777778      .";"1      ."
"ionotropic glutamate receptor activity";"0.277777777777778      .";"1      ."
"ionotropic glutamate receptor signaling pathway";"0.277777777777778      .";"1      ."
"kidney development";"0.277777777777778      .";"1      ."
"kinase activity";"0.277777777777778      .";"1      ."
"kinetochore";"0.277777777777778      .";"1      ."
"larval locomotory behavior";"0.277777777777778      .";"1      ."
"lipid phosphatase activity";"0.277777777777778      .";"1      ."
"liver development";"0.277777777777778      .";"1      ."
"MAP kinase kinase kinase kinase activity";"0.277777777777778      .";"1      ."
"MAPK cascade";"0.277777777777778      .";"1      ."
"mediator complex";"0.277777777777778      .";"1      ."
"meiotic cell cycle";"0.277777777777778      .";"1      ."
"membrane depolarization during action potential";"0.277777777777778      .";"1      ."
"metal ion binding";"0.277777777777778      .";"1      ."
"methyltransferase activity";"0.277777777777778      .";"1      ."
"microtubule binding";"0.277777777777778      .";"1      ."
"microtubule cytoskeleton organization";"0.277777777777778      .";"1      ."
"midbrain-hindbrain boundary development";"0.277777777777778      .";"1      ."
"mitotic cell cycle";"0.277777777777778      .";"1      ."
"mitotic spindle assembly";"0.277777777777778      .";"1      ."
"mitotic spindle assembly checkpoint";"0.277777777777778      .";"1      ."
"modulation of synaptic transmission";"0.277777777777778      .";"1      ."
"monocarboxylic acid transmembrane transporter activity";"0.277777777777778      .";"1      ."
"monocarboxylic acid transport";"0.277777777777778      .";"1      ."
"motor neuron axon guidance";"0.277777777777778      .";"1      ."
"mRNA polyadenylation";"0.277777777777778      .";"1      ."
"mRNA processing";"0.277777777777778      .";"1      ."
"mRNA splicing, via spliceosome";"0.277777777777778      .";"1      ."
"N-glycan processing";"0.277777777777778      .";"1      ."
