"gene set";"p-value";"fdr"
"O-acyltransferase activity";"0.0130718954248366      .";"0.655978125776783      ."
"organic anion transmembrane transporter activity";"0.0130718954248366      .";"0.655978125776783      ."
"oxalate transmembrane transporter activity";"0.0130718954248366      .";"0.655978125776783      ."
"oxalate transport";"0.0130718954248366      .";"0.655978125776783      ."
"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen";"0.0130718954248366      .";"0.655978125776783      ."
"oxidoreductase activity, acting on the CH-CH group of donors";"0.0130718954248366      .";"0.655978125776783      ."
"peroxisomal membrane";"0.0130718954248366      .";"0.655978125776783      ."
"platelet activation";"0.0130718954248366      .";"0.655978125776783      ."
"pyridoxal phosphate binding";"0.0130718954248366      .";"0.655978125776783      ."
"superoxide metabolic process";"0.0130718954248366      .";"0.655978125776783      ."
"transmembrane transporter activity";"0.0130718954248366      .";"0.655978125776783      ."
"transporter activity";"0.0130718954248366      .";"0.655978125776783      ."
"acyl-CoA dehydrogenase activity";"0.0261437908496732      .";"0.655978125776783      ."
"amino acid transport";"0.0261437908496732      .";"0.655978125776783      ."
"amyloid-beta binding";"0.0261437908496732      .";"0.655978125776783      ."
"axon development";"0.0261437908496732      .";"0.655978125776783      ."
"biosynthetic process";"0.0261437908496732      .";"0.655978125776783      ."
"blood coagulation";"0.0261437908496732      .";"0.655978125776783      ."
"carbohydrate binding";"0.0261437908496732      .";"0.655978125776783      ."
"carboxy-lyase activity";"0.0261437908496732      .";"0.655978125776783      ."
"fructose metabolic process";"0.0261437908496732      .";"0.655978125776783      ."
"gap junction";"0.0261437908496732      .";"0.655978125776783      ."
"hormone-mediated signaling pathway";"0.0261437908496732      .";"0.655978125776783      ."
"L-alpha-amino acid transmembrane transport";"0.0261437908496732      .";"0.655978125776783      ."
"lysosome organization";"0.0261437908496732      .";"0.655978125776783      ."
"metabolic process";"0.0261437908496732      .";"0.655978125776783      ."
"mitochondrial membrane";"0.0261437908496732      .";"0.655978125776783      ."
"NADP binding";"0.0261437908496732      .";"0.655978125776783      ."
"nitrogen compound metabolic process";"0.0261437908496732      .";"0.655978125776783      ."
"peroxisome";"0.0261437908496732      .";"0.655978125776783      ."
"polysaccharide binding";"0.0261437908496732      .";"0.655978125776783      ."
"regulation of GTPase activity";"0.0261437908496732      .";"0.655978125776783      ."
"steroid binding";"0.0261437908496732      .";"0.655978125776783      ."
"vacuole";"0.0261437908496732      .";"0.655978125776783      ."
"zinc II ion transmembrane transport";"0.0261437908496732      .";"0.655978125776783      ."
"zinc II ion transport";"0.0261437908496732      .";"0.655978125776783      ."
"acyl-CoA hydrolase activity";"0.0392156862745098      .";"0.655978125776783      ."
"ADP transport";"0.0392156862745098      .";"0.655978125776783      ."
"anion:anion antiporter activity";"0.0392156862745098      .";"0.655978125776783      ."
"antiporter activity";"0.0392156862745098      .";"0.655978125776783      ."
"ATP metabolic process";"0.0392156862745098      .";"0.655978125776783      ."
"ATP transport";"0.0392156862745098      .";"0.655978125776783      ."
"carbohydrate metabolic process";"0.0392156862745098      .";"0.655978125776783      ."
"cation transmembrane transporter activity";"0.0392156862745098      .";"0.655978125776783      ."
"cation transport";"0.0392156862745098      .";"0.655978125776783      ."
"chloride channel complex";"0.0392156862745098      .";"0.655978125776783      ."
"chloride transmembrane transport";"0.0392156862745098      .";"0.655978125776783      ."
"circadian rhythm";"0.0392156862745098      .";"0.655978125776783      ."
"connexin complex";"0.0392156862745098      .";"0.655978125776783      ."
"drug transmembrane transport";"0.0392156862745098      .";"0.655978125776783      ."
"endomembrane system";"0.0392156862745098      .";"0.655978125776783      ."
"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides";"0.0392156862745098      .";"0.655978125776783      ."
"inositol-1,4,5-trisphosphate 3-kinase activity";"0.0392156862745098      .";"0.655978125776783      ."
"integral component of peroxisomal membrane";"0.0392156862745098      .";"0.655978125776783      ."
"iron ion homeostasis";"0.0392156862745098      .";"0.655978125776783      ."
"ligase activity";"0.0392156862745098      .";"0.655978125776783      ."
"myeloid cell development";"0.0392156862745098      .";"0.655978125776783      ."
"NAD binding";"0.0392156862745098      .";"0.655978125776783      ."
"negative regulation of cell migration";"0.0392156862745098      .";"0.655978125776783      ."
"negative regulation of neuron apoptotic process";"0.0392156862745098      .";"0.655978125776783      ."
"neutral amino acid transmembrane transporter activity";"0.0392156862745098      .";"0.655978125776783      ."
"neutral amino acid transport";"0.0392156862745098      .";"0.655978125776783      ."
"nucleotide phosphorylation";"0.0392156862745098      .";"0.655978125776783      ."
"positive regulation of I-kappaB kinase/NF-kappaB signaling";"0.0392156862745098      .";"0.655978125776783      ."
"protein catabolic process";"0.0392156862745098      .";"0.655978125776783      ."
"regulation of vesicle fusion";"0.0392156862745098      .";"0.655978125776783      ."
"tricarboxylic acid cycle";"0.0392156862745098      .";"0.655978125776783      ."
"vacuolar membrane";"0.0392156862745098      .";"0.655978125776783      ."
"aminopeptidase activity";"0.0588235294117647      .";"0.708633296366609      ."
"aspartic-type endopeptidase activity";"0.0588235294117647      .";"0.708633296366609      ."
"chemokine-mediated signaling pathway";"0.0588235294117647      .";"0.708633296366609      ."
"chemotaxis";"0.0588235294117647      .";"0.708633296366609      ."
"chloride channel activity";"0.0588235294117647      .";"0.708633296366609      ."
"defense response to bacterium";"0.0588235294117647      .";"0.708633296366609      ."
"digestive tract morphogenesis";"0.0588235294117647      .";"0.708633296366609      ."
"enzyme activator activity";"0.0588235294117647      .";"0.708633296366609      ."
"exocyst";"0.0588235294117647      .";"0.708633296366609      ."
"extracellular ATP-gated cation channel activity";"0.0588235294117647      .";"0.708633296366609      ."
"glucose transmembrane transport";"0.0588235294117647      .";"0.708633296366609      ."
"glutathione peroxidase activity";"0.0588235294117647      .";"0.708633296366609      ."
"hydrolase activity";"0.0588235294117647      .";"0.708633296366609      ."
"immune response";"0.0588235294117647      .";"0.708633296366609      ."
"immune system process";"0.0588235294117647      .";"0.708633296366609      ."
"intracellular protein transport";"0.0588235294117647      .";"0.708633296366609      ."
"intracellular receptor signaling pathway";"0.0588235294117647      .";"0.708633296366609      ."
"isoprenoid biosynthetic process";"0.0588235294117647      .";"0.708633296366609      ."
"liver development";"0.0588235294117647      .";"0.708633296366609      ."
"mitochondrial electron transport, ubiquinol to cytochrome c";"0.0588235294117647      .";"0.708633296366609      ."
"mitochondrion";"0.0588235294117647      .";"0.708633296366609      ."
"NAD+ binding";"0.0588235294117647      .";"0.708633296366609      ."
"oxidoreductase activity, acting on NAD(P)H";"0.0588235294117647      .";"0.708633296366609      ."
"positive regulation of catalytic activity";"0.0588235294117647      .";"0.708633296366609      ."
"positive regulation of cytosolic calcium ion concentration";"0.0588235294117647      .";"0.708633296366609      ."
"positive regulation of ERK1 and ERK2 cascade";"0.0588235294117647      .";"0.708633296366609      ."
"protease binding";"0.0588235294117647      .";"0.708633296366609      ."
"purinergic nucleotide receptor activity";"0.0588235294117647      .";"0.708633296366609      ."
"purinergic nucleotide receptor signaling pathway";"0.0588235294117647      .";"0.708633296366609      ."
"regulation of axon extension";"0.0588235294117647      .";"0.708633296366609      ."
"regulation of endocytosis";"0.0588235294117647      .";"0.708633296366609      ."
"regulation of inflammatory response";"0.0588235294117647      .";"0.708633296366609      ."
"response to ATP";"0.0588235294117647      .";"0.708633296366609      ."
"response to yeast";"0.0588235294117647      .";"0.708633296366609      ."
"Rho protein signal transduction";"0.0588235294117647      .";"0.708633296366609      ."
"secondary active sulfate transmembrane transporter activity";"0.0588235294117647      .";"0.708633296366609      ."
"skeletal muscle contraction";"0.0588235294117647      .";"0.708633296366609      ."
"steroid hormone mediated signaling pathway";"0.0588235294117647      .";"0.708633296366609      ."
"steroid hormone receptor activity";"0.0588235294117647      .";"0.708633296366609      ."
"tissue regeneration";"0.0588235294117647      .";"0.708633296366609      ."
"transmembrane transport";"0.0588235294117647      .";"0.708633296366609      ."
"ubiquitin conjugating enzyme binding";"0.0588235294117647      .";"0.708633296366609      ."
"water transmembrane transporter activity";"0.0588235294117647      .";"0.708633296366609      ."
"water transport";"0.0588235294117647      .";"0.708633296366609      ."
"4 iron, 4 sulfur cluster binding";"0.0784313725490196      .";"1      ."
"activation of GTPase activity";"0.0784313725490196      .";"1      ."
"amino acid transmembrane transport";"0.0784313725490196      .";"1      ."
"amino acid transmembrane transporter activity";"0.0784313725490196      .";"1      ."
"aromatic amino acid family metabolic process";"0.0784313725490196      .";"1      ."
"carbohydrate phosphorylation";"0.0784313725490196      .";"1      ."
"CCR chemokine receptor binding";"0.0784313725490196      .";"1      ."
"cellular response to interferon-gamma";"0.0784313725490196      .";"1      ."
"cellular response to interleukin-1";"0.0784313725490196      .";"1      ."
"cellular response to tumor necrosis factor";"0.0784313725490196      .";"1      ."
"chordate embryonic development";"0.0784313725490196      .";"1      ."
"cytokine-mediated signaling pathway";"0.0784313725490196      .";"1      ."
"dephosphorylation";"0.0784313725490196      .";"1      ."
"endosome organization";"0.0784313725490196      .";"1      ."
"exocyst localization";"0.0784313725490196      .";"1      ."
"FAD binding";"0.0784313725490196      .";"1      ."
"fructose 6-phosphate metabolic process";"0.0784313725490196      .";"1      ."
"glycolytic process";"0.0784313725490196      .";"1      ."
"GTPase activator activity";"0.0784313725490196      .";"1      ."
"hydrolase activity, acting on ester bonds";"0.0784313725490196      .";"1      ."
"intracellular membrane-bounded organelle";"0.0784313725490196      .";"1      ."
"lipid metabolic process";"0.0784313725490196      .";"1      ."
"lymphocyte chemotaxis";"0.0784313725490196      .";"1      ."
"lysosome";"0.0784313725490196      .";"1      ."
"magnesium ion binding";"0.0784313725490196      .";"1      ."
"manganese ion binding";"0.0784313725490196      .";"1      ."
"monocarboxylic acid transmembrane transporter activity";"0.0784313725490196      .";"1      ."
"monocarboxylic acid transport";"0.0784313725490196      .";"1      ."
"monocyte chemotaxis";"0.0784313725490196      .";"1      ."
"motile cilium";"0.0784313725490196      .";"1      ."
"neutrophil chemotaxis";"0.0784313725490196      .";"1      ."
"phosphatidylinositol 3-kinase complex";"0.0784313725490196      .";"1      ."
"positive regulation of NF-kappaB transcription factor activity";"0.0784313725490196      .";"1      ."
"protein secretion";"0.0784313725490196      .";"1      ."
"protein tyrosine/serine/threonine phosphatase activity";"0.0784313725490196      .";"1      ."
"Rac GTPase binding";"0.0784313725490196      .";"1      ."
"receptor-mediated endocytosis";"0.0784313725490196      .";"1      ."
"regulation of actin cytoskeleton organization";"0.0784313725490196      .";"1      ."
"response to bacterium";"0.0784313725490196      .";"1      ."
"response to lipopolysaccharide";"0.0784313725490196      .";"1      ."
"response to methylmercury";"0.0784313725490196      .";"1      ."
"response to virus";"0.0784313725490196      .";"1      ."
"scavenger receptor activity";"0.0784313725490196      .";"1      ."
"substrate-specific transmembrane transporter activity";"0.0784313725490196      .";"1      ."
"sulfate transmembrane transport";"0.0784313725490196      .";"1      ."
"sulfate transmembrane transporter activity";"0.0784313725490196      .";"1      ."
"sulfate transport";"0.0784313725490196      .";"1      ."
"trans-Golgi network";"0.0784313725490196      .";"1      ."
"transport";"0.0784313725490196      .";"1      ."
"troponin complex";"0.0784313725490196      .";"1      ."
"tumor necrosis factor receptor binding";"0.0784313725490196      .";"1      ."
"type B pancreatic cell development";"0.0784313725490196      .";"1      ."
"activation of MAPK activity";"0.104575163398693      .";"1      ."
"activation of MAPKKK activity";"0.104575163398693      .";"1      ."
"ATP synthesis coupled proton transport";"0.104575163398693      .";"1      ."
"cardiac muscle contraction";"0.104575163398693      .";"1      ."
"cell chemotaxis";"0.104575163398693      .";"1      ."
"chemokine activity";"0.104575163398693      .";"1      ."
"chemokine receptor activity";"0.104575163398693      .";"1      ."
"cilium organization";"0.104575163398693      .";"1      ."
"cullin family protein binding";"0.104575163398693      .";"1      ."
"cytoplasmic vesicle membrane";"0.104575163398693      .";"1      ."
"cytosol";"0.104575163398693      .";"1      ."
"defense response to virus";"0.104575163398693      .";"1      ."
"early endosome";"0.104575163398693      .";"1      ."
"endoplasmic reticulum";"0.104575163398693      .";"1      ."
"extrinsic component of membrane";"0.104575163398693      .";"1      ."
"G-protein coupled purinergic nucleotide receptor activity";"0.104575163398693      .";"1      ."
"G-protein coupled purinergic nucleotide receptor signaling pathway";"0.104575163398693      .";"1      ."
"glycogen metabolic process";"0.104575163398693      .";"1      ."
"GTP-Rho binding";"0.104575163398693      .";"1      ."
"inflammatory response";"0.104575163398693      .";"1      ."
"integral component of mitochondrial inner membrane";"0.104575163398693      .";"1      ."
"membrane coat";"0.104575163398693      .";"1      ."
"metal ion transport";"0.104575163398693      .";"1      ."
"mitochondrial transport";"0.104575163398693      .";"1      ."
"NAD+ ADP-ribosyltransferase activity";"0.104575163398693      .";"1      ."
"pancreas regeneration";"0.104575163398693      .";"1      ."
"phosphotransferase activity, alcohol group as acceptor";"0.104575163398693      .";"1      ."
"photoperiodism";"0.104575163398693      .";"1      ."
"regulation of muscle contraction";"0.104575163398693      .";"1      ."
"regulatory region DNA binding";"0.104575163398693      .";"1      ."
"response to copper ion";"0.104575163398693      .";"1      ."
"response to cytokine";"0.104575163398693      .";"1      ."
"response to hypoxia";"0.104575163398693      .";"1      ."
"retinal pigment epithelium development";"0.104575163398693      .";"1      ."
"RNA polymerase II transcription coactivator activity";"0.104575163398693      .";"1      ."
"serine-type endopeptidase inhibitor activity";"0.104575163398693      .";"1      ."
"single-stranded RNA binding";"0.104575163398693      .";"1      ."
"small GTPase mediated signal transduction";"0.104575163398693      .";"1      ."
"small molecule binding";"0.104575163398693      .";"1      ."
"transferase activity, transferring acyl groups";"0.104575163398693      .";"1      ."
"aerobic respiration";"0.130718954248366      .";"1      ."
"apical plasma membrane";"0.130718954248366      .";"1      ."
"ATPase activity, coupled to transmembrane movement of substances";"0.130718954248366      .";"1      ."
"B cell receptor signaling pathway";"0.130718954248366      .";"1      ."
"BLOC-1 complex";"0.130718954248366      .";"1      ."
"cellular response to xenobiotic stimulus";"0.130718954248366      .";"1      ."
"cellular_component";"0.130718954248366      .";"1      ."
"cysteine-type endopeptidase activity";"0.130718954248366      .";"1      ."
"cytokine receptor activity";"0.130718954248366      .";"1      ."
"cytoplasm";"0.130718954248366      .";"1      ."
"endoplasmic reticulum lumen";"0.130718954248366      .";"1      ."
"fatty acid biosynthetic process";"0.130718954248366      .";"1      ."
"glucuronosyltransferase activity";"0.130718954248366      .";"1      ."
"hydrolase activity, acting on glycosyl bonds";"0.130718954248366      .";"1      ."
"inorganic anion transport";"0.130718954248366      .";"1      ."
"intra-Golgi vesicle-mediated transport";"0.130718954248366      .";"1      ."
"macrophage differentiation";"0.130718954248366      .";"1      ."
"melanocyte differentiation";"0.130718954248366      .";"1      ."
"melanosome organization";"0.130718954248366      .";"1      ."
"metalloaminopeptidase activity";"0.130718954248366      .";"1      ."
"mitochondrion organization";"0.130718954248366      .";"1      ."
"negative regulation of insulin receptor signaling pathway";"0.130718954248366      .";"1      ."
"neuropeptide hormone activity";"0.130718954248366      .";"1      ."
"neuropeptide receptor activity";"0.130718954248366      .";"1      ."
"peroxidase activity";"0.130718954248366      .";"1      ."
"phagocytosis";"0.130718954248366      .";"1      ."
"pigmentation";"0.130718954248366      .";"1      ."
"positive regulation of proteasomal ubiquitin-dependent protein catabolic process";"0.130718954248366      .";"1      ."
"potassium ion binding";"0.130718954248366      .";"1      ."
"protein kinase C activity";"0.130718954248366      .";"1      ."
"proteolysis";"0.130718954248366      .";"1      ."
"proton-transporting V-type ATPase, V0 domain";"0.130718954248366      .";"1      ."
"proton transport";"0.130718954248366      .";"1      ."
"regulation of cell differentiation";"0.130718954248366      .";"1      ."
"retrograde transport, endosome to Golgi";"0.130718954248366      .";"1      ."
"RNA phosphodiester bond hydrolysis, exonucleolytic";"0.130718954248366      .";"1      ."
"RNA polymerase II transcription factor activity, ligand-activated sequence-specific DNA binding";"0.130718954248366      .";"1      ."
"steroid biosynthetic process";"0.130718954248366      .";"1      ."
"sterol biosynthetic process";"0.130718954248366      .";"1      ."
"actin nucleation";"0.163398692810458      .";"1      ."
"actin polymerization or depolymerization";"0.163398692810458      .";"1      ."
"adaptive immune response";"0.163398692810458      .";"1      ."
"apoptotic signaling pathway";"0.163398692810458      .";"1      ."
"ATP hydrolysis coupled cation transmembrane transport";"0.163398692810458      .";"1      ."
"autophagosome";"0.163398692810458      .";"1      ."
"autophagy";"0.163398692810458      .";"1      ."
"cellular amino acid biosynthetic process";"0.163398692810458      .";"1      ."
"dendrite";"0.163398692810458      .";"1      ."
"developmental pigmentation";"0.163398692810458      .";"1      ."
"endosome";"0.163398692810458      .";"1      ."
"epiboly involved in gastrulation with mouth forming second";"0.163398692810458      .";"1      ."
"extrinsic component of cytoplasmic side of plasma membrane";"0.163398692810458      .";"1      ."
"feeding behavior";"0.163398692810458      .";"1      ."
"galanin receptor activity";"0.163398692810458      .";"1      ."
"glutathione transferase activity";"0.163398692810458      .";"1      ."
"Golgi apparatus";"0.163398692810458      .";"1      ."
"hemopoiesis";"0.163398692810458      .";"1      ."
"hydrogen ion transmembrane transporter activity";"0.163398692810458      .";"1      ."
"intrinsic apoptotic signaling pathway in response to DNA damage";"0.163398692810458      .";"1      ."
"iron ion binding";"0.163398692810458      .";"1      ."
"lipid biosynthetic process";"0.163398692810458      .";"1      ."
"membrane raft";"0.163398692810458      .";"1      ."
"metal ion binding";"0.163398692810458      .";"1      ."
"metal ion transmembrane transporter activity";"0.163398692810458      .";"1      ."
"mitochondrial envelope";"0.163398692810458      .";"1      ."
"negative regulation of protein kinase activity";"0.163398692810458      .";"1      ."
"non-membrane spanning protein tyrosine kinase activity";"0.163398692810458      .";"1      ."
"nucleobase-containing compound kinase activity";"0.163398692810458      .";"1      ."
"one-carbon metabolic process";"0.163398692810458      .";"1      ."
"peptide cross-linking";"0.163398692810458      .";"1      ."
"phosphatidylinositol-3-phosphate biosynthetic process";"0.163398692810458      .";"1      ."
"phosphatidylinositol-mediated signaling";"0.163398692810458      .";"1      ."
"phospholipase C-activating G-protein coupled receptor signaling pathway";"0.163398692810458      .";"1      ."
"pre-autophagosomal structure";"0.163398692810458      .";"1      ."
"protein-glutamine gamma-glutamyltransferase activity";"0.163398692810458      .";"1      ."
"proteolysis involved in cellular protein catabolic process";"0.163398692810458      .";"1      ."
"purine nucleotide biosynthetic process";"0.163398692810458      .";"1      ."
"regulation of cell cycle";"0.163398692810458      .";"1      ."
"response to oxidative stress";"0.163398692810458      .";"1      ."
"sarcoplasmic reticulum";"0.163398692810458      .";"1      ."
"serine-type peptidase activity";"0.163398692810458      .";"1      ."
"stress-activated protein kinase signaling cascade";"0.163398692810458      .";"1      ."
"transcriptional repressor activity, RNA polymerase II core promoter proximal region sequence-specific binding";"0.163398692810458      .";"1      ."
"tumor necrosis factor-activated receptor activity";"0.163398692810458      .";"1      ."
"tumor necrosis factor-mediated signaling pathway";"0.163398692810458      .";"1      ."
"ubiquitin-protein transferase activity";"0.163398692810458      .";"1      ."
"urea transmembrane transport";"0.163398692810458      .";"1      ."
"urea transmembrane transporter activity";"0.163398692810458      .";"1      ."
"vacuolar proton-transporting V-type ATPase, V0 domain";"0.163398692810458      .";"1      ."
"very long-chain fatty acid biosynthetic process";"0.163398692810458      .";"1      ."
"vesicle-mediated transport";"0.163398692810458      .";"1      ."
"actin binding";"0.196078431372549      .";"1      ."
"bicarbonate transmembrane transporter activity";"0.196078431372549      .";"1      ."
"cell recognition";"0.196078431372549      .";"1      ."
"cellular metabolic process";"0.196078431372549      .";"1      ."
"cellular response to nitrogen starvation";"0.196078431372549      .";"1      ."
"chloride transport";"0.196078431372549      .";"1      ."
"cysteine-type peptidase activity";"0.196078431372549      .";"1      ."
"cytoplasmic vesicle";"0.196078431372549      .";"1      ."
"dioxygenase activity";"0.196078431372549      .";"1      ."
"electron carrier activity";"0.196078431372549      .";"1      ."
"endocytosis";"0.196078431372549      .";"1      ."
"endosomal transport";"0.196078431372549      .";"1      ."
"extracellular region";"0.196078431372549      .";"1      ."
"extracellular space";"0.196078431372549      .";"1      ."
"GDP-dissociation inhibitor activity";"0.196078431372549      .";"1      ."
"glutathione metabolic process";"0.196078431372549      .";"1      ."
"GTP binding";"0.196078431372549      .";"1      ."
"hydrogen ion transmembrane transport";"0.196078431372549      .";"1      ."
"hydrolase activity, hydrolyzing O-glycosyl compounds";"0.196078431372549      .";"1      ."
"intracellular";"0.196078431372549      .";"1      ."
"M band";"0.196078431372549      .";"1      ."
"mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)";"0.196078431372549      .";"1      ."
"mitophagy";"0.196078431372549      .";"1      ."
"myosin complex";"0.196078431372549      .";"1      ."
"N-glycan processing";"0.196078431372549      .";"1      ."
"negative regulation of TOR signaling";"0.196078431372549      .";"1      ."
"nucleotide biosynthetic process";"0.196078431372549      .";"1      ."
"phospholipid binding";"0.196078431372549      .";"1      ."
"phospholipid biosynthetic process";"0.196078431372549      .";"1      ."
"postsynapse";"0.196078431372549      .";"1      ."
"protein-chromophore linkage";"0.196078431372549      .";"1      ."
"protein polyubiquitination";"0.196078431372549      .";"1      ."
"proton-transporting ATP synthase activity, rotational mechanism";"0.196078431372549      .";"1      ."
"regulation of cell proliferation";"0.196078431372549      .";"1      ."
"response to activity";"0.196078431372549      .";"1      ."
"retinol metabolic process";"0.196078431372549      .";"1      ."
"secretory granule";"0.196078431372549      .";"1      ."
"SNARE binding";"0.196078431372549      .";"1      ."
"sphingolipid metabolic process";"0.196078431372549      .";"1      ."
"swimming behavior";"0.196078431372549      .";"1      ."
"thrombin-activated receptor activity";"0.196078431372549      .";"1      ."
"thrombin-activated receptor signaling pathway";"0.196078431372549      .";"1      ."
"transferase activity, transferring hexosyl groups";"0.196078431372549      .";"1      ."
"translation elongation factor activity";"0.196078431372549      .";"1      ."
"vacuolar acidification";"0.196078431372549      .";"1      ."
"vesicle";"0.196078431372549      .";"1      ."
"vesicle docking involved in exocytosis";"0.196078431372549      .";"1      ."
"acid phosphatase activity";"0.235294117647059      .";"1      ."
"actin filament polymerization";"0.235294117647059      .";"1      ."
"adenylate cyclase activity";"0.235294117647059      .";"1      ."
"adrenergic receptor activity";"0.235294117647059      .";"1      ."
"aminoacyl-tRNA ligase activity";"0.235294117647059      .";"1      ."
"antigen processing and presentation";"0.235294117647059      .";"1      ."
"ATP-activated inward rectifier potassium channel activity";"0.235294117647059      .";"1      ."
"autophagosome assembly";"0.235294117647059      .";"1      ."
"carboxypeptidase activity";"0.235294117647059      .";"1      ."
"cation transmembrane transport";"0.235294117647059      .";"1      ."
"cell migration";"0.235294117647059      .";"1      ."
"cellular oxidant detoxification";"0.235294117647059      .";"1      ."
"cerebellum development";"0.235294117647059      .";"1      ."
"clathrin adaptor complex";"0.235294117647059      .";"1      ."
"Cul3-RING ubiquitin ligase complex";"0.235294117647059      .";"1      ."
"cyclin binding";"0.235294117647059      .";"1      ."
"cytoplasmic dynein complex";"0.235294117647059      .";"1      ."
"detection of visible light";"0.235294117647059      .";"1      ."
"ER to Golgi vesicle-mediated transport";"0.235294117647059      .";"1      ."
"exocytosis";"0.235294117647059      .";"1      ."
"G-protein coupled receptor binding";"0.235294117647059      .";"1      ."
"heme binding";"0.235294117647059      .";"1      ."
"integrin complex";"0.235294117647059      .";"1      ."
"iron-sulfur cluster binding";"0.235294117647059      .";"1      ."
