"gene set";"p-value";"fdr"
"SH3 domain binding";"0.104575163398693      .";"1      ."
"spindle pole";"0.104575163398693      .";"1      ."
"thiol-dependent ubiquitinyl hydrolase activity";"0.104575163398693      .";"1      ."
"transcription factor binding";"0.104575163398693      .";"1      ."
"cytoplasmic microtubule organization";"0.130718954248366      .";"1      ."
"detection of chemical stimulus involved in sensory perception of smell";"0.130718954248366      .";"1      ."
"DNA integration";"0.130718954248366      .";"1      ."
"endocytic recycling";"0.130718954248366      .";"1      ."
"endoplasmic reticulum lumen";"0.130718954248366      .";"1      ."
"exocyst localization";"0.130718954248366      .";"1      ."
"G-protein coupled peptide receptor activity";"0.130718954248366      .";"1      ."
"hippo signaling";"0.130718954248366      .";"1      ."
"histone lysine methylation";"0.130718954248366      .";"1      ."
"intrahepatic bile duct development";"0.130718954248366      .";"1      ."
"macrophage differentiation";"0.130718954248366      .";"1      ."
"midbody";"0.130718954248366      .";"1      ."
"miRNA mediated inhibition of translation";"0.130718954248366      .";"1      ."
"mitotic cytokinesis";"0.130718954248366      .";"1      ."
"mRNA 3'-UTR binding";"0.130718954248366      .";"1      ."
"N-glycan processing";"0.130718954248366      .";"1      ."
"neuropeptide binding";"0.130718954248366      .";"1      ."
"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay";"0.130718954248366      .";"1      ."
"olfactory receptor activity";"0.130718954248366      .";"1      ."
"potassium ion leak channel activity";"0.130718954248366      .";"1      ."
"protein polyubiquitination";"0.130718954248366      .";"1      ."
"ribosomal large subunit assembly";"0.130718954248366      .";"1      ."
"ubiquitin protein ligase binding";"0.130718954248366      .";"1      ."
"vasculature development";"0.130718954248366      .";"1      ."
"zinc ion transmembrane transporter activity";"0.130718954248366      .";"1      ."
"aerobic respiration";"0.163398692810458      .";"1      ."
"apoptotic process";"0.163398692810458      .";"1      ."
"ATP-dependent chromatin remodeling";"0.163398692810458      .";"1      ."
"BMP signaling pathway";"0.163398692810458      .";"1      ."
"cardiac muscle cell proliferation";"0.163398692810458      .";"1      ."
"cellular glucose homeostasis";"0.163398692810458      .";"1      ."
"chemotaxis";"0.163398692810458      .";"1      ."
"covalent chromatin modification";"0.163398692810458      .";"1      ."
"cullin-RING ubiquitin ligase complex";"0.163398692810458      .";"1      ."
"dorsal/ventral pattern formation";"0.163398692810458      .";"1      ."
"embryonic viscerocranium morphogenesis";"0.163398692810458      .";"1      ."
"establishment of mitotic spindle orientation";"0.163398692810458      .";"1      ."
"exocrine pancreas development";"0.163398692810458      .";"1      ."
"fibroblast growth factor receptor signaling pathway";"0.163398692810458      .";"1      ."
"hematopoietic progenitor cell differentiation";"0.163398692810458      .";"1      ."
"intracellular ribonucleoprotein complex";"0.163398692810458      .";"1      ."
"L-ascorbic acid binding";"0.163398692810458      .";"1      ."
"ligase activity";"0.163398692810458      .";"1      ."
"lymphangiogenesis";"0.163398692810458      .";"1      ."
"metalloendopeptidase activity";"0.163398692810458      .";"1      ."
"microtubule organizing center";"0.163398692810458      .";"1      ."
"myoblast fusion";"0.163398692810458      .";"1      ."
"negative regulation of TOR signaling";"0.163398692810458      .";"1      ."
"neuromast development";"0.163398692810458      .";"1      ."
"non-membrane spanning protein tyrosine kinase activity";"0.163398692810458      .";"1      ."
"phospholipase activity";"0.163398692810458      .";"1      ."
"positive regulation of cell migration";"0.163398692810458      .";"1      ."
"protein serine/threonine phosphatase activity";"0.163398692810458      .";"1      ."
"regulation of Wnt signaling pathway";"0.163398692810458      .";"1      ."
"response to peptide";"0.163398692810458      .";"1      ."
"sprouting angiogenesis";"0.163398692810458      .";"1      ."
"stabilization of membrane potential";"0.163398692810458      .";"1      ."
"transforming growth factor beta receptor signaling pathway";"0.163398692810458      .";"1      ."
"blood coagulation";"0.196078431372549      .";"1      ."
"branching involved in blood vessel morphogenesis";"0.196078431372549      .";"1      ."
"cardiac muscle tissue development";"0.196078431372549      .";"1      ."
"drug transmembrane transport";"0.196078431372549      .";"1      ."
"ER membrane protein complex";"0.196078431372549      .";"1      ."
"G-protein coupled receptor activity";"0.196078431372549      .";"1      ."
"G-protein coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger";"0.196078431372549      .";"1      ."
"gastrulation with mouth forming second";"0.196078431372549      .";"1      ."
"heart jogging";"0.196078431372549      .";"1      ."
"intraciliary transport particle B";"0.196078431372549      .";"1      ."
